local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_songs,local_only,s3_only,match_pct,count_diff_pct,quality
Ben Folds,Ben Folds Five - Selections From Naked Baby Photos _Score_,15,Ben Folds,Ben Folds Five - Selections From Naked Baby Photos [score],18,15,0,0,1.000,0.200,PERFECT
Ben Folds,Ben Folds Five - Whatever And Ever Amen _Book_,12,Ben Folds,Ben Folds Five - Whatever And Ever Amen [book],15,12,0,0,1.000,0.250,PERFECT
Billy Joel,Billy Joel - 52nd Street,9,Billy Joel,52nd Street,9,9,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Anthology,29,Billy Joel,Billy Joel - Anthology,29,29,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Best Of Piano Solos,13,Billy Joel,Best Of Piano Solos,13,13,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Complete Vol 1,47,Billy Joel,Complete Vol 1,47,47,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Complete Vol 2,48,Billy Joel,Complete Vol 2,48,48,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Fantasies And Delusions,11,Billy Joel,Billy Joel - Fantasies & Delusions,11,11,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - For Advanced Piano,11,Billy Joel,For Advanced Piano,11,11,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Glass Houses,10,Billy Joel,Billy Joel - Glass Houses,10,10,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Greatest Hits,21,Billy Joel,Billy Joel - Greatest Hits,21,21,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Greatest Hits Vol I And II,21,Billy Joel,Greatest Hits Vol I And Ii,21,21,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Greatest Hits Vol III,1,Billy Joel,Greatest Hits Vol Iii,1,1,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Keyboard Book,15,Billy Joel,Billy Joel - Keyboard Book,15,15,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - My Lives,72,Billy Joel,My Lives,72,72,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Rock Score,8,Billy Joel,Rock Score,8,8,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Songs In The Attic,11,Billy Joel,Songs In The Attic,11,11,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Turnstiles,8,Billy Joel,Billy Joel - Turnstiles,8,8,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel Greatest Hits Vols 1 And 2,11,Billy Joel,Billy Joel Greatest Hits Vols 1 And 2-(0001),11,11,0,0,1.000,0.000,PERFECT
Billy Ocean,Billy Ocean - The Best Of,10,Billy Ocean,The Best Of,10,10,0,0,1.000,0.000,PERFECT
Black Eyed Peas,Black Eyed Peas - Elephunk _PVG Book_,11,Black Eyed Peas,Elephunk [pvg Book],11,11,0,0,1.000,0.000,PERFECT
Blues Brothers,Blues Brothers - Complete,12,Blues Brothers,Complete,12,12,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Anthology,46,Bob Dylan,Anthology 1,45,45,0,0,0.978,0.022,PERFECT
Bob Dylan,Bob Dylan - Anthology 1,46,Bob Dylan,Anthology,45,45,0,0,0.978,0.022,PERFECT
Bob Dylan,Bob Dylan - Anthology 2,51,Bob Dylan,Anthology 2,50,50,0,0,0.980,0.020,PERFECT
Bob Dylan,Bob Dylan - Basement Tapes _PVG_,24,Bob Dylan,Basement Tapes [pvg],24,24,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Blonde On Blonde,13,Bob Dylan,Blonde On Blonde,13,13,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Collection,47,Bob Dylan,Collection,46,46,0,0,0.979,0.021,PERFECT
Bob Dylan,Bob Dylan - Desire,9,Bob Dylan,Desire,9,9,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Finger Picking,14,Bob Dylan,Finger Picking,14,14,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Highway 61 Revisited,10,Bob Dylan,Highway 61 Revisited,10,10,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Nashville Skyline,1,Bob Dylan,Bob Dylan - Nashville Skyline,1,1,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Rock Score,6,Bob Dylan,Rock Score,6,6,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Saved,8,Bob Dylan,Saved,8,8,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - Songbook,47,Bob Dylan,Songbook,47,47,0,0,1.000,0.000,PERFECT
Bob Dylan,Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,12,Bob Dylan,The Harp Styles Of Bob Dylan [harmonica],12,12,0,0,1.000,0.000,PERFECT
Bob Seger,Bob Seger - Greatest Hits,14,Bob Seger,Greatest Hits,14,14,0,0,1.000,0.000,PERFECT
Bob Seger,Bob Seger - The New Best Of Bob Seger,5,Bob Seger,The New Best Of Bob Seger,5,5,0,0,1.000,0.000,PERFECT
Bon Jovi,Bon Jovi - Best Of Bon Jovi,19,Bon Jovi,Best Of Bon Jovi,19,19,0,0,1.000,0.000,PERFECT
Bonnie Raitt,Bonnie Raitt - Nick Of Time _PVG Book_,1,Bonnie Raitt,Bonnie Raitt - Nick Of Time [pvg Book],1,1,0,0,1.000,0.000,PERFECT
Bonnie Raitt,Bonnie Raitt - Road Tested _PVG Book_,22,Bonnie Raitt,Road Tested [pvg Book],22,22,0,0,1.000,0.000,PERFECT
