Input PDF,Output Folder 1,PDF Count 1,Output Folder 2,PDF Count 2,Similarity,Action Needed
Bob Dylan\Bob Dylan - Saved.pdf,Bob Dylan\Bob Dylan - Saved,8,Bob Dylan\Bob Dylan - Desire,9,100.0% vs 80.0%,Compare and choose
Bob Dylan\Bob Dylan - Songbook.pdf,Bob Dylan\Bob Dylan - Songbook,47,Bob Dylan\Bob Dylan - Saved,8,100.0% vs 70.3%,Compare and choose
Bonnie Raitt\Bonnie Raitt - Nick Of Time _PVG Book_.pdf,Bonnie Raitt\Bonnie Raitt - Nick Of Time _PVG Book_,1,Bonnie Raitt\Bonnie Raitt - Road Tested _PVG Book_,22,100.0% vs 80.0%,Compare and choose
Bonnie Raitt\Bonnie Raitt - Road Tested _PVG Book_.pdf,Bonnie Raitt\Bonnie Raitt - Road Tested _PVG Book_,22,Bonnie Raitt\Bonnie Raitt - Nick Of Time _PVG Book_,1,100.0% vs 80.0%,Compare and choose
Bruce Springsteen\Bruce Springsteen - Born In The USA.pdf,Bruce Springsteen\Bruce Springsteen - Born In The USA,13,Bruce Springsteen\Bruce Springsteen - Born To Run,8,100.0% vs 78.8%,Compare and choose
Bruce Springsteen\Bruce Springsteen - Born To Run.pdf,Bruce Springsteen\Bruce Springsteen - Born To Run,8,Bruce Springsteen\Bruce Springsteen - Born In The USA,13,100.0% vs 84.8%,Compare and choose
Bruce Springsteen\Bruce Springsteen - Greatest Hits.pdf,Bruce Springsteen\Bruce Springsteen - Greatest Hits,13,Bruce Springsteen\Bruce Springsteen - Born To Run,8,100.0% vs 71.9%,Compare and choose
Bruce Springsteen\Bruce Springsteen - Lucky Town.pdf,Bruce Springsteen\Bruce Springsteen - Lucky Town,9,Bruce Springsteen\Bruce Springsteen - Born To Run,8,100.0% vs 78.7%,Compare and choose
Carole King\Carole King - Classics.pdf,Carole King\Carole King - Classics,21,Carole King\Carole King - Classics _2_,35,100.0% vs 91.7%,Compare and choose
Carole King\Carole King - Tapestry.pdf,Carole King\Carole King - Tapestry,12,Carole King\Carole King - Classics,21,100.0% vs 72.7%,Compare and choose
Carpenters\Carpenters - Anthology.pdf,Carpenters\Carpenters - Anthology,43,Carpenters\Carpenters - Love Songs,22,100.0% vs 71.1%,Compare and choose
Carpenters\Carpenters - Love Songs.pdf,Carpenters\Carpenters - Love Songs,22,Carpenters\Carpenters - Note For Note,11,100.0% vs 73.5%,Compare and choose
Carpenters\Carpenters - Note For Note.pdf,Carpenters\Carpenters - Note For Note,11,Carpenters\Carpenters - Love Songs,22,100.0% vs 73.5%,Compare and choose
Creedence Clearwater Revival\Creedence Clearwater Revival - 8 Pcs Book.pdf,Creedence Clearwater Revival\Creedence Clearwater Revival - 8 Pcs Book,8,Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Tab Book,7,100.0% vs 85.1%,Compare and choose
Creedence Clearwater Revival\Creedence Clearwater Revival - Best Of.pdf,Creedence Clearwater Revival\Creedence Clearwater Revival - Best Of,20,Creedence Clearwater Revival\Creedence Clearwater Revival - 8 Pcs Book,8,100.0% vs 83.5%,Compare and choose
Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Anthology.pdf,Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Anthology,20,Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Tab Book,7,100.0% vs 88.2%,Compare and choose
Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Tab Book.pdf,Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Tab Book,7,Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Anthology,20,100.0% vs 88.2%,Compare and choose
Creedence Clearwater Revival\Creedence Clearwater Revival - Ultimate Minus One.pdf,Creedence Clearwater Revival\Creedence Clearwater Revival - Ultimate Minus One,7,Creedence Clearwater Revival\Creedence Clearwater Revival - Best Of,20,100.0% vs 78.2%,Compare and choose
Crosby Stills and Nash\Crosby Stills Nash And Young - Deja Vu _PVG Book_.pdf,Crosby Stills And Nash\Crosby Stills Nash And Young - Deja Vu _PVG Book_,21,Crosby Stills And Nash\Crosby Stills Nash And Young - The Guitar Collection,32,100.0% vs 71.3%,Compare and choose
Crosby Stills and Nash\Crosby Stills Nash And Young - The Guitar Collection.pdf,Crosby Stills And Nash\Crosby Stills Nash And Young - The Guitar Collection,32,Crosby Stills And Nash\Crosby Stills Nash And Young - Deja Vu _PVG Book_,21,100.0% vs 73.3%,Compare and choose
Crowded House\Crowded House - The Very Best Of _PVG Book_.pdf,Crowded House\Crowded House - The Very Best Of _PVG Book_,19,Crowded House\Crowded House - Together Alone _PVG Book_,13,100.0% vs 76.2%,Compare and choose
Crowded House\Crowded House - Together Alone _PVG Book_.pdf,Crowded House\Crowded House - Together Alone _PVG Book_,13,Crowded House\Crowded House - The Very Best Of _PVG Book_,19,100.0% vs 78.6%,Compare and choose
Dire Straits\Dire Straits - Best Of Dire Straits _Guitar Tab_.pdf,Dire Straits\Dire Straits - Best Of Dire Straits _Guitar Tab_,22,Dire Straits\Dire Straits - Jam With Dire Straits _Guitar Book_,8,100.0% vs 81.6%,Compare and choose
Dire Straits\Dire Straits - Jam With Dire Straits _Guitar Book_.pdf,Dire Straits\Dire Straits - Jam With Dire Straits _Guitar Book_,8,Dire Straits\Dire Straits - Best Of Dire Straits _Guitar Tab_,22,100.0% vs 81.6%,Compare and choose
Dire Straits\Dire Straits - Money For Nothing _Guitar Book_.pdf,Dire Straits\Dire Straits - Money For Nothing _Guitar Book_,1,Dire Straits\Dire Straits - Jam With Dire Straits _Guitar Book_,8,100.0% vs 70.8%,Compare and choose
Elton John\Elton John - A Single Man.pdf,Elton John\Elton John - A Single Man,10,Elton John\Elton John - Made In England,11,100.0% vs 79.2%,Compare and choose
Elton John\Elton John - Ice On Fire.pdf,Elton John\Elton John - Ice On Fire,12,Elton John\Elton John - The One,5,100.0% vs 81.8%,Compare and choose
