"Artist","BookName","SourcePath","ProcessedFolder","PDFCount","Status"
"Beatles","Beatles - Essential Songs","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Essential Songs.pdf","ProcessedSongs\Beatles\Essential Songs","96","EXPANDED"
"Beatles","Beatles - Fake Songbook (Guitar)","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Fake Songbook (Guitar).pdf","ProcessedSongs\Beatles\Fake Songbook (guitar)","178","EXPANDED"
"Beatles","Beatles - Joy Of Beatles","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Joy Of Beatles.pdf","ProcessedSongs\Beatles\Joy Of Beatles","1","EXPANDED"
"Beatles","Beatles - Live At the Hollywood Bowl (2)","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Live At the Hollywood Bowl (2).pdf","ProcessedSongs\Beatles\Live At The Hollywood Bowl (2)","12","EXPANDED"
"Beatles","Beatles - Live at the Hollywood Bowl","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Live at the Hollywood Bowl.pdf","ProcessedSongs\Beatles\Live At The Hollywood Bowl","12","EXPANDED"
"Beatles","Beatles - Revolver (2)","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Revolver (2).pdf","ProcessedSongs\Beatles\Revolver (2)","14","EXPANDED"
"Beatles","Beatles - Revolver","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Revolver.pdf","ProcessedSongs\Beatles\Revolver","14","EXPANDED"
"Beatles","Beatles - Rubber Soul","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Rubber Soul.pdf","ProcessedSongs\Beatles\Rubber Soul","13","EXPANDED"
"Beatles","Beatles - Sergeant Pepper's Lonely Hearts Club Band","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Sergeant Pepper's Lonely Hearts Club Band.pdf","ProcessedSongs\Beatles\Sergeant Pepper's Lonely Hearts Club Band","1","EXPANDED"
"Beatles","Beatles - Singles Collection [PVG]","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Singles Collection [PVG].pdf","ProcessedSongs\Beatles\Singles Collection [pvg]","26","EXPANDED"
"Beatles","Beatles - Songbook","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - Songbook.pdf","ProcessedSongs\Beatles\Songbook","194","EXPANDED"
"Beatles","Beatles - White Album 1  (Guitar Recorded Version)","C:\Work\AWSMusic\SheetMusic\Beatles\Books\Beatles - White Album 1  (Guitar Recorded Version).pdf","","0","NOT_EXPANDED"
"Bee Gees","Bee Gees - Anthology","C:\Work\AWSMusic\SheetMusic\Bee Gees\Books\Bee Gees - Anthology.pdf","ProcessedSongs\Bee Gees\Anthology","1","EXPANDED"
"Belinda Carlisle","Belinda Carlisle - 5 Of The Best [PVG]","C:\Work\AWSMusic\SheetMusic\Belinda Carlisle\Books\Belinda Carlisle - 5 Of The Best [PVG].pdf","ProcessedSongs\Belinda Carlisle\5 Of The Best [pvg]","5","EXPANDED"
"Ben Folds","Ben Folds - Rockin' The Suburbs [Book]","C:\Work\AWSMusic\SheetMusic\Ben Folds\Books\Ben Folds - Rockin' The Suburbs [Book].pdf","ProcessedSongs\Ben Folds\Ben Folds - Rockin' The Suburbs [Book]","1","EXPANDED"
"Ben Folds","Ben Folds - Songs for Silverman","C:\Work\AWSMusic\SheetMusic\Ben Folds\Books\Ben Folds - Songs for Silverman.pdf","ProcessedSongs\Ben Folds\Songs For Silverman","13","EXPANDED"
"Ben Folds","Ben Folds - Songs For The Silverman","C:\Work\AWSMusic\SheetMusic\Ben Folds\Books\Ben Folds - Songs For The Silverman.pdf","ProcessedSongs\Ben Folds\Songs For The Silverman","13","EXPANDED"
"Ben Folds","Ben Folds Five - Rockin' the Suburbs","C:\Work\AWSMusic\SheetMusic\Ben Folds\Books\Ben Folds Five - Rockin' the Suburbs.pdf","ProcessedSongs\Ben Folds\Ben Folds Five - Rockin' The Suburbs","8","EXPANDED"
"Ben Folds","Ben Folds Five - Selections From Naked Baby Photos [Score]","C:\Work\AWSMusic\SheetMusic\Ben Folds\Books\Ben Folds Five - Selections From Naked Baby Photos [Score].pdf","ProcessedSongs\Ben Folds\Ben Folds Five - Selections From Naked Baby Photos [score]","15","EXPANDED"
"Ben Folds","Ben Folds Five - Whatever and Ever Amen [Book]","C:\Work\AWSMusic\SheetMusic\Ben Folds\Books\Ben Folds Five - Whatever and Ever Amen [Book].pdf","ProcessedSongs\Ben Folds\Ben Folds Five - Whatever And Ever Amen [book]","12","EXPANDED"
"Billy Joel","Billy Joel - 52nd Street","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - 52nd Street.pdf","ProcessedSongs\Billy Joel\52nd Street","9","EXPANDED"
"Billy Joel","Billy Joel - Anthology","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Anthology.pdf","ProcessedSongs\Billy Joel\Anthology","29","EXPANDED"
"Billy Joel","Billy Joel - Best Of Piano Solos","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Best Of Piano Solos.pdf","ProcessedSongs\Billy Joel\Best Of Piano Solos","13","EXPANDED"
"Billy Joel","Billy Joel - Complete Vol  1","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Complete Vol  1.pdf","","0","NOT_EXPANDED"
"Billy Joel","Billy Joel - Complete Vol 2","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Complete Vol 2.pdf","ProcessedSongs\Billy Joel\Complete Vol 2","48","EXPANDED"
"Billy Joel","Billy Joel - Fantasies & Delusions","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Fantasies & Delusions.pdf","ProcessedSongs\Billy Joel\Fantasies & Delusions","11","EXPANDED"
"Billy Joel","Billy Joel - For Advanced Piano","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - For Advanced Piano.pdf","ProcessedSongs\Billy Joel\For Advanced Piano","11","EXPANDED"
"Billy Joel","Billy Joel - Glass Houses","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Glass Houses.pdf","ProcessedSongs\Billy Joel\Glass Houses","10","EXPANDED"
"Billy Joel","Billy Joel - Greatest Hits Vol I and II","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Greatest Hits Vol I and II.pdf","ProcessedSongs\Billy Joel\Greatest Hits Vol I And Ii","21","EXPANDED"
"Billy Joel","Billy Joel - Greatest Hits Vol III","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Greatest Hits Vol III.pdf","ProcessedSongs\Billy Joel\Greatest Hits Vol Iii","1","EXPANDED"
"Billy Joel","Billy Joel - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Greatest Hits.pdf","ProcessedSongs\Billy Joel\Greatest Hits","21","EXPANDED"
"Billy Joel","Billy Joel - Keyboard Book","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Keyboard Book.pdf","ProcessedSongs\Billy Joel\Keyboard Book","15","EXPANDED"
"Billy Joel","Billy Joel - My Lives","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - My Lives.pdf","ProcessedSongs\Billy Joel\My Lives","72","EXPANDED"
"Billy Joel","Billy Joel - Rock Score","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Rock Score.pdf","ProcessedSongs\Billy Joel\Rock Score","8","EXPANDED"
"Billy Joel","Billy Joel - Songs in the Attic","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Songs in the Attic.pdf","ProcessedSongs\Billy Joel\Songs In The Attic","11","EXPANDED"
"Billy Joel","Billy Joel - Turnstiles","C:\Work\AWSMusic\SheetMusic\Billy Joel\Books\Billy Joel - Turnstiles.pdf","ProcessedSongs\Billy Joel\Billy Joel - Turnstiles","8","EXPANDED"
