local_artist,local_book,local_song_count,s3_artist,s3_book,s3_song_count,match_pct,match_quality,matches,local_only,s3_only,status,notes
America,America - Greatest Hits,12,America,America - Greatest Hits,7,0.5833333333333334,PARTIAL,7,5,0,NEEDS_REVIEW,
Barry Manilow,Barry Manilow - Barry Manilow _PVG Book_,13,Barry Manilow,Barry Manilow - Barry Manilow [pvg Book],7,0.5384615384615384,PARTIAL,7,6,0,NEEDS_REVIEW,
Beatles,Beatles - 100 Hits For All Keyboards,48,Beatles,Beatles - Complete Scores,167,0.5833333333333334,PARTIAL,28,20,139,NEEDS_REVIEW,
Beatles,Beatles - Abbey Road,19,Beatles,Beatles - Complete Scores,167,0.631578947368421,PARTIAL,12,7,155,NEEDS_REVIEW,
Beatles,Beatles - All Songs 1962-1974,199,Beatles,Beatles - Complete Scores,167,0.7035175879396985,PARTIAL,140,59,27,NEEDS_REVIEW,
Beatles,Beatles - Anthology,199,Beatles,Beatles - Complete Scores,167,0.7035175879396985,PARTIAL,140,59,27,NEEDS_REVIEW,
Beatles,Beatles - Anthology 1,18,Beatles,Beatles - Anthology 1,10,0.5555555555555556,PARTIAL,10,8,0,NEEDS_REVIEW,
Beatles,Beatles - Anthology 1 _113 pages_,26,Beatles,Beatles - Anthology 1 (113 Pages),20,0.7307692307692307,PARTIAL,19,7,1,NEEDS_REVIEW,
Beatles,Beatles - Anthology 2 page_01_-_40,9,Beatles,Beatles - Complete Scores,167,0.7777777777777778,PARTIAL,7,2,160,NEEDS_REVIEW,
Beatles,Beatles - Anthology 3 page_01_-_36,8,Beatles,Beatles - Anthology 3 (page 01 - 36),4,0.5,PARTIAL,4,4,0,NEEDS_REVIEW,
Beatles,Beatles - Beatlemania 1963-1966,34,Beatles,Beatles - Complete Scores (2),160,0.6764705882352942,PARTIAL,23,11,137,NEEDS_REVIEW,
Beatles,Beatles - Complete Scores,210,Beatles,Beatles - Complete Scores,167,0.7952380952380952,PARTIAL,167,43,0,NEEDS_REVIEW,
Beatles,Beatles - Complete Scores _2_,210,Beatles,Beatles - Complete Scores,167,0.7952380952380952,PARTIAL,167,43,0,NEEDS_REVIEW,
Beatles,Beatles - Essential Songs,96,Beatles,Beatles - Complete Scores (2),160,0.7291666666666666,PARTIAL,70,26,90,NEEDS_REVIEW,
Beatles,Beatles - Fake Songbook _Guitar_,178,Beatles,Beatles - Fake Songbook (guitar),121,0.6685393258426966,PARTIAL,119,59,2,NEEDS_REVIEW,
