"Artist","Book","OriginalFilename","NewFilename","WillRename","OriginalPath","NewPath"
"Aerosmith","Greatest Hits (songbook)","Steven Tyler And Brad Whitford - Last Child.pdf","Aerosmith - Last Child.pdf","True","Aerosmith\Greatest Hits (songbook)\Songs\Steven Tyler And Brad Whitford - Last Child.pdf","Aerosmith\books\Greatest Hits (songbook)\Aerosmith - Last Child.pdf"
"Aerosmith","Greatest Hits (songbook)","Steven Tyler And Joe Perry - Back In The Saddle.pdf","Aerosmith - Back In The Saddle.pdf","True","Aerosmith\Greatest Hits (songbook)\Songs\Steven Tyler And Joe Perry - Back In The Saddle.pdf","Aerosmith\books\Greatest Hits (songbook)\Aerosmith - Back In The Saddle.pdf"
"Aerosmith","Greatest Hits (songbook)","Steven Tyler And Joe Perry - Same Old Song & Dance.pdf","Aerosmith - Same Old Song & Dance.pdf","True","Aerosmith\Greatest Hits (songbook)\Songs\Steven Tyler And Joe Perry - Same Old Song & Dance.pdf","Aerosmith\books\Greatest Hits (songbook)\Aerosmith - Same Old Song & Dance.pdf"
"Aerosmith","Greatest Hits (songbook)","Steven Tyler And Joe Perry - Walk This Way.pdf","Aerosmith - Walk This Way.pdf","True","Aerosmith\Greatest Hits (songbook)\Songs\Steven Tyler And Joe Perry - Walk This Way.pdf","Aerosmith\books\Greatest Hits (songbook)\Aerosmith - Walk This Way.pdf"
"Aerosmith","Greatest Hits (songbook)","Steven Tyler And Tom Hamilton - Sweet Emotion.pdf","Aerosmith - Sweet Emotion.pdf","True","Aerosmith\Greatest Hits (songbook)\Songs\Steven Tyler And Tom Hamilton - Sweet Emotion.pdf","Aerosmith\books\Greatest Hits (songbook)\Aerosmith - Sweet Emotion.pdf"
"Aerosmith","Greatest Hits (songbook)","Steven Tyler, Joe Perry And Desmond Child - Dude (looks Like A Lady).pdf","Aerosmith - Dude (looks Like A Lady).pdf","True","Aerosmith\Greatest Hits (songbook)\Songs\Steven Tyler, Joe Perry And Desmond Child - Dude (looks Like A Lady).pdf","Aerosmith\books\Greatest Hits (songbook)\Aerosmith - Dude (looks Like A Lady).pdf"
"Aerosmith","Greatest Hits (songbook)","Steven Tyler, Joe Perry, Brad Whitford, Tom Hamilton And Joey Kramer - The Hop.pdf","Aerosmith - The Hop.pdf","True","Aerosmith\Greatest Hits (songbook)\Songs\Steven Tyler, Joe Perry, Brad Whitford, Tom Hamilton And Joey Kramer - The Hop.pdf","Aerosmith\books\Greatest Hits (songbook)\Aerosmith - The Hop.pdf"
"Aerosmith","Greatest Hits (songbook)","The Image Does Not Clearly Show The Artist Name, But It Lists The Songwriters As Tom Hamilton, Joey Kramer, Steven Tyler, Brad Whitford, And Jack Douglas - Kings & Queens.pdf","Aerosmith - Kings & Queens.pdf","True","Aerosmith\Greatest Hits (songbook)\Songs\The Image Does Not Clearly Show The Artist Name, But It Lists The Songwriters As Tom Hamilton, Joey Kramer, Steven Tyler, Brad Whitford, And Jack Douglas - Kings & Queens.pdf","Aerosmith\books\Greatest Hits (songbook)\Aerosmith - Kings & Queens.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Ain't Wastin' My Time No More.pdf","Allman Brothers - Ain't Wastin' My Time No More.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Ain't Wastin' My Time No More.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Ain't Wastin' My Time No More.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Black Hearted Woman.pdf","Allman Brothers - Black Hearted Woman.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Black Hearted Woman.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Black Hearted Woman.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Come And Go Blues.pdf","Allman Brothers - Come And Go Blues.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Come And Go Blues.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Come And Go Blues.pdf"
