csv_artist,csv_book_name,csv_source_path,csv_book_id,csv_s3_uri,match_score,match_reason,db_book_id,db_artist,db_book_name,db_source_uri,db_status,book_id_match
Beatles,Beatles - Abbey Road,Beatles\Beatles - Abbey Road.pdf,dd525838ae688c23,s3://jsmith-input/SheetMusic/Beatles/Beatles - Abbey Road.pdf,0.984,artist:1.00 book:1.00 path:0.92,3f44528586c6b01e,Beatles,Beatles - Abbey Road,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Abbey Road.pdf,success,NO
Beatles,Beatles - Abbey Road Guitar Recorded Version,Beatles\Beatles - Abbey Road Guitar Recorded Version.pdf,5eae18f5cc0efb37,s3://jsmith-input/SheetMusic/Beatles/Beatles - Abbey Road Guitar Recorded Version.pdf,0.991,artist:1.00 book:1.00 path:0.95,c76c9443cb7abe86,Beatles,Beatles - Abbey Road Guitar Recorded Version,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Abbey Road Guitar Recorded Version.pdf,success,NO
Beatles,Beatles - All Songs 1962-1974,Beatles\Beatles - All Songs 1962-1974.pdf,2a6c7b90e9e41d72,s3://jsmith-input/SheetMusic/Beatles/Beatles - All Songs 1962-1974.pdf,0.987,artist:1.00 book:1.00 path:0.94,7aad8a983d4d9f22,Beatles,Beatles - All Songs 1962-1974,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - All Songs 1962-1974.pdf,success,NO
Beatles,Beatles - Anthology,Beatles\Beatles - Anthology.pdf,82f0f881fa26256d,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology.pdf,0.983,artist:1.00 book:1.00 path:0.92,8bd7553c3ccea906,Beatles,Beatles - Anthology,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology.pdf,success,NO
Beatles,Beatles - Anthology 1,Beatles\Beatles - Anthology 1.pdf,5f35894724ca4309,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 1.pdf,0.984,artist:1.00 book:1.00 path:0.92,c2cb10aa834472a6,Beatles,Beatles - Anthology 1,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 1.pdf,success,NO
Beatles,Beatles - Anthology 1 _113 pages_,Beatles\Beatles - Anthology 1 _113 pages_.pdf,a68733db081a5f29,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 1 _113 pages_.pdf,0.988,artist:1.00 book:1.00 path:0.94,95202e805d4d534b,Beatles,Beatles - Anthology 1 (113 pages),s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 1 (113 pages).pdf,success,NO
Beatles,Beatles - Anthology 2 page_01_-_40,Beatles\Beatles - Anthology 2 page_01_-_40.pdf,1e420988d245d3e0,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 2 page_01_-_40.pdf,0.966,artist:1.00 book:0.97 path:0.92,0488ac528243689d,Beatles,Beatles - Anthology 2 (page 01 - 40),s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 2 (page 01 - 40).pdf,success,NO
Beatles,Beatles - Anthology 2 page_41_-72,Beatles\Beatles - Anthology 2 page_41_-72.pdf,8275a7b4105f7d3f,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 2 page_41_-72.pdf,0.966,artist:1.00 book:0.97 path:0.92,ef297196796237fb,Beatles,Beatles - Anthology 2 (page 41 -72),s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 2 (page 41 -72).pdf,success,NO
Beatles,Beatles - Anthology 2 page_73_-112,Beatles\Beatles - Anthology 2 page_73_-112.pdf,a1d3a378d8b8bd88,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 2 page_73_-112.pdf,0.967,artist:1.00 book:0.97 path:0.92,d73af0e246878f64,Beatles,Beatles - Anthology 2 (page 73 -112),s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 2 (page 73 -112).pdf,success,NO
Beatles,Beatles - Anthology 3 _page 37 - 79,Beatles\Beatles - Anthology 3 _page 37 - 79.pdf,16e814260df60b58,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 3 _page 37 - 79.pdf,0.988,artist:1.00 book:1.00 path:0.94,fc3b6bb7b542cdfb,Beatles,Beatles - Anthology 3 (page 37 - 79,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 3 (page 37 - 79.pdf,success,NO
Beatles,Beatles - Anthology 3 page_01_-_36,Beatles\Beatles - Anthology 3 page_01_-_36.pdf,ee770fc56c0d6144,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 3 page_01_-_36.pdf,0.966,artist:1.00 book:0.97 path:0.92,27b78f89fffa3bc8,Beatles,Beatles - Anthology 3 (page 01 - 36),s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 3 (page 01 - 36).pdf,success,NO
Beatles,Beatles - Anthology 3 page_80_-_111,Beatles\Beatles - Anthology 3 page_80_-_111.pdf,017a1f876dce0e96,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 3 page_80_-_111.pdf,0.967,artist:1.00 book:0.97 path:0.92,c1bb0fff38111074,Beatles,Beatles - Anthology 3 (page 80 - 111),s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 3 (page 80 - 111).pdf,success,NO
Beatles,Beatles - Beatlemania 1963-1966,Beatles\Beatles - Beatlemania 1963-1966.pdf,05b809bf994cabe5,s3://jsmith-input/SheetMusic/Beatles/Beatles - Beatlemania 1963-1966.pdf,0.988,artist:1.00 book:1.00 path:0.94,092274c023b730b6,Beatles,Beatles - Beatlemania 1963-1966,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Beatlemania 1963-1966.pdf,success,NO
Beatles,Beatles - Complete Scores,Beatles\Beatles - Complete Scores.pdf,8af56528b2d22c8a,s3://jsmith-input/SheetMusic/Beatles/Beatles - Complete Scores.pdf,0.986,artist:1.00 book:1.00 path:0.93,49c5c7e15a667c2a,Beatles,Beatles - Complete Scores,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Complete Scores.pdf,success,NO
Beatles,Beatles - Complete Scores _2_,Beatles\Beatles - Complete Scores _2_.pdf,91035ac2f1e99cfa,s3://jsmith-input/SheetMusic/Beatles/Beatles - Complete Scores _2_.pdf,0.987,artist:1.00 book:1.00 path:0.93,04752a8a8b42d418,Beatles,Beatles - Complete Scores (2),s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Complete Scores (2).pdf,success,NO
Beatles,Beatles - Essential Songs,Beatles\Beatles - Essential Songs.pdf,f7ce1a630f9bc1bd,s3://jsmith-input/SheetMusic/Beatles/Beatles - Essential Songs.pdf,0.986,artist:1.00 book:1.00 path:0.93,14ba16ab9eec736c,Beatles,Beatles - Essential Songs,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Essential Songs.pdf,success,NO
Beatles,Beatles - Fake Songbook _Guitar_,Beatles\Beatles - Fake Songbook _Guitar_.pdf,5337ebfa2a185408,s3://jsmith-input/SheetMusic/Beatles/Beatles - Fake Songbook _Guitar_.pdf,0.988,artist:1.00 book:1.00 path:0.94,9ba7068a7e1265f8,Beatles,Beatles - Fake Songbook (Guitar),s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Fake Songbook (Guitar).pdf,success,NO
Beatles,Beatles - Joy Of Beatles,Beatles\Beatles - Joy Of Beatles.pdf,26d9b78658456448,s3://jsmith-input/SheetMusic/Beatles/Beatles - Joy Of Beatles.pdf,0.986,artist:1.00 book:1.00 path:0.93,6abda5fb67cfbf1c,Beatles,Beatles - Joy Of Beatles,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Joy Of Beatles.pdf,success,NO
Beatles,Beatles - Live At The Hollywood Bowl,Beatles\Beatles - Live At The Hollywood Bowl.pdf,7a31782c67389efe,s3://jsmith-input/SheetMusic/Beatles/Beatles - Live At The Hollywood Bowl.pdf,0.989,artist:1.00 book:1.00 path:0.95,87cf60923a3bda7b,Beatles,Beatles - Live at the Hollywood Bowl,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Live at the Hollywood Bowl.pdf,success,NO
Beatles,Beatles - Live At The Hollywood Bowl _2_,Beatles\Beatles - Live At The Hollywood Bowl _2_.pdf,50b532542eab6bee,s3://jsmith-input/SheetMusic/Beatles/Beatles - Live At The Hollywood Bowl _2_.pdf,0.990,artist:1.00 book:1.00 path:0.95,03541bd7b4a582e7,Beatles,Beatles - Live At the Hollywood Bowl (2),s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Live At the Hollywood Bowl (2).pdf,success,NO
Beatles,Beatles - Revolver,Beatles\Beatles - Revolver.pdf,977bf5e0cc65c891,s3://jsmith-input/SheetMusic/Beatles/Beatles - Revolver.pdf,0.982,artist:1.00 book:1.00 path:0.91,673cff1f970b11d0,Beatles,Beatles - Revolver,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Revolver.pdf,success,NO
Beatles,Beatles - Revolver _2_,Beatles\Beatles - Revolver _2_.pdf,c7dc49e0406f6286,s3://jsmith-input/SheetMusic/Beatles/Beatles - Revolver _2_.pdf,0.984,artist:1.00 book:1.00 path:0.92,39a39dc149a1a313,Beatles,Beatles - Revolver (2),s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Revolver (2).pdf,success,NO
Beatles,Beatles - Rubber Soul,Beatles\Beatles - Rubber Soul.pdf,78ede4b55f4ea0b1,s3://jsmith-input/SheetMusic/Beatles/Beatles - Rubber Soul.pdf,0.984,artist:1.00 book:1.00 path:0.92,1a8f83853ced41c2,Beatles,Beatles - Rubber Soul,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Rubber Soul.pdf,success,NO
Beatles,Beatles - Sergeant Peppers Lonely Hearts Club Band,Beatles\Beatles - Sergeant Peppers Lonely Hearts Club Band.pdf,ac3fdc905690a701,s3://jsmith-input/SheetMusic/Beatles/Beatles - Sergeant Peppers Lonely Hearts Club Band.pdf,0.992,artist:1.00 book:1.00 path:0.96,63a168d1a573e286,Beatles,Beatles - Sergeant Pepper's Lonely Hearts Club Band,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Sergeant Pepper's Lonely Hearts Club Band.pdf,success,NO
