Input PDF,Output Folder 1,PDF Count 1,Output Folder 2,PDF Count 2,Similarity,Action Needed
_Broadway Shows\Various Artists - Little Shop Of Horrors _original_.pdf,_broadway Shows\Various Artists - Little Shop Of Horrors (original),2,_broadway Shows\Various Artists - Little Shop Of Horrors _original_,2,100.0% vs 100.0%,Compare and choose
_Broadway Shows\Various Artists - Mary Poppins.pdf,_broadway Shows\Various Artists - Mary Poppins,1,_broadway Shows\Various Artists - Aida,1,100.0% vs 76.9%,Compare and choose
_Broadway Shows\Various Artists - Rocky Horror Show Revised - Full Score.pdf,_broadway Shows\Various Artists - Rocky Horror Show Revised - Full Score,24,_broadway Shows\Various Artists - Rocky Horror Show,24,100.0% vs 76.9%,Compare and choose
_Broadway Shows\Various Artists - Rocky Horror Show.pdf,_broadway Shows\Various Artists - Rocky Horror Show,24,_broadway Shows\Various Artists - Rocky Horror Show Revised - Full Score,24,100.0% vs 76.9%,Compare and choose
_Broadway Shows\Various Artists - The Hobbit Score.pdf,_broadway Shows\Various Artists - The Hobbit Score,11,_broadway Shows\Various Artists - Evita _Score_,11,100.0% vs 83.1%,Compare and choose
_Broadway Shows\Various Artists - Youre A Good Man Charlie Brown _Score_.pdf,_broadway Shows\Various Artists - Youre A Good Man Charlie Brown _Score_,38,_broadway Shows\Various Artists - Youre A Good Man Charlie Brown _revival_ _score_,38,100.0% vs 91.8%,Compare and choose
_Movie and TV\John Williams - Star Wars Episode I - The Phantom Menace.pdf,_movie And Tv\John Williams - Star Wars Episode I - The Phantom Menace,1,_movie And Tv\John Williams - Star Wars Episode II - Attack Of The Clones _lite_,1,100.0% vs 73.8%,Compare and choose
_Movie and TV\John Williams - Star Wars Episode II - Attack Of The Clones _lite_.pdf,_movie And Tv\John Williams - Star Wars Episode II - Attack Of The Clones _lite_,1,_movie And Tv\John Williams - Star Wars Episode III - Revenge Of The Sith_Incomplete Grab_,1,100.0% vs 73.2%,Compare and choose
_Movie and TV\John Williams - Star Wars Episode III - Revenge Of The Sith_Incomplete Grab_.pdf,_movie And Tv\John Williams - Star Wars Episode III - Revenge Of The Sith_Incomplete Grab_,1,_movie And Tv\John Williams - Star Wars Episode II - Attack Of The Clones _lite_,1,100.0% vs 71.8%,Compare and choose
_Movie and TV\The New Illustrated Treasury Of Disney Songs.pdf,_movie And Tv\The New Illustrated Treasury Of Disney Songs,68,_movie And Tv\The New Illustrated Treasury Of Disney,68,100.0% vs 92.7%,Compare and choose
