local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_songs,local_only,s3_only,match_pct,count_diff_pct,quality
Beatles,Beatles - Anthology 1 _113 pages_,26,Beatles,Anthology 1 (113 Pages),26,26,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Anthology 2 page_01_-_40,9,Beatles,Anthology 2 (page 01 - 40),9,9,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Anthology 2 page_41_-72,1,Beatles,Anthology 2 (page 41 -72),1,1,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Anthology 2 page_73_-112,1,Beatles,Anthology 2 (page 73 -112),1,1,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Anthology 3 _page 37 - 79,1,Beatles,Anthology 3 (page 37 - 79,1,1,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Anthology 3 page_01_-_36,8,Beatles,Anthology 3 (page 01 - 36),8,8,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Anthology 3 page_80_-_111,1,Beatles,Anthology 3 (page 80 - 111),1,1,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Beatlemania 1963-1966,34,Beatles,Beatlemania 1963-1966,33,33,0,0,0.971,0.029,PERFECT
Beatles,Beatles - Complete Scores,210,Beatles,Complete Scores (2),210,210,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Complete Scores _2_,210,Beatles,Complete Scores,210,210,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Essential Songs,96,Beatles,Essential Songs,96,96,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Fake Songbook _Guitar_,178,Beatles,Fake Songbook (guitar),250,177,0,0,0.994,0.404,PERFECT
Beatles,Beatles - Joy Of Beatles,1,Beatles,Beatles - Joy Of Beatles,1,1,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Live At The Hollywood Bowl,12,Beatles,Live At The Hollywood Bowl (2),12,12,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Live At The Hollywood Bowl _2_,12,Beatles,Live At The Hollywood Bowl,12,12,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Revolver,14,Beatles,Revolver,14,14,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Revolver _2_,14,Beatles,Revolver (2),14,14,0,0,1.0,0.0,PERFECT
Beatles,Beatles - Rubber Soul,13,Beatles,Rubber Soul,14,13,0,0,1.0,0.077,PERFECT
Beatles,Beatles - Sergeant Peppers Lonely Hearts Club Band,1,Beatles,Beatles - Sergeant Pepper's Lonely Hearts Club Band,1,1,0,0,1.0,0.0,PERFECT
