BookFolder,NormalizedName,PDFCount,TotalFiles,IsDuplicate,DuplicateCount
Beatles/Beatles - White Album 1 (guitar Recorded Version),Beatles/White Album 1 (guitar Recorded Version),5,5,Yes,2
Beatles/Complete Scores,Beatles/Complete Scores,210,210,Yes,2
Beatles/Complete Scores (2),Beatles/Complete Scores (2),210,210,Yes,2
Beatles/Essential Songs,Beatles/Essential Songs,96,96,Yes,2
Beatles/Fake Songbook (guitar),Beatles/Fake Songbook (guitar),250,250,Yes,2
Beatles/Joy Of Beatles,Beatles/Joy Of Beatles,1,1,Yes,2
Beatles/Live At The Hollywood Bowl,Beatles/Live At The Hollywood Bowl,12,12,Yes,2
Beatles/Live At The Hollywood Bowl (2),Beatles/Live At The Hollywood Bowl (2),12,12,Yes,2
Beatles/Revolver,Beatles/Revolver,14,14,Yes,2
Beatles/Revolver (2),Beatles/Revolver (2),14,14,Yes,2
Beatles/Rubber Soul,Beatles/Rubber Soul,14,14,Yes,2
Beatles/Sergeant Pepper's Lonely Hearts Club Band,Beatles/Sergeant Pepper's Lonely Hearts Club Band,1,1,Yes,2
Beatles/Singles Collection [pvg],Beatles/Singles Collection [pvg],26,26,Yes,2
Beatles/Songbook,Beatles/Songbook,194,194,Yes,2
Beatles/White Album 1 (guitar Recorded Version),Beatles/White Album 1 (guitar Recorded Version),1,1,Yes,2
Bee Gees/Anthology,Bee Gees/Anthology,1,1,Yes,2
Bee Gees/Bee Gees - Anthology,Bee Gees/Anthology,1,1,Yes,2
Belinda Carlisle/5 Of The Best [pvg],Belinda Carlisle/5 Of The Best [pvg],5,5,Yes,2
Belinda Carlisle/Belinda Carlisle - 5 Of The Best [pvg],Belinda Carlisle/5 Of The Best [pvg],3,3,Yes,2
Ben Folds/Ben Folds - Rockin' The Suburbs [book],Ben Folds/Rockin' The Suburbs [book],1,1,Yes,2
Ben Folds/Ben Folds - Songs For Silverman,Ben Folds/Songs For Silverman,6,6,Yes,2
Ben Folds/Ben Folds - Songs For The Silverman,Ben Folds/Songs For The Silverman,6,6,Yes,2
Ben Folds/Ben Folds Five - Rockin' The Suburbs,Ben Folds/Ben Folds Five - Rockin' The Suburbs,8,8,No,1
Ben Folds/Ben Folds Five - Selections From Naked Baby Photos [score],Ben Folds/Ben Folds Five - Selections From Naked Baby Photos [score],18,18,No,1
Ben Folds/Ben Folds Five - Whatever And Ever Amen [book],Ben Folds/Ben Folds Five - Whatever And Ever Amen [book],15,15,No,1
Ben Folds/Rockin' The Suburbs [book],Ben Folds/Rockin' The Suburbs [book],1,1,Yes,2
Ben Folds/Songs For Silverman,Ben Folds/Songs For Silverman,13,13,Yes,2
Ben Folds/Songs For The Silverman,Ben Folds/Songs For The Silverman,13,13,Yes,2
Billy Joel/52nd Street,Billy Joel/52nd Street,9,9,No,1
Billy Joel/Best Of Piano Solos,Billy Joel/Best Of Piano Solos,13,13,No,1
Billy Joel/Billy Joel - Anthology,Billy Joel/Anthology,29,29,No,1
Billy Joel/Billy Joel - Fantasies & Delusions,Billy Joel/Fantasies & Delusions,11,11,No,1
Billy Joel/Billy Joel - Glass Houses,Billy Joel/Glass Houses,10,10,No,1
Billy Joel/Billy Joel - Greatest Hits,Billy Joel/Greatest Hits,21,21,No,1
Billy Joel/Billy Joel - Keyboard Book,Billy Joel/Keyboard Book,15,15,No,1
Billy Joel/Billy Joel - Turnstiles,Billy Joel/Turnstiles,8,8,No,1
Billy Joel/Billy Joel Greatest Hits Vols 1 And 2,Billy Joel/Billy Joel Greatest Hits Vols 1 And 2,12,12,No,1
Billy Joel/Billy Joel Greatest Hits Vols 1 And 2-(0001),Billy Joel/Billy Joel Greatest Hits Vols 1 And 2-(0001),11,11,No,1
Billy Joel/Complete Vol 1,Billy Joel/Complete Vol 1,47,47,No,1
Billy Joel/Complete Vol 2,Billy Joel/Complete Vol 2,48,48,No,1
Billy Joel/For Advanced Piano,Billy Joel/For Advanced Piano,11,11,No,1
Billy Joel/Greatest Hits Vol I And Ii,Billy Joel/Greatest Hits Vol I And Ii,21,21,No,1
Billy Joel/Greatest Hits Vol Iii,Billy Joel/Greatest Hits Vol Iii,1,1,No,1
Billy Joel/My Lives,Billy Joel/My Lives,72,72,No,1
Billy Joel/Rock Score,Billy Joel/Rock Score,8,8,No,1
Billy Joel/Songs In The Attic,Billy Joel/Songs In The Attic,11,11,No,1
Billy Ocean/Billy Ocean - The Best Of,Billy Ocean/The Best Of,5,5,Yes,2
Billy Ocean/The Best Of,Billy Ocean/The Best Of,10,10,Yes,2
Black Eyed Peas/Black Eyed Peas - Elephunk [pvg Book],Black Eyed Peas/Elephunk [pvg Book],8,8,Yes,2
Black Eyed Peas/Elephunk [pvg Book],Black Eyed Peas/Elephunk [pvg Book],11,11,Yes,2
Blondie/Great Bands Of The 70s,Blondie/Great Bands Of The 70s,1,1,No,1
Blues Brothers/Blues Brothers - Complete,Blues Brothers/Complete,6,6,Yes,2
Blues Brothers/Complete,Blues Brothers/Complete,12,12,Yes,2
Bob Dylan/Anthology,Bob Dylan/Anthology,45,45,Yes,2
Bob Dylan/Anthology 1,Bob Dylan/Anthology 1,45,45,Yes,2
Bob Dylan/Anthology 2,Bob Dylan/Anthology 2,50,50,Yes,2
Bob Dylan/Basement Tapes [pvg],Bob Dylan/Basement Tapes [pvg],24,24,Yes,2
Bob Dylan/Blonde On Blonde,Bob Dylan/Blonde On Blonde,13,13,Yes,2
Bob Dylan/Bob Dylan - Anthology,Bob Dylan/Anthology,43,43,Yes,2
Bob Dylan/Bob Dylan - Anthology 1,Bob Dylan/Anthology 1,41,41,Yes,2
Bob Dylan/Bob Dylan - Anthology 2,Bob Dylan/Anthology 2,49,49,Yes,2
Bob Dylan/Bob Dylan - Basement Tapes [pvg],Bob Dylan/Basement Tapes [pvg],5,5,Yes,2
Bob Dylan/Bob Dylan - Blonde On Blonde,Bob Dylan/Blonde On Blonde,6,6,Yes,2
Bob Dylan/Bob Dylan - Collection,Bob Dylan/Collection,24,24,Yes,2
Bob Dylan/Bob Dylan - Desire,Bob Dylan/Desire,2,2,Yes,2
Bob Dylan/Bob Dylan - Finger Picking,Bob Dylan/Finger Picking,9,9,Yes,2
Bob Dylan/Bob Dylan - Highway 61 Revisited,Bob Dylan/Highway 61 Revisited,1,1,Yes,2
Bob Dylan/Bob Dylan - Nashville Skyline,Bob Dylan/Nashville Skyline,1,1,No,1
Bob Dylan/Bob Dylan - Rock Score,Bob Dylan/Rock Score,3,3,Yes,2
Bob Dylan/Bob Dylan - Songbook,Bob Dylan/Songbook,12,12,Yes,2
Bob Dylan/Bob Dylan - The Harp Styles Of Bob Dylan [harmonica],Bob Dylan/The Harp Styles Of Bob Dylan [harmonica],3,3,Yes,2
