BookName,CurrentArtist,CorrectArtist,CurrentPath,TargetPath,NeedsArtistRename,NeedsFolderRestructure
Beatles - Joy Of Beatles,Beatles,Beatles,SheetMusic\Beatles\Books\Beatles - Joy Of Beatles.pdf,SheetMusic\Beatles\Beatles - Joy Of Beatles.pdf,False,True
Beatles - Live At The Hollywood Bowl _2_,Beatles,Beatles,SheetMusic\Beatles\Books\Beatles - Live At The Hollywood Bowl _2_.pdf,SheetMusic\Beatles\Beatles - Live At The Hollywood Bowl _2_.pdf,False,True
Beatles - Live At The Hollywood Bowl,Beatles,Beatles,SheetMusic\Beatles\Books\Beatles - Live At The Hollywood Bowl.pdf,SheetMusic\Beatles\Beatles - Live At The Hollywood Bowl.pdf,False,True
Beatles - Revolver _2_,Beatles,Beatles,SheetMusic\Beatles\Books\Beatles - Revolver _2_.pdf,SheetMusic\Beatles\Beatles - Revolver _2_.pdf,False,True
Beatles - Revolver,Beatles,Beatles,SheetMusic\Beatles\Books\Beatles - Revolver.pdf,SheetMusic\Beatles\Beatles - Revolver.pdf,False,True
Beatles - Rubber Soul,Beatles,Beatles,SheetMusic\Beatles\Books\Beatles - Rubber Soul.pdf,SheetMusic\Beatles\Beatles - Rubber Soul.pdf,False,True
Beatles - Sergeant Peppers Lonely Hearts Club Band,Beatles,Beatles,SheetMusic\Beatles\Books\Beatles - Sergeant Peppers Lonely Hearts Club Band.pdf,SheetMusic\Beatles\Beatles - Sergeant Peppers Lonely Hearts Club Band.pdf,False,True
Beatles - Singles Collection _PVG_,Beatles,Beatles,SheetMusic\Beatles\Books\Beatles - Singles Collection _PVG_.pdf,SheetMusic\Beatles\Beatles - Singles Collection _PVG_.pdf,False,True
Beatles - Songbook,Beatles,Beatles,SheetMusic\Beatles\Books\Beatles - Songbook.pdf,SheetMusic\Beatles\Beatles - Songbook.pdf,False,True
Beatles - White Album 1 _Guitar Recorded Version_,Beatles,Beatles,SheetMusic\Beatles\Books\Beatles - White Album 1 _Guitar Recorded Version_.pdf,SheetMusic\Beatles\Beatles - White Album 1 _Guitar Recorded Version_.pdf,False,True
