BookName,CurrentArtist,CorrectArtist,CurrentPath,TargetPath,NeedsArtistRename,NeedsFolderRestructure
Dire Straits - Jam With Dire Straits _Guitar Book_,Dire Straits,Dire Straits,SheetMusic\Dire Straits\Books\Dire Straits - Jam With Dire Straits _Guitar Book_.pdf,SheetMusic\Dire Straits\Dire Straits - Jam With Dire Straits _Guitar Book_.pdf,False,True
Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_,Dire Straits,Dire Straits,SheetMusic\Dire Straits\Books\Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_.pdf,SheetMusic\Dire Straits\Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_.pdf,False,True
Dire Straits - Money For Nothing _Guitar Book_,Dire Straits,Dire Straits,SheetMusic\Dire Straits\Books\Dire Straits - Money For Nothing _Guitar Book_.pdf,SheetMusic\Dire Straits\Dire Straits - Money For Nothing _Guitar Book_.pdf,False,True
Don Henley - Actual Miles _Greatest Hits_,Don Henley,Don Henley,SheetMusic\Don Henley\Books\Don Henley - Actual Miles _Greatest Hits_.pdf,SheetMusic\Don Henley\Don Henley - Actual Miles _Greatest Hits_.pdf,False,True
Don Henley - The End Of The Innocence _PVG Book_,Don Henley,Don Henley,SheetMusic\Don Henley\Books\Don Henley - The End Of The Innocence _PVG Book_.pdf,SheetMusic\Don Henley\Don Henley - The End Of The Innocence _PVG Book_.pdf,False,True
Doobie Brothers - Best Of _Band Score Jap_,Doobie Brothers,Doobie Brothers,SheetMusic\Doobie Brothers\Books\Doobie Brothers - Best Of _Band Score Jap_.pdf,SheetMusic\Doobie Brothers\Doobie Brothers - Best Of _Band Score Jap_.pdf,False,True
Doobie Brothers - Songs,Doobie Brothers,Doobie Brothers,SheetMusic\Doobie Brothers\Books\Doobie Brothers - Songs.pdf,SheetMusic\Doobie Brothers\Doobie Brothers - Songs.pdf,False,True
Doors - Anthology,Doors,Doors,SheetMusic\Doors\Books\Doors - Anthology.pdf,SheetMusic\Doors\Doors - Anthology.pdf,False,True
Doors - Songbook,Doors,Doors,SheetMusic\Doors\Books\Doors - Songbook.pdf,SheetMusic\Doors\Doors - Songbook.pdf,False,True
Dr John - New Orleans Piano Vol 2,Dr John,Dr John,SheetMusic\Dr John\Books\Dr John - New Orleans Piano Vol 2.pdf,SheetMusic\Dr John\Dr John - New Orleans Piano Vol 2.pdf,False,True
Duran Duran - Best Of _Score_,Duran Duran,Duran Duran,SheetMusic\Duran Duran\Books\Duran Duran - Best Of _Score_.pdf,SheetMusic\Duran Duran\Duran Duran - Best Of _Score_.pdf,False,True
Duran Duran - Decade _PVG Book_,Duran Duran,Duran Duran,SheetMusic\Duran Duran\Books\Duran Duran - Decade _PVG Book_.pdf,SheetMusic\Duran Duran\Duran Duran - Decade _PVG Book_.pdf,False,True
Duran Duran - Seven And The Ragged Tiger _Jap Band Score_,Duran Duran,Duran Duran,SheetMusic\Duran Duran\Books\Duran Duran - Seven And The Ragged Tiger _Jap Band Score_.pdf,SheetMusic\Duran Duran\Duran Duran - Seven And The Ragged Tiger _Jap Band Score_.pdf,False,True
Eagles - Greatest Hits _1971-1975_,Eagles,Eagles,SheetMusic\Eagles\Books\Eagles - Greatest Hits _1971-1975_.pdf,SheetMusic\Eagles\Eagles - Greatest Hits _1971-1975_.pdf,False,True
Eagles - Greatest Hits,Eagles,Eagles,SheetMusic\Eagles\Books\Eagles - Greatest Hits.pdf,SheetMusic\Eagles\Eagles - Greatest Hits.pdf,False,True
Eagles - Hotel California _Guitar Songbook_,Eagles,Eagles,SheetMusic\Eagles\Books\Eagles - Hotel California _Guitar Songbook_.pdf,SheetMusic\Eagles\Eagles - Hotel California _Guitar Songbook_.pdf,False,True
Eagles - Made Easy For Guitar,Eagles,Eagles,SheetMusic\Eagles\Books\Eagles - Made Easy For Guitar.pdf,SheetMusic\Eagles\Eagles - Made Easy For Guitar.pdf,False,True
Eagles - New Eagles Complete,Eagles,Eagles,SheetMusic\Eagles\Books\Eagles - New Eagles Complete.pdf,SheetMusic\Eagles\Eagles - New Eagles Complete.pdf,False,True
Eagles - The Best Of The Eagles - Songbook,Eagles,Eagles,SheetMusic\Eagles\Books\Eagles - The Best Of The Eagles - Songbook.pdf,SheetMusic\Eagles\Eagles - The Best Of The Eagles - Songbook.pdf,False,True
ELO - A New World Record,ELO,Elo,SheetMusic\ELO\Books\ELO - A New World Record.pdf,SheetMusic\Elo\ELO - A New World Record.pdf,True,True
Elo - Anthology _PVG_,ELO,Elo,SheetMusic\ELO\Books\Elo - Anthology _PVG_.pdf,SheetMusic\Elo\Elo - Anthology _PVG_.pdf,True,True
Elo - Discovery _PVG Book_,ELO,Elo,SheetMusic\ELO\Books\Elo - Discovery _PVG Book_.pdf,SheetMusic\Elo\Elo - Discovery _PVG Book_.pdf,True,True
Elo - Face The Music _PVG Bok_,ELO,Elo,SheetMusic\ELO\Books\Elo - Face The Music _PVG Bok_.pdf,SheetMusic\Elo\Elo - Face The Music _PVG Bok_.pdf,True,True
ELO - Greatest Hits,ELO,Elo,SheetMusic\ELO\Books\ELO - Greatest Hits.pdf,SheetMusic\Elo\ELO - Greatest Hits.pdf,True,True
Elo - Out Of The Blue _Book_,ELO,Elo,SheetMusic\ELO\Books\Elo - Out Of The Blue _Book_.pdf,SheetMusic\Elo\Elo - Out Of The Blue _Book_.pdf,True,True
Elton John - A Single Man,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - A Single Man.pdf,SheetMusic\Elton John\Elton John - A Single Man.pdf,False,True
Elton John - Captain Fantastic,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - Captain Fantastic.pdf,SheetMusic\Elton John\Elton John - Captain Fantastic.pdf,False,True
Elton John - Goodbye Yellow Brick Road,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - Goodbye Yellow Brick Road.pdf,SheetMusic\Elton John\Elton John - Goodbye Yellow Brick Road.pdf,False,True
Elton John - Greatest Hits 1970-2002,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - Greatest Hits 1970-2002.pdf,SheetMusic\Elton John\Elton John - Greatest Hits 1970-2002.pdf,False,True
Elton John - Ice On Fire,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - Ice On Fire.pdf,SheetMusic\Elton John\Elton John - Ice On Fire.pdf,False,True
Elton John - Made In England,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - Made In England.pdf,SheetMusic\Elton John\Elton John - Made In England.pdf,False,True
Elton John - Peachtree Road,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - Peachtree Road.pdf,SheetMusic\Elton John\Elton John - Peachtree Road.pdf,False,True
Elton John - Reg Strikes Back,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - Reg Strikes Back.pdf,SheetMusic\Elton John\Elton John - Reg Strikes Back.pdf,False,True
Elton John - Sleeping With The Past,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - Sleeping With The Past.pdf,SheetMusic\Elton John\Elton John - Sleeping With The Past.pdf,False,True
Elton John - Songs From The West Coast,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - Songs From The West Coast.pdf,SheetMusic\Elton John\Elton John - Songs From The West Coast.pdf,False,True
Elton John - The Big Picture,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - The Big Picture.pdf,SheetMusic\Elton John\Elton John - The Big Picture.pdf,False,True
Elton John - The Elton John Collection _Piano Solos_,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - The Elton John Collection _Piano Solos_.pdf,SheetMusic\Elton John\Elton John - The Elton John Collection _Piano Solos_.pdf,False,True
Elton John - The One,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - The One.pdf,SheetMusic\Elton John\Elton John - The One.pdf,False,True
Elton John - The Ultimate Collection Vol 1,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - The Ultimate Collection Vol 1.pdf,SheetMusic\Elton John\Elton John - The Ultimate Collection Vol 1.pdf,False,True
Elton John - The Ultimate Collection Vol 2,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - The Ultimate Collection Vol 2.pdf,SheetMusic\Elton John\Elton John - The Ultimate Collection Vol 2.pdf,False,True
Elton John - The Very Best Of,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - The Very Best Of.pdf,SheetMusic\Elton John\Elton John - The Very Best Of.pdf,False,True
Elton John - Too Low For Zero _Book_,Elton John,Elton John,SheetMusic\Elton John\Books\Elton John - Too Low For Zero _Book_.pdf,SheetMusic\Elton John\Elton John - Too Low For Zero _Book_.pdf,False,True
Elvis Costello - The Very Best Of,Elvis Costello,Elvis Costello,SheetMusic\Elvis Costello\Books\Elvis Costello - The Very Best Of.pdf,SheetMusic\Elvis Costello\Elvis Costello - The Very Best Of.pdf,False,True
Elvis Presley - The Compleat _PVG Book_,Elvis Presley,Elvis Presley,SheetMusic\Elvis Presley\Books\Elvis Presley - The Compleat _PVG Book_.pdf,SheetMusic\Elvis Presley\Elvis Presley - The Compleat _PVG Book_.pdf,False,True
Emerson Lake And Palmer - Black Book,Emerson Lake and Palmer,Emerson Lake And Palmer,SheetMusic\Emerson Lake and Palmer\Books\Emerson Lake And Palmer - Black Book.pdf,SheetMusic\Emerson Lake And Palmer\Emerson Lake And Palmer - Black Book.pdf,True,True
Emerson Lake And Palmer - Greatest Hits,Emerson Lake and Palmer,Emerson Lake And Palmer,SheetMusic\Emerson Lake and Palmer\Books\Emerson Lake And Palmer - Greatest Hits.pdf,SheetMusic\Emerson Lake And Palmer\Emerson Lake And Palmer - Greatest Hits.pdf,True,True
Emerson Lake And Palmer - Tarkus _Book_,Emerson Lake and Palmer,Emerson Lake And Palmer,SheetMusic\Emerson Lake and Palmer\Books\Emerson Lake And Palmer - Tarkus _Book_.pdf,SheetMusic\Emerson Lake And Palmer\Emerson Lake And Palmer - Tarkus _Book_.pdf,True,True
Emerson Lake And Palmer - Trilogy _Book_,Emerson Lake and Palmer,Emerson Lake And Palmer,SheetMusic\Emerson Lake and Palmer\Books\Emerson Lake And Palmer - Trilogy _Book_.pdf,SheetMusic\Emerson Lake And Palmer\Emerson Lake And Palmer - Trilogy _Book_.pdf,True,True
Eric Clapton - Derek And The Dominos _Book_,Eric Clapton,Eric Clapton,SheetMusic\Eric Clapton\Books\Eric Clapton - Derek And The Dominos _Book_.pdf,SheetMusic\Eric Clapton\Eric Clapton - Derek And The Dominos _Book_.pdf,False,True
Eric Clapton - The Best Of Book,Eric Clapton,Eric Clapton,SheetMusic\Eric Clapton\Books\Eric Clapton - The Best Of Book.pdf,SheetMusic\Eric Clapton\Eric Clapton - The Best Of Book.pdf,False,True
Eric Clapton - The Cream Of Clapton,Eric Clapton,Eric Clapton,SheetMusic\Eric Clapton\Books\Eric Clapton - The Cream Of Clapton.pdf,SheetMusic\Eric Clapton\Eric Clapton - The Cream Of Clapton.pdf,False,True
Eric Clapton - Unplugged _Book_,Eric Clapton,Eric Clapton,SheetMusic\Eric Clapton\Books\Eric Clapton - Unplugged _Book_.pdf,SheetMusic\Eric Clapton\Eric Clapton - Unplugged _Book_.pdf,False,True
Fleetwood Mac - Anthology,Fleetwood Mac,Fleetwood Mac,SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Anthology.pdf,SheetMusic\Fleetwood Mac\Fleetwood Mac - Anthology.pdf,False,True
Fleetwood Mac - Deluxe Anthology,Fleetwood Mac,Fleetwood Mac,SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Deluxe Anthology.pdf,SheetMusic\Fleetwood Mac\Fleetwood Mac - Deluxe Anthology.pdf,False,True
Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find,Fleetwood Mac,Fleetwood Mac,SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find.pdf,SheetMusic\Fleetwood Mac\Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find.pdf,False,True
Fleetwood Mac - Mirage,Fleetwood Mac,Fleetwood Mac,SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Mirage.pdf,SheetMusic\Fleetwood Mac\Fleetwood Mac - Mirage.pdf,False,True
Fleetwood Mac - Rumours,Fleetwood Mac,Fleetwood Mac,SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Rumours.pdf,SheetMusic\Fleetwood Mac\Fleetwood Mac - Rumours.pdf,False,True
Fleetwood Mac - Tango In The Night,Fleetwood Mac,Fleetwood Mac,SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Tango In The Night.pdf,SheetMusic\Fleetwood Mac\Fleetwood Mac - Tango In The Night.pdf,False,True
Fleetwood Mac - The Dance,Fleetwood Mac,Fleetwood Mac,SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - The Dance.pdf,SheetMusic\Fleetwood Mac\Fleetwood Mac - The Dance.pdf,False,True
Frank Zappa - Hot Rats,Frank Zappa,Frank Zappa,SheetMusic\Frank Zappa\Books\Frank Zappa - Hot Rats.pdf,SheetMusic\Frank Zappa\Frank Zappa - Hot Rats.pdf,False,True
Frank Zappa - Songbook Vol 1,Frank Zappa,Frank Zappa,SheetMusic\Frank Zappa\Books\Frank Zappa - Songbook Vol 1.pdf,SheetMusic\Frank Zappa\Frank Zappa - Songbook Vol 1.pdf,False,True
Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_,Frank Zappa,Frank Zappa,SheetMusic\Frank Zappa\Books\Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_.pdf,SheetMusic\Frank Zappa\Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_.pdf,False,True
Fray - How To Save A Life _Book_,Fray,Fray,SheetMusic\Fray\Books\Fray - How To Save A Life _Book_.pdf,SheetMusic\Fray\Fray - How To Save A Life _Book_.pdf,False,True
Garth Brooks - No Fences _Guitar Tab_,Garth Brooks,Garth Brooks,SheetMusic\Garth Brooks\Books\Garth Brooks - No Fences _Guitar Tab_.pdf,SheetMusic\Garth Brooks\Garth Brooks - No Fences _Guitar Tab_.pdf,False,True
Garth Brooks - The Hits _Guitar Tab_,Garth Brooks,Garth Brooks,SheetMusic\Garth Brooks\Books\Garth Brooks - The Hits _Guitar Tab_.pdf,SheetMusic\Garth Brooks\Garth Brooks - The Hits _Guitar Tab_.pdf,False,True
Garth Brooks - The Limited Series,Garth Brooks,Garth Brooks,SheetMusic\Garth Brooks\Books\Garth Brooks - The Limited Series.pdf,SheetMusic\Garth Brooks\Garth Brooks - The Limited Series.pdf,False,True
Genesis - A Trick Of The Tail _Book_,Genesis,Genesis,SheetMusic\Genesis\Books\Genesis - A Trick Of The Tail _Book_.pdf,SheetMusic\Genesis\Genesis - A Trick Of The Tail _Book_.pdf,False,True
Genesis - Anthology,Genesis,Genesis,SheetMusic\Genesis\Books\Genesis - Anthology.pdf,SheetMusic\Genesis\Genesis - Anthology.pdf,False,True
Genesis - Best Of Vol 1,Genesis,Genesis,SheetMusic\Genesis\Books\Genesis - Best Of Vol 1.pdf,SheetMusic\Genesis\Genesis - Best Of Vol 1.pdf,False,True
Genesis - Invisible Touch _Book_,Genesis,Genesis,SheetMusic\Genesis\Books\Genesis - Invisible Touch _Book_.pdf,SheetMusic\Genesis\Genesis - Invisible Touch _Book_.pdf,False,True
Genesis - Rock Score,Genesis,Genesis,SheetMusic\Genesis\Books\Genesis - Rock Score.pdf,SheetMusic\Genesis\Genesis - Rock Score.pdf,False,True
Genesis - Seconds Out,Genesis,Genesis,SheetMusic\Genesis\Books\Genesis - Seconds Out.pdf,SheetMusic\Genesis\Genesis - Seconds Out.pdf,False,True
Genesis - Selling England By The Pound,Genesis,Genesis,SheetMusic\Genesis\Books\Genesis - Selling England By The Pound.pdf,SheetMusic\Genesis\Genesis - Selling England By The Pound.pdf,False,True
George Michael - Greatest Hits,George Michael,George Michael,SheetMusic\George Michael\Books\George Michael - Greatest Hits.pdf,SheetMusic\George Michael\George Michael - Greatest Hits.pdf,False,True
George Michael - Older _Book_,George Michael,George Michael,SheetMusic\George Michael\Books\George Michael - Older _Book_.pdf,SheetMusic\George Michael\George Michael - Older _Book_.pdf,False,True
Grand Funk - Closer To Home _PVG Book_,Grand Funk Railroad,Grand Funk Railroad,SheetMusic\Grand Funk Railroad\Books\Grand Funk - Closer To Home _PVG Book_.pdf,SheetMusic\Grand Funk Railroad\Grand Funk - Closer To Home _PVG Book_.pdf,False,True
Grand Funk - Were An American Band _PVG Book_,Grand Funk Railroad,Grand Funk Railroad,SheetMusic\Grand Funk Railroad\Books\Grand Funk - Were An American Band _PVG Book_.pdf,SheetMusic\Grand Funk Railroad\Grand Funk - Were An American Band _PVG Book_.pdf,False,True
Grand Funk Railroad - Born To Die _PVG Book_,Grand Funk Railroad,Grand Funk Railroad,SheetMusic\Grand Funk Railroad\Books\Grand Funk Railroad - Born To Die _PVG Book_.pdf,SheetMusic\Grand Funk Railroad\Grand Funk Railroad - Born To Die _PVG Book_.pdf,False,True
Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_,Grand Funk Railroad,Grand Funk Railroad,SheetMusic\Grand Funk Railroad\Books\Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_.pdf,SheetMusic\Grand Funk Railroad\Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_.pdf,False,True
Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_,Harry Chapin,Harry Chapin,SheetMusic\Harry Chapin\Books\Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_.pdf,SheetMusic\Harry Chapin\Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_.pdf,False,True
Henry Mancini - A Merry Mancini Christmas,Henri Mancini,Henri Mancini,SheetMusic\Henri Mancini\Books\Henry Mancini - A Merry Mancini Christmas.pdf,SheetMusic\Henri Mancini\Henry Mancini - A Merry Mancini Christmas.pdf,False,True
Hermans Hermits - Collection,Herman's Hermits,Herman's Hermits,SheetMusic\Herman's Hermits\Books\Hermans Hermits - Collection.pdf,SheetMusic\Herman's Hermits\Hermans Hermits - Collection.pdf,False,True
Jackson Browne - Deluxe Anthology,Jackson Browne,Jackson Browne,SheetMusic\Jackson Browne\Books\Jackson Browne - Deluxe Anthology.pdf,SheetMusic\Jackson Browne\Jackson Browne - Deluxe Anthology.pdf,False,True
James Blunt - All The Lost Souls _Book_,James Blunt,James Blunt,SheetMusic\James Blunt\Books\James Blunt - All The Lost Souls _Book_.pdf,SheetMusic\James Blunt\James Blunt - All The Lost Souls _Book_.pdf,False,True
James Blunt - Back To Bedlam _Book_,James Blunt,James Blunt,SheetMusic\James Blunt\Books\James Blunt - Back To Bedlam _Book_.pdf,SheetMusic\James Blunt\James Blunt - Back To Bedlam _Book_.pdf,False,True
James Taylor - Classic _Guitar_,James Taylor,James Taylor,SheetMusic\James Taylor\Books\James Taylor - Classic _Guitar_.pdf,SheetMusic\James Taylor\James Taylor - Classic _Guitar_.pdf,False,True
James Taylor - Classics _guitar tab_,James Taylor,James Taylor,SheetMusic\James Taylor\Books\James Taylor - Classics _guitar tab_.pdf,SheetMusic\James Taylor\James Taylor - Classics _guitar tab_.pdf,False,True
James Taylor - Guitar Songbook,James Taylor,James Taylor,SheetMusic\James Taylor\Books\James Taylor - Guitar Songbook.pdf,SheetMusic\James Taylor\James Taylor - Guitar Songbook.pdf,False,True
James Taylor - James Taylor Songbook,James Taylor,James Taylor,SheetMusic\James Taylor\Books\James Taylor - James Taylor Songbook.pdf,SheetMusic\James Taylor\James Taylor - James Taylor Songbook.pdf,False,True
James Taylor - James Taylor _PVG Book_,James Taylor,James Taylor,SheetMusic\James Taylor\Books\James Taylor - James Taylor _PVG Book_.pdf,SheetMusic\James Taylor\James Taylor - James Taylor _PVG Book_.pdf,False,True
James Taylor - Thats Why Im Here _PVG Book_,James Taylor,James Taylor,SheetMusic\James Taylor\Books\James Taylor - Thats Why Im Here _PVG Book_.pdf,SheetMusic\James Taylor\James Taylor - Thats Why Im Here _PVG Book_.pdf,False,True
Jim Croce - Acoustic Fingerstyle Video Guitar Lessons,Jim Croce,Jim Croce,SheetMusic\Jim Croce\Books\Jim Croce - Acoustic Fingerstyle Video Guitar Lessons.pdf,SheetMusic\Jim Croce\Jim Croce - Acoustic Fingerstyle Video Guitar Lessons.pdf,False,True
Jimmy Buffett - Barometer Soup _PVG Book_,Jimmy Buffet,Jimmy Buffet,SheetMusic\Jimmy Buffet\Books\Jimmy Buffett - Barometer Soup _PVG Book_.pdf,SheetMusic\Jimmy Buffet\Jimmy Buffett - Barometer Soup _PVG Book_.pdf,False,True
Jimmy Buffett - Fruitcakes _PVG Book_,Jimmy Buffet,Jimmy Buffet,SheetMusic\Jimmy Buffet\Books\Jimmy Buffett - Fruitcakes _PVG Book_.pdf,SheetMusic\Jimmy Buffet\Jimmy Buffett - Fruitcakes _PVG Book_.pdf,False,True
Joe Cocker - Best Of,Joe Cocker,Joe Cocker,SheetMusic\Joe Cocker\Books\Joe Cocker - Best Of.pdf,SheetMusic\Joe Cocker\Joe Cocker - Best Of.pdf,False,True
Joe Cocker - Mad Dogs And Englishmen _Book_,Joe Cocker,Joe Cocker,SheetMusic\Joe Cocker\Books\Joe Cocker - Mad Dogs And Englishmen _Book_.pdf,SheetMusic\Joe Cocker\Joe Cocker - Mad Dogs And Englishmen _Book_.pdf,False,True
Joe Cocker - Songbook,Joe Cocker,Joe Cocker,SheetMusic\Joe Cocker\Books\Joe Cocker - Songbook.pdf,SheetMusic\Joe Cocker\Joe Cocker - Songbook.pdf,False,True
John Denver - Anthology _PVG_,John Denver,John Denver,SheetMusic\John Denver\Books\John Denver - Anthology _PVG_.pdf,SheetMusic\John Denver\John Denver - Anthology _PVG_.pdf,False,True
John Denver - Anthology,John Denver,John Denver,SheetMusic\John Denver\Books\John Denver - Anthology.pdf,SheetMusic\John Denver\John Denver - Anthology.pdf,False,True
John Denver - Back Home Again,John Denver,John Denver,SheetMusic\John Denver\Books\John Denver - Back Home Again.pdf,SheetMusic\John Denver\John Denver - Back Home Again.pdf,False,True
John Denver - Best Of _Easy Piano_,John Denver,John Denver,SheetMusic\John Denver\Books\John Denver - Best Of _Easy Piano_.pdf,SheetMusic\John Denver\John Denver - Best Of _Easy Piano_.pdf,False,True
John Denver - I Want To Live _PVG Book_,John Denver,John Denver,SheetMusic\John Denver\Books\John Denver - I Want To Live _PVG Book_.pdf,SheetMusic\John Denver\John Denver - I Want To Live _PVG Book_.pdf,False,True
John Denver - The Authentic Guitar Style Of,John Denver,John Denver,SheetMusic\John Denver\Books\John Denver - The Authentic Guitar Style Of.pdf,SheetMusic\John Denver\John Denver - The Authentic Guitar Style Of.pdf,False,True
John Lennon - Collection,John Lennon,John Lennon,SheetMusic\John Lennon\Books\John Lennon - Collection.pdf,SheetMusic\John Lennon\John Lennon - Collection.pdf,False,True
John Lennon - Greatest Hits,John Lennon,John Lennon,SheetMusic\John Lennon\Books\John Lennon - Greatest Hits.pdf,SheetMusic\John Lennon\John Lennon - Greatest Hits.pdf,False,True
Joni Mitchell - The Best Of _PVG_,Joni Mitchell,Joni Mitchell,SheetMusic\Joni Mitchell\Books\Joni Mitchell - The Best Of _PVG_.pdf,SheetMusic\Joni Mitchell\Joni Mitchell - The Best Of _PVG_.pdf,False,True
Joni Mitchell Songbook Complete Vol1 1966-1970,Joni Mitchell,Joni Mitchell,SheetMusic\Joni Mitchell\Books\Joni Mitchell Songbook Complete Vol1 1966-1970.pdf,SheetMusic\Joni Mitchell\Joni Mitchell Songbook Complete Vol1 1966-1970.pdf,False,True
Journey - Complete Songbook,Journey,Journey,SheetMusic\Journey\Books\Journey - Complete Songbook.pdf,SheetMusic\Journey\Journey - Complete Songbook.pdf,False,True
Journey - Complete,Journey,Journey,SheetMusic\Journey\Books\Journey - Complete.pdf,SheetMusic\Journey\Journey - Complete.pdf,False,True
Journey - Frontiers _Jap Band Score_,Journey,Journey,SheetMusic\Journey\Books\Journey - Frontiers _Jap Band Score_.pdf,SheetMusic\Journey\Journey - Frontiers _Jap Band Score_.pdf,False,True
Journey - Greatest Hits _Book_,Journey,Journey,SheetMusic\Journey\Books\Journey - Greatest Hits _Book_.pdf,SheetMusic\Journey\Journey - Greatest Hits _Book_.pdf,False,True
Journey - Greatest Hits,Journey,Journey,SheetMusic\Journey\Books\Journey - Greatest Hits.pdf,SheetMusic\Journey\Journey - Greatest Hits.pdf,False,True
Journey - Superbest _Jap Band Score_,Journey,Journey,SheetMusic\Journey\Books\Journey - Superbest _Jap Band Score_.pdf,SheetMusic\Journey\Journey - Superbest _Jap Band Score_.pdf,False,True
Journey - The Guitar Collection,Journey,Journey,SheetMusic\Journey\Books\Journey - The Guitar Collection.pdf,SheetMusic\Journey\Journey - The Guitar Collection.pdf,False,True
Judy Garland - Songbook,Judy Garland,Judy Garland,SheetMusic\Judy Garland\Books\Judy Garland - Songbook.pdf,SheetMusic\Judy Garland\Judy Garland - Songbook.pdf,False,True
Katy Perry - One Of The Boys _PVG Book_,Katy Perry,Katy Perry,SheetMusic\Katy Perry\Books\Katy Perry - One Of The Boys _PVG Book_.pdf,SheetMusic\Katy Perry\Katy Perry - One Of The Boys _PVG Book_.pdf,False,True
Kelly Clarkson - Breakaway _Book_,Kelly Clarkson,Kelly Clarkson,SheetMusic\Kelly Clarkson\Books\Kelly Clarkson - Breakaway _Book_.pdf,SheetMusic\Kelly Clarkson\Kelly Clarkson - Breakaway _Book_.pdf,False,True
Kenny Rogers - Love Or Something Like It _Book_,Kenny Rogers,Kenny Rogers,SheetMusic\Kenny Rogers\Books\Kenny Rogers - Love Or Something Like It _Book_.pdf,SheetMusic\Kenny Rogers\Kenny Rogers - Love Or Something Like It _Book_.pdf,False,True
Kinks - Best Of The Kinks _Score_,Kinks,Kinks,SheetMusic\Kinks\Books\Kinks - Best Of The Kinks _Score_.pdf,SheetMusic\Kinks\Kinks - Best Of The Kinks _Score_.pdf,False,True
Kinks - Best Of _Score_,Kinks,Kinks,SheetMusic\Kinks\Books\Kinks - Best Of _Score_.pdf,SheetMusic\Kinks\Kinks - Best Of _Score_.pdf,False,True
Kinks - Great Songs Of Kinks,Kinks,Kinks,SheetMusic\Kinks\Books\Kinks - Great Songs Of Kinks.pdf,SheetMusic\Kinks\Kinks - Great Songs Of Kinks.pdf,False,True
Kinks - Guitar Legends _Guitar_,Kinks,Kinks,SheetMusic\Kinks\Books\Kinks - Guitar Legends _Guitar_.pdf,SheetMusic\Kinks\Kinks - Guitar Legends _Guitar_.pdf,False,True
Kinks - Guitar Legends _Tab_,Kinks,Kinks,SheetMusic\Kinks\Books\Kinks - Guitar Legends _Tab_.pdf,SheetMusic\Kinks\Kinks - Guitar Legends _Tab_.pdf,False,True
Kinks - Jam With The Kinks _Tab_,Kinks,Kinks,SheetMusic\Kinks\Books\Kinks - Jam With The Kinks _Tab_.pdf,SheetMusic\Kinks\Kinks - Jam With The Kinks _Tab_.pdf,False,True
Led Zeppelin - Led Zeppelin II,Led Zepplin,Led Zepplin,SheetMusic\Led Zepplin\Books\Led Zeppelin - Led Zeppelin II.pdf,SheetMusic\Led Zepplin\Led Zeppelin - Led Zeppelin II.pdf,False,True
Led Zeppelin - Over The Hills And Far Away _PVG_,Led Zepplin,Led Zepplin,SheetMusic\Led Zepplin\Books\Led Zeppelin - Over The Hills And Far Away _PVG_.pdf,SheetMusic\Led Zepplin\Led Zeppelin - Over The Hills And Far Away _PVG_.pdf,False,True
