artist,expected_book,expected_count,status,keep_folder,delete_folders,notes
Ben Folds,Ben Folds - Songs For Silverman,13,DUPLICATE,Songs For Silverman,Ben Folds - Songs For Silverman,"Keep 13 songs, delete 6 songs from 1 folders"
Ben Folds,Ben Folds - Songs For The Silverman,13,DUPLICATE,Songs For The Silverman,Ben Folds - Songs For The Silverman,"Keep 13 songs, delete 6 songs from 1 folders"
Ben Folds,Ben Folds Five - Rockin The Suburbs,12,MISSING,,,No matching folder found in S3
Ben Folds,Ben Folds Five - Selections From Naked Baby Photos _Score_,15,MISSING,,,No matching folder found in S3
Ben Folds,Ben Folds Five - Whatever And Ever Amen _Book_,12,MISSING,,,No matching folder found in S3
Billy Joel,Billy Joel - 52nd Street,9,OK,52nd Street,,"Single folder, 9 songs"
Billy Joel,Billy Joel - Anthology,29,OK,Billy Joel - Anthology,,"Single folder, 29 songs"
Billy Joel,Billy Joel - Best Of Piano Solos,13,OK,Best Of Piano Solos,,"Single folder, 13 songs"
Billy Joel,Billy Joel - Complete Vol 1,47,OK,Complete Vol 1,,"Single folder, 47 songs"
Billy Joel,Billy Joel - Complete Vol 2,48,OK,Complete Vol 2,,"Single folder, 48 songs"
Billy Joel,Billy Joel - Fantasies And Delusions,11,MISSING,,,No matching folder found in S3
Billy Joel,Billy Joel - For Advanced Piano,11,OK,For Advanced Piano,,"Single folder, 11 songs"
Billy Joel,Billy Joel - Glass Houses,10,OK,Billy Joel - Glass Houses,,"Single folder, 10 songs"
Billy Joel,Billy Joel - Greatest Hits,21,OK,Billy Joel - Greatest Hits,,"Single folder, 21 songs"
Billy Joel,Billy Joel - Greatest Hits Vol I And II,21,DUPLICATE,Billy Joel - Greatest Hits,Greatest Hits Vol I And Ii,"Keep 21 songs, delete 21 songs from 1 folders"
Billy Joel,Billy Joel - Greatest Hits Vol III,1,DUPLICATE,Greatest Hits Vol Iii,Billy Joel - Greatest Hits,"Keep 1 songs, delete 21 songs from 1 folders"
Billy Joel,Billy Joel - Keyboard Book,15,OK,Billy Joel - Keyboard Book,,"Single folder, 15 songs"
Billy Joel,Billy Joel - My Lives,72,OK,My Lives,,"Single folder, 72 songs"
Billy Joel,Billy Joel - Rock Score,8,OK,Rock Score,,"Single folder, 8 songs"
Billy Joel,Billy Joel - Songs In The Attic,11,OK,Songs In The Attic,,"Single folder, 11 songs"
Billy Joel,Billy Joel - Turnstiles,8,OK,Billy Joel - Turnstiles,,"Single folder, 8 songs"
Billy Joel,Billy Joel Greatest Hits Vols 1 And 2,11,DUPLICATE,Billy Joel Greatest Hits Vols 1 And 2-(0001),Billy Joel Greatest Hits Vols 1 And 2,"Keep 11 songs, delete 12 songs from 1 folders"
Billy Ocean,Billy Ocean - The Best Of,10,DUPLICATE,The Best Of,Billy Ocean - The Best Of,"Keep 10 songs, delete 5 songs from 1 folders"
Black Eyed Peas,Black Eyed Peas - Elephunk _PVG Book_,11,MISSING,,,No matching folder found in S3
Blues Brothers,Blues Brothers - Complete,12,DUPLICATE,Complete,Blues Brothers - Complete,"Keep 12 songs, delete 6 songs from 1 folders"
Bob Dylan,Bob Dylan - Anthology,46,DUPLICATE,Anthology,Bob Dylan - Anthology | Bob Dylan - Anthology 1 | Bob Dylan - Anthology 2,"Keep 45 songs, delete 133 songs from 3 folders"
Bob Dylan,Bob Dylan - Anthology 1,46,DUPLICATE,Anthology,Anthology 1 | Bob Dylan - Anthology | Bob Dylan - Anthology 1,"Keep 45 songs, delete 129 songs from 3 folders"
Bob Dylan,Bob Dylan - Anthology 2,51,DUPLICATE,Anthology 2,Anthology | Bob Dylan - Anthology | Bob Dylan - Anthology 2,"Keep 50 songs, delete 137 songs from 3 folders"
Bob Dylan,Bob Dylan - Basement Tapes _PVG_,24,MISSING,,,No matching folder found in S3
Bob Dylan,Bob Dylan - Blonde On Blonde,13,DUPLICATE,Blonde On Blonde,Bob Dylan - Blonde On Blonde,"Keep 13 songs, delete 6 songs from 1 folders"
Bob Dylan,Bob Dylan - Collection,47,DUPLICATE,Collection,Bob Dylan - Collection,"Keep 46 songs, delete 24 songs from 1 folders"
Bob Dylan,Bob Dylan - Desire,9,DUPLICATE,Desire,Bob Dylan - Desire,"Keep 9 songs, delete 2 songs from 1 folders"
Bob Dylan,Bob Dylan - Finger Picking,14,DUPLICATE,Finger Picking,Bob Dylan - Finger Picking,"Keep 14 songs, delete 9 songs from 1 folders"
Bob Dylan,Bob Dylan - Highway 61 Revisited,10,DUPLICATE,Highway 61 Revisited,Bob Dylan - Highway 61 Revisited,"Keep 10 songs, delete 1 songs from 1 folders"
Bob Dylan,Bob Dylan - Nashville Skyline,1,OK,Bob Dylan - Nashville Skyline,,"Single folder, 1 songs"
Bob Dylan,Bob Dylan - Rock Score,6,DUPLICATE,Rock Score,Bob Dylan - Rock Score,"Keep 6 songs, delete 3 songs from 1 folders"
Bob Dylan,Bob Dylan - Saved,8,OK,Saved,,"Single folder, 8 songs"
Bob Dylan,Bob Dylan - Songbook,47,DUPLICATE,Songbook,Bob Dylan - Songbook,"Keep 47 songs, delete 12 songs from 1 folders"
Bob Dylan,Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,12,MISSING,,,No matching folder found in S3
Bob Seger,Bob Seger - Greatest Hits,14,DUPLICATE,Greatest Hits,Bob Seger - Greatest Hits,"Keep 14 songs, delete 4 songs from 1 folders"
Bob Seger,Bob Seger - The New Best Of Bob Seger,5,DUPLICATE,The New Best Of Bob Seger,Bob Seger - The New Best Of Bob Seger,"Keep 5 songs, delete 3 songs from 1 folders"
Bon Jovi,Bon Jovi - Best Of Bon Jovi,19,DUPLICATE,Best Of Bon Jovi,Bon Jovi - Best Of Bon Jovi,"Keep 19 songs, delete 18 songs from 1 folders"
Bonnie Raitt,Bonnie Raitt - Nick Of Time _PVG Book_,1,MISSING,,,No matching folder found in S3
Bonnie Raitt,Bonnie Raitt - Road Tested _PVG Book_,22,MISSING,,,No matching folder found in S3
Bonnie Tyler,Bonnie Tyler - Hot Songs,7,DUPLICATE,Hot Songs,Bonnie Tyler - Hot Songs,"Keep 7 songs, delete 3 songs from 1 folders"
Bread,Bread - Best Of Bread,4,DUPLICATE,Best Of Bread,Bread - Best Of Bread,"Keep 4 songs, delete 3 songs from 1 folders"
Bruce Springsteen,Bruce Springsteen - Born In The USA,13,DUPLICATE,Born In The Usa,Bruce Springsteen - Born In The Usa,"Keep 13 songs, delete 5 songs from 1 folders"
Bruce Springsteen,Bruce Springsteen - Born To Run,8,DUPLICATE,Born To Run,Bruce Springsteen - Born To Run,"Keep 8 songs, delete 7 songs from 1 folders"
Bruce Springsteen,Bruce Springsteen - Greatest Hits,13,OK,Greatest Hits,,"Single folder, 13 songs"
Bruce Springsteen,Bruce Springsteen - Lucky Town,9,DUPLICATE,Lucky Town,Bruce Springsteen - Lucky Town,"Keep 9 songs, delete 2 songs from 1 folders"
Buddy Holly,Buddy Holly - Golden Anniversary Songbook,28,DUPLICATE,Golden Anniversary Songbook,Buddy Holly - Golden Anniversary Songbook,"Keep 27 songs, delete 9 songs from 1 folders"
Burl Ives,Burl Ives - Song Book,106,DUPLICATE,Song Book,Burl Ives - Song Book,"Keep 107 songs, delete 60 songs from 1 folders"
Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,40,DUPLICATE,40 Golden Songs Of,Burt Bacharach - 40 Golden Songs Of,"Keep 39 songs, delete 29 songs from 1 folders"
Burt Bacharach,Burt Bacharach - Anthology,33,DUPLICATE,Anthology,Burt Bacharach - Anthology,"Keep 33 songs, delete 15 songs from 1 folders"
Burt Bacharach,Burt Bacharach - Bacharach Collection,15,DUPLICATE,Bacharach Collection,Burt Bacharach - Bacharach Collection,"Keep 15 songs, delete 4 songs from 1 folders"
Carole King,Carole King - Bradleys Best Of The Best _Organ_,13,MISSING,,,No matching folder found in S3
Carole King,Carole King - Classics,21,DUPLICATE,Classics,Carole King - Classics | Carole King - Classics (2) | Carole King - Classics (3),"Keep 21 songs, delete 72 songs from 3 folders"
Carole King,Carole King - Classics _2_,35,DUPLICATE,Classics,Carole King - Classics,"Keep 21 songs, delete 15 songs from 1 folders"
Carole King,Carole King - Classics _3_,35,DUPLICATE,Classics,Carole King - Classics,"Keep 21 songs, delete 15 songs from 1 folders"
Carole King,Carole King - Keyboard Play-Along Vol 22,8,DUPLICATE,Keyboard Play-along Vol 22,Carole King - Keyboard Play-along Vol 22,"Keep 8 songs, delete 3 songs from 1 folders"
Carole King,Carole King - Tapestry,12,DUPLICATE,Tapestry,Carole King - Tapestry,"Keep 12 songs, delete 9 songs from 1 folders"
Carole King,Carole King - The New Best Of Carole King,19,DUPLICATE,The New Best Of Carole King,Carole King - The New Best Of Carole King,"Keep 19 songs, delete 4 songs from 1 folders"
Carole King,Carole King - Youre The Voice,11,MISSING,,,No matching folder found in S3
Carpenters,Carpenters - Anthology,43,DUPLICATE,Anthology,Carpenters - Anthology,"Keep 43 songs, delete 21 songs from 1 folders"
Carpenters,Carpenters - Love Songs,22,DUPLICATE,Love Songs,Carpenters - Love Songs,"Keep 22 songs, delete 19 songs from 1 folders"
Carpenters,Carpenters - Note For Note,11,DUPLICATE,Note For Note,Carpenters - Note For Note,"Keep 11 songs, delete 2 songs from 1 folders"
Cheap Trick,Cheap Trick - Greatest Hits _Score_,1,MISSING,,,No matching folder found in S3
Colbie Caillat,Colbie Caillat - Breakthrough _PVG Book_,13,MISSING,,,No matching folder found in S3
