"Artist","BookName","BookId","ExecutionArn","ExecutionName","StartTime"
"Crosby Stills and Nash","Crosby, Stills, Nash & Young - The Guitar Collection","1d278d16c41d35d0",,"retry5-Crosby-Stills-and-Nash-Crosby-Stills-Nash-Young-The-Guitar-Collection-20260128-011523-425",
"Dire Straits","Dire Straits - Mark Knopfler Guitar Styles Vol 1 [Guitar Book]","9c9bdd716e16b099",,"retry5-Dire-Straits-Dire-Straits-Mark-Knopfler-Guitar-Styles-Vol-1-Guitar-Book--20260128-011524-62",
"ELO","Elton John - The Elton John Collection [Piano Solos]","887e2e45ab7b3b97","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-ELO-Elton-John-The-Elton-John-Collection-Piano-Solos--20260128-011525-809","retry5-ELO-Elton-John-The-Elton-John-Collection-Piano-Solos--20260128-011525-809","2026-01-28T01:15:28.321000-05:00"
"Elvis Presley","Elvis Presley - The Compleat [PVG Book]","c55d9ca3c778dd38","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-Elvis-Presley-Elvis-Presley-The-Compleat-PVG-Book--20260128-011526-54","retry5-Elvis-Presley-Elvis-Presley-The-Compleat-PVG-Book--20260128-011526-54","2026-01-28T01:15:29.516000-05:00"
"Eric Clapton","Eric Clapton - The Cream of Clapton","36aa31bfab289567","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:retry5-Eric-Clapton-Eric-Clapton-The-Cream-of-Clapton-20260128-011528-906","retry5-Eric-Clapton-Eric-Clapton-The-Cream-of-Clapton-20260128-011528-906","2026-01-28T01:15:30.653000-05:00"
