"Artist","BookName","FolderPath","PDFCount"
"Blues Brothers","Complete","C:\Work\AWSMusic\ProcessedSongs\Blues Brothers\Complete","12"
"Bob Dylan","Anthology","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Anthology","46"
"Bob Dylan","Anthology 1","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Anthology 1","46"
"Bob Dylan","Anthology 2","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Anthology 2","51"
"Bob Dylan","Blonde On Blonde","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Blonde On Blonde","13"
"Bob Dylan","Bob Dylan - Nashville Skyline","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Bob Dylan - Nashville Skyline","1"
"Bob Dylan","Collection","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Collection","47"
"Bob Dylan","Desire","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Desire","9"
"Bob Dylan","Finger Picking","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Finger Picking","14"
"Bob Dylan","Highway 61 Revisited","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Highway 61 Revisited","10"
"Bob Dylan","Rock Score","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Rock Score","6"
"Bob Dylan","Saved","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Saved","8"
"Bob Dylan","Songbook","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Songbook","47"
"Bob Seger","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Bob Seger\Greatest Hits","14"
"Bob Seger","The New Best Of Bob Seger","C:\Work\AWSMusic\ProcessedSongs\Bob Seger\The New Best Of Bob Seger","5"
"Bon Jovi","Best Of Bon Jovi","C:\Work\AWSMusic\ProcessedSongs\Bon Jovi\Best Of Bon Jovi","19"
"Bonnie Tyler","Hot Songs","C:\Work\AWSMusic\ProcessedSongs\Bonnie Tyler\Hot Songs","7"
"Bread","Best Of Bread","C:\Work\AWSMusic\ProcessedSongs\Bread\Best Of Bread","4"
"Bruce Springsteen","Born In The Usa","C:\Work\AWSMusic\ProcessedSongs\Bruce Springsteen\Born In The Usa","13"
"Bruce Springsteen","Born To Run","C:\Work\AWSMusic\ProcessedSongs\Bruce Springsteen\Born To Run","8"
"Bruce Springsteen","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Bruce Springsteen\Greatest Hits","13"
"Bruce Springsteen","Lucky Town","C:\Work\AWSMusic\ProcessedSongs\Bruce Springsteen\Lucky Town","9"
"Buddy Holly","Golden Anniversary Songbook","C:\Work\AWSMusic\ProcessedSongs\Buddy Holly\Golden Anniversary Songbook","28"
"Burl Ives","Song Book","C:\Work\AWSMusic\ProcessedSongs\Burl Ives\Song Book","106"
"Burt Bacharach","40 Golden Songs Of","C:\Work\AWSMusic\ProcessedSongs\Burt Bacharach\40 Golden Songs Of","40"
"Burt Bacharach","Anthology","C:\Work\AWSMusic\ProcessedSongs\Burt Bacharach\Anthology","33"
"Burt Bacharach","Bacharach Collection","C:\Work\AWSMusic\ProcessedSongs\Burt Bacharach\Bacharach Collection","15"
"Carole King","Bradley's Best Of The Best (organ)","C:\Work\AWSMusic\ProcessedSongs\Carole King\Bradley's Best Of The Best (organ)","13"
"Carole King","Classics","C:\Work\AWSMusic\ProcessedSongs\Carole King\Classics","21"
"Carole King","Classics (2)","C:\Work\AWSMusic\ProcessedSongs\Carole King\Classics (2)","35"
"Carole King","Classics (3)","C:\Work\AWSMusic\ProcessedSongs\Carole King\Classics (3)","35"
"Carole King","Keyboard Play-along Vol 22","C:\Work\AWSMusic\ProcessedSongs\Carole King\Keyboard Play-along Vol 22","8"
"Carole King","Tapestry","C:\Work\AWSMusic\ProcessedSongs\Carole King\Tapestry","12"
"Carole King","The New Best Of Carole King","C:\Work\AWSMusic\ProcessedSongs\Carole King\The New Best Of Carole King","19"
"Carole King","You're The Voice","C:\Work\AWSMusic\ProcessedSongs\Carole King\You're The Voice","11"
"Carpenters","Anthology","C:\Work\AWSMusic\ProcessedSongs\Carpenters\Anthology","43"
"Carpenters","Love Songs","C:\Work\AWSMusic\ProcessedSongs\Carpenters\Love Songs","22"
"Carpenters","Note For Note","C:\Work\AWSMusic\ProcessedSongs\Carpenters\Note For Note","11"
"Cole Porter","The Very Best Of Cole Porter","C:\Work\AWSMusic\ProcessedSongs\Cole Porter\The Very Best Of Cole Porter","38"
"Cream","Cream Complete","C:\Work\AWSMusic\ProcessedSongs\Cream\Cream Complete","25"
"Creedence Clearwater Revival","8 Pcs Book","C:\Work\AWSMusic\ProcessedSongs\Creedence Clearwater Revival\8 Pcs Book","8"
"Creedence Clearwater Revival","Best Of","C:\Work\AWSMusic\ProcessedSongs\Creedence Clearwater Revival\Best Of","20"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Guitar Tab Book","C:\Work\AWSMusic\ProcessedSongs\Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Tab Book","7"
"Creedence Clearwater Revival","Guitar Anthology","C:\Work\AWSMusic\ProcessedSongs\Creedence Clearwater Revival\Guitar Anthology","20"
"Creedence Clearwater Revival","Ultimate Minus One","C:\Work\AWSMusic\ProcessedSongs\Creedence Clearwater Revival\Ultimate Minus One","7"
"Dire Straits","Dire Straits - Brothers In Arms","C:\Work\AWSMusic\ProcessedSongs\Dire Straits\Dire Straits - Brothers In Arms","9"
"Don Henley","Don Henley - Actual Miles (greatest Hits)","C:\Work\AWSMusic\ProcessedSongs\Don Henley\Don Henley - Actual Miles (greatest Hits)","3"
"Doobie Brothers","Songs","C:\Work\AWSMusic\ProcessedSongs\Doobie Brothers\Songs","9"
"Doors","Anthology","C:\Work\AWSMusic\ProcessedSongs\Doors\Anthology","12"
"Doors","Songbook","C:\Work\AWSMusic\ProcessedSongs\Doors\Songbook","6"
"Dr John","New Orleans Piano Vol 2","C:\Work\AWSMusic\ProcessedSongs\Dr John\New Orleans Piano Vol 2","3"
"Eagles","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Eagles\Greatest Hits","10"
"Eagles","Greatest Hits (1971-1975)","C:\Work\AWSMusic\ProcessedSongs\Eagles\Greatest Hits (1971-1975)","10"
"Eagles","Hotel California (guitar Songbook)","C:\Work\AWSMusic\ProcessedSongs\Eagles\Hotel California (guitar Songbook)","1"
"Eagles","Made Easy For Guitar","C:\Work\AWSMusic\ProcessedSongs\Eagles\Made Easy For Guitar","6"
"Eagles","New Eagles Complete","C:\Work\AWSMusic\ProcessedSongs\Eagles\New Eagles Complete","67"
"Eagles","The Best Of The Eagles - Songbook","C:\Work\AWSMusic\ProcessedSongs\Eagles\The Best Of The Eagles - Songbook","12"
"Elo","A New World Record","C:\Work\AWSMusic\ProcessedSongs\Elo\A New World Record","7"
"Elo","Elo - Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Elo\Elo - Greatest Hits","2"
"Elton John","A Single Man","C:\Work\AWSMusic\ProcessedSongs\Elton John\A Single Man","10"
