PDF_Path,Artist,PDF_Stem,Book_Name,Expected_Folder
SheetMusic\_Broadway Shows\Books\Various Artists - Aladdin _book_.pdf,_Broadway Shows,Various Artists - Aladdin _book_,Aladdin _book_,ProcessedSongs\_Broadway Shows\Aladdin _book_
SheetMusic\_Broadway Shows\Books\Various Artists - Annie - Full Score.pdf,_Broadway Shows,Various Artists - Annie - Full Score,Annie - Full Score,ProcessedSongs\_Broadway Shows\Annie - Full Score
SheetMusic\_Broadway Shows\Books\Various Artists - Avenue Q - Full Score.pdf,_Broadway Shows,Various Artists - Avenue Q - Full Score,Avenue Q - Full Score,ProcessedSongs\_Broadway Shows\Avenue Q - Full Score
SheetMusic\_Broadway Shows\Books\Various Artists - Avenue X - Vocal Chorus Book.pdf,_Broadway Shows,Various Artists - Avenue X - Vocal Chorus Book,Avenue X - Vocal Chorus Book,ProcessedSongs\_Broadway Shows\Avenue X - Vocal Chorus Book
SheetMusic\_Broadway Shows\Books\Various Artists - Beauty And The Beast _1994 MTI PC Score complete_.pdf,_Broadway Shows,Various Artists - Beauty And The Beast _1994 MTI PC Score complete_,Beauty And The Beast _1994 MTI PC Score complete_,ProcessedSongs\_Broadway Shows\Beauty And The Beast _1994 MTI PC Score complete_
SheetMusic\_Broadway Shows\Books\Various Artists - Beauty And The Beast _Score_.pdf,_Broadway Shows,Various Artists - Beauty And The Beast _Score_,Beauty And The Beast _Score_,ProcessedSongs\_Broadway Shows\Beauty And The Beast _Score_
SheetMusic\_Broadway Shows\Books\Various Artists - Best In Broadway Deluxe Edition.pdf,_Broadway Shows,Various Artists - Best In Broadway Deluxe Edition,Best In Broadway Deluxe Edition,ProcessedSongs\_Broadway Shows\Best In Broadway Deluxe Edition
SheetMusic\_Broadway Shows\Books\Various Artists - Cabaret _1998 version_.pdf,_Broadway Shows,Various Artists - Cabaret _1998 version_,Cabaret _1998 version_,ProcessedSongs\_Broadway Shows\Cabaret _1998 version_
SheetMusic\_Broadway Shows\Books\Various Artists - Cabaret _Original_.pdf,_Broadway Shows,Various Artists - Cabaret _Original_,Cabaret _Original_,ProcessedSongs\_Broadway Shows\Cabaret _Original_
SheetMusic\_Broadway Shows\Books\Various Artists - Cats - Conductor Score.pdf,_Broadway Shows,Various Artists - Cats - Conductor Score,Cats - Conductor Score,ProcessedSongs\_Broadway Shows\Cats - Conductor Score
SheetMusic\_Broadway Shows\Books\Various Artists - Chicago _1975_.pdf,_Broadway Shows,Various Artists - Chicago _1975_,Chicago _1975_,ProcessedSongs\_Broadway Shows\Chicago _1975_
SheetMusic\_Broadway Shows\Books\Various Artists - Dear Evan Hansen _PVG_.pdf,_Broadway Shows,Various Artists - Dear Evan Hansen _PVG_,Dear Evan Hansen _PVG_,ProcessedSongs\_Broadway Shows\Dear Evan Hansen _PVG_
SheetMusic\_Broadway Shows\Books\Various Artists - Dirty Rotten Scoundrels _Piano-Vocal_.pdf,_Broadway Shows,Various Artists - Dirty Rotten Scoundrels _Piano-Vocal_,Dirty Rotten Scoundrels _Piano-Vocal_,ProcessedSongs\_Broadway Shows\Dirty Rotten Scoundrels _Piano-Vocal_
SheetMusic\_Broadway Shows\Books\Various Artists - Evita _Conductor Score_.pdf,_Broadway Shows,Various Artists - Evita _Conductor Score_,Evita _Conductor Score_,ProcessedSongs\_Broadway Shows\Evita _Conductor Score_
SheetMusic\_Broadway Shows\Books\Various Artists - Evita _Score_.pdf,_Broadway Shows,Various Artists - Evita _Score_,Evita _Score_,ProcessedSongs\_Broadway Shows\Evita _Score_
SheetMusic\_Broadway Shows\Books\Various Artists - Footloose _Score_.pdf,_Broadway Shows,Various Artists - Footloose _Score_,Footloose _Score_,ProcessedSongs\_Broadway Shows\Footloose _Score_
SheetMusic\_Broadway Shows\Books\Various Artists - Grease _1994 Score_.pdf,_Broadway Shows,Various Artists - Grease _1994 Score_,Grease _1994 Score_,ProcessedSongs\_Broadway Shows\Grease _1994 Score_
SheetMusic\_Broadway Shows\Books\Various Artists - Grease _2003 Score_.pdf,_Broadway Shows,Various Artists - Grease _2003 Score_,Grease _2003 Score_,ProcessedSongs\_Broadway Shows\Grease _2003 Score_
SheetMusic\_Broadway Shows\Books\Various Artists - Hair _rev 1995_ - Piano Conductor Score.pdf,_Broadway Shows,Various Artists - Hair _rev 1995_ - Piano Conductor Score,Hair _rev 1995_ - Piano Conductor Score,ProcessedSongs\_Broadway Shows\Hair _rev 1995_ - Piano Conductor Score
SheetMusic\_Broadway Shows\Books\Various Artists - High School Musical 1 _Libretto_.pdf,_Broadway Shows,Various Artists - High School Musical 1 _Libretto_,High School Musical 1 _Libretto_,ProcessedSongs\_Broadway Shows\High School Musical 1 _Libretto_
SheetMusic\_Broadway Shows\Books\Various Artists - High School Musical _score_.pdf,_Broadway Shows,Various Artists - High School Musical _score_,High School Musical _score_,ProcessedSongs\_Broadway Shows\High School Musical _score_
SheetMusic\_Broadway Shows\Books\Various Artists - Jesus Christ Superstar.pdf,_Broadway Shows,Various Artists - Jesus Christ Superstar,Jesus Christ Superstar,ProcessedSongs\_Broadway Shows\Jesus Christ Superstar
SheetMusic\_Broadway Shows\Books\Various Artists - Legally Blonde - score.pdf,_Broadway Shows,Various Artists - Legally Blonde - score,Legally Blonde - score,ProcessedSongs\_Broadway Shows\Legally Blonde - score
SheetMusic\_Broadway Shows\Books\Various Artists - Les Miserables - Full Score.pdf,_Broadway Shows,Various Artists - Les Miserables - Full Score,Les Miserables - Full Score,ProcessedSongs\_Broadway Shows\Les Miserables - Full Score
SheetMusic\_Broadway Shows\Books\Various Artists - Les Miserables - Piano-conductor _complete_.pdf,_Broadway Shows,Various Artists - Les Miserables - Piano-conductor _complete_,Les Miserables - Piano-conductor _complete_,ProcessedSongs\_Broadway Shows\Les Miserables - Piano-conductor _complete_
SheetMusic\_Broadway Shows\Books\Various Artists - Les Miserables - Piano-Conductor.pdf,_Broadway Shows,Various Artists - Les Miserables - Piano-Conductor,Les Miserables - Piano-Conductor,ProcessedSongs\_Broadway Shows\Les Miserables - Piano-Conductor
SheetMusic\_Broadway Shows\Books\Various Artists - Lion King _Score_.pdf,_Broadway Shows,Various Artists - Lion King _Score_,Lion King _Score_,ProcessedSongs\_Broadway Shows\Lion King _Score_
SheetMusic\_Broadway Shows\Books\Various Artists - Little Mermaid Workshop score.PDF,_Broadway Shows,Various Artists - Little Mermaid Workshop score,Little Mermaid Workshop score,ProcessedSongs\_Broadway Shows\Little Mermaid Workshop score
SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop Of Horrors Script.pdf,_Broadway Shows,Various Artists - Little Shop Of Horrors Script,Little Shop Of Horrors Script,ProcessedSongs\_Broadway Shows\Little Shop Of Horrors Script
SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop Of Horrors _Broadway_.pdf,_Broadway Shows,Various Artists - Little Shop Of Horrors _Broadway_,Little Shop Of Horrors _Broadway_,ProcessedSongs\_Broadway Shows\Little Shop Of Horrors _Broadway_
SheetMusic\_Broadway Shows\Books\Various Artists - Little Shop Of Horrors _original_.pdf,_Broadway Shows,Various Artists - Little Shop Of Horrors _original_,Little Shop Of Horrors _original_,ProcessedSongs\_Broadway Shows\Little Shop Of Horrors _original_
SheetMusic\_Broadway Shows\Books\Various Artists - Mary Poppins.pdf,_Broadway Shows,Various Artists - Mary Poppins,Mary Poppins,ProcessedSongs\_Broadway Shows\Mary Poppins
SheetMusic\_Broadway Shows\Books\Various Artists - Phantom Of Opera _SATB_.pdf,_Broadway Shows,Various Artists - Phantom Of Opera _SATB_,Phantom Of Opera _SATB_,ProcessedSongs\_Broadway Shows\Phantom Of Opera _SATB_
SheetMusic\_Broadway Shows\Books\Various Artists - Phantom Of The Opera _Score_.pdf,_Broadway Shows,Various Artists - Phantom Of The Opera _Score_,Phantom Of The Opera _Score_,ProcessedSongs\_Broadway Shows\Phantom Of The Opera _Score_
SheetMusic\_Broadway Shows\Books\Various Artists - Phantom Of The Opera.pdf,_Broadway Shows,Various Artists - Phantom Of The Opera,Phantom Of The Opera,ProcessedSongs\_Broadway Shows\Phantom Of The Opera
SheetMusic\_Broadway Shows\Books\Various Artists - Rent _Score_.pdf,_Broadway Shows,Various Artists - Rent _Score_,Rent _Score_,ProcessedSongs\_Broadway Shows\Rent _Score_
SheetMusic\_Broadway Shows\Books\Various Artists - Rocky Horror Show Revised - Full Score.pdf,_Broadway Shows,Various Artists - Rocky Horror Show Revised - Full Score,Rocky Horror Show Revised - Full Score,ProcessedSongs\_Broadway Shows\Rocky Horror Show Revised - Full Score
SheetMusic\_Broadway Shows\Books\Various Artists - Rocky Horror Show.pdf,_Broadway Shows,Various Artists - Rocky Horror Show,Rocky Horror Show,ProcessedSongs\_Broadway Shows\Rocky Horror Show
SheetMusic\_Broadway Shows\Books\Various Artists - Seussical - TYA.pdf,_Broadway Shows,Various Artists - Seussical - TYA,Seussical - TYA,ProcessedSongs\_Broadway Shows\Seussical - TYA
SheetMusic\_Broadway Shows\Books\Various Artists - Seussical _Piano-Conductor_.pdf,_Broadway Shows,Various Artists - Seussical _Piano-Conductor_,Seussical _Piano-Conductor_,ProcessedSongs\_Broadway Shows\Seussical _Piano-Conductor_
SheetMusic\_Broadway Shows\Books\Various Artists - Seussical _PV Score_.pdf,_Broadway Shows,Various Artists - Seussical _PV Score_,Seussical _PV Score_,ProcessedSongs\_Broadway Shows\Seussical _PV Score_
SheetMusic\_Broadway Shows\Books\Various Artists - Shrek The Musical.pdf,_Broadway Shows,Various Artists - Shrek The Musical,Shrek The Musical,ProcessedSongs\_Broadway Shows\Shrek The Musical
SheetMusic\_Broadway Shows\Books\Various Artists - Sound Of Music _Vocal Selections_.pdf,_Broadway Shows,Various Artists - Sound Of Music _Vocal Selections_,Sound Of Music _Vocal Selections_,ProcessedSongs\_Broadway Shows\Sound Of Music _Vocal Selections_
SheetMusic\_Broadway Shows\Books\Various Artists - Sound Of Music.pdf,_Broadway Shows,Various Artists - Sound Of Music,Sound Of Music,ProcessedSongs\_Broadway Shows\Sound Of Music
SheetMusic\_Broadway Shows\Books\Various Artists - Spamalot.pdf,_Broadway Shows,Various Artists - Spamalot,Spamalot,ProcessedSongs\_Broadway Shows\Spamalot
SheetMusic\_Broadway Shows\Books\Various Artists - Sweeney Todd Vocal Score.pdf,_Broadway Shows,Various Artists - Sweeney Todd Vocal Score,Sweeney Todd Vocal Score,ProcessedSongs\_Broadway Shows\Sweeney Todd Vocal Score
SheetMusic\_Broadway Shows\Books\Various Artists - The Hobbit Score.pdf,_Broadway Shows,Various Artists - The Hobbit Score,The Hobbit Score,ProcessedSongs\_Broadway Shows\The Hobbit Score
SheetMusic\_Broadway Shows\Books\Various Artists - The Ultimate BROADWAY fakebook.pdf,_Broadway Shows,Various Artists - The Ultimate BROADWAY fakebook,The Ultimate BROADWAY fakebook,ProcessedSongs\_Broadway Shows\The Ultimate BROADWAY fakebook
SheetMusic\_Broadway Shows\Books\Various Artists - Wicked _PVG_.pdf,_Broadway Shows,Various Artists - Wicked _PVG_,Wicked _PVG_,ProcessedSongs\_Broadway Shows\Wicked _PVG_
SheetMusic\_Broadway Shows\Books\Various Artists - Wicked _Score_.pdf,_Broadway Shows,Various Artists - Wicked _Score_,Wicked _Score_,ProcessedSongs\_Broadway Shows\Wicked _Score_
SheetMusic\_Broadway Shows\Books\Various Artists - Wizard Of Oz - Piano Conductor.pdf,_Broadway Shows,Various Artists - Wizard Of Oz - Piano Conductor,Wizard Of Oz - Piano Conductor,ProcessedSongs\_Broadway Shows\Wizard Of Oz - Piano Conductor
SheetMusic\_Broadway Shows\Books\Various Artists - Wizard Of Oz _RSC Piano-Conductor_.pdf,_Broadway Shows,Various Artists - Wizard Of Oz _RSC Piano-Conductor_,Wizard Of Oz _RSC Piano-Conductor_,ProcessedSongs\_Broadway Shows\Wizard Of Oz _RSC Piano-Conductor_
SheetMusic\_Broadway Shows\Books\Various Artists - Youre A Good Man Charlie Brown _revival_ _score_.pdf,_Broadway Shows,Various Artists - Youre A Good Man Charlie Brown _revival_ _score_,Youre A Good Man Charlie Brown _revival_ _score_,ProcessedSongs\_Broadway Shows\Youre A Good Man Charlie Brown _revival_ _score_
SheetMusic\_Broadway Shows\Books\Various Artists - Youre A Good Man Charlie Brown _Score_.pdf,_Broadway Shows,Various Artists - Youre A Good Man Charlie Brown _Score_,Youre A Good Man Charlie Brown _Score_,ProcessedSongs\_Broadway Shows\Youre A Good Man Charlie Brown _Score_
SheetMusic\_Broadway Shows\Books\Wicked Workshop.pdf,_Broadway Shows,Wicked Workshop,Wicked Workshop,ProcessedSongs\_Broadway Shows\Wicked Workshop
SheetMusic\_Broadway Shows\Steven Sondheim\Books\Steven Sondheim - All Sondheim Volume 2 BOOK.pdf,_Broadway Shows,Steven Sondheim - All Sondheim Volume 2 BOOK,All Sondheim Volume 2 BOOK,ProcessedSongs\_Broadway Shows\All Sondheim Volume 2 BOOK
SheetMusic\_Movie and TV\Disney\Books\High School Musical - Breaking Free - Piano Sheet Music.pdf,_Movie and TV,High School Musical - Breaking Free - Piano Sheet Music,Breaking Free - Piano Sheet Music,ProcessedSongs\_Movie and TV\Breaking Free - Piano Sheet Music
SheetMusic\_Movie and TV\Disney\Books\Kasha And Hirschorn - Petes Dragon.pdf,_Movie and TV,Kasha And Hirschorn - Petes Dragon,Petes Dragon,ProcessedSongs\_Movie and TV\Petes Dragon
SheetMusic\_Movie and TV\Disney\Books\Pirates Of The Caribbean _Book 1 - The Curse Of The Black Pearl_.pdf,_Movie and TV,Pirates Of The Caribbean _Book 1 - The Curse Of The Black Pearl_,The Curse Of The Black Pearl_,ProcessedSongs\_Movie and TV\The Curse Of The Black Pearl_
SheetMusic\_Movie and TV\Disney\Books\Pirates Of The Caribbean _Book 2 - Dead Mans Chest_.pdf,_Movie and TV,Pirates Of The Caribbean _Book 2 - Dead Mans Chest_,Dead Mans Chest_,ProcessedSongs\_Movie and TV\Dead Mans Chest_
SheetMusic\_Movie and TV\Disney\Books\Various Artists - Disney Duets.pdf,_Movie and TV,Various Artists - Disney Duets,Disney Duets,ProcessedSongs\_Movie and TV\Disney Duets
SheetMusic\_Movie and TV\Disney\Books\Various Artists - Disney Fake Book.pdf,_Movie and TV,Various Artists - Disney Fake Book,Disney Fake Book,ProcessedSongs\_Movie and TV\Disney Fake Book
SheetMusic\_Movie and TV\Disney\Books\Various Artists - Disney Solos For Violin.pdf,_Movie and TV,Various Artists - Disney Solos For Violin,Disney Solos For Violin,ProcessedSongs\_Movie and TV\Disney Solos For Violin
SheetMusic\_Movie and TV\John Williams\Books\John Williams - Greatest Hits.pdf,_Movie and TV,John Williams - Greatest Hits,Greatest Hits,ProcessedSongs\_Movie and TV\Greatest Hits
SheetMusic\_Movie and TV\John Williams\Books\John Williams - Star Wars Episode I - The Phantom Menace.pdf,_Movie and TV,John Williams - Star Wars Episode I - The Phantom Menace,Star Wars Episode I - The Phantom Menace,ProcessedSongs\_Movie and TV\Star Wars Episode I - The Phantom Menace
