from_artist,from_book,to_artist,to_book,match_quality,song_count
Bob Dylan,Finger Picking,Bob Dylan,Bob Dylan - Finger Picking,GOOD,14
Bob Dylan,Highway 61 Revisited,Bob Dylan,Bob Dylan - Highway 61 Revisited,PERFECT,10
Bob Dylan,Rock Score,Bob Dylan,Bob Dylan - Rock Score,PERFECT,6
Bob Dylan,Saved,Bob Dylan,Bob Dylan - Saved,GOOD,8
Bob Dylan,Songbook,Bob Dylan,Bob Dylan - Songbook,EXCELLENT,47
Bob Dylan,The Harp Styles Of Bob Dylan [harmonica],Bob Dylan,Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,PERFECT,12
Bob Seger,Greatest Hits,Bob Seger,Bob Seger - Greatest Hits,GOOD,14
Bob Seger,Greatest Hits,Bob Seger,Bob Seger - The New Best Of Bob Seger,GOOD,14
Bonnie Raitt,Bonnie Raitt - Nick Of Time [pvg Book],Bonnie Raitt,Bonnie Raitt - Nick Of Time _PVG Book_,PERFECT,1
Bruce Springsteen,Born In The Usa,Bruce Springsteen,Bruce Springsteen - Born In The USA,PERFECT,13
Bruce Springsteen,Lucky Town,Bruce Springsteen,Bruce Springsteen - Lucky Town,PERFECT,9
Carole King,Carole King - Classics (2),Carole King,Carole King - Bradleys Best Of The Best _Organ_,PARTIAL,30
Carole King,Carole King - Classics (2),Carole King,Carole King - Classics,GOOD,30
Carole King,Carole King - Classics (2),Carole King,Carole King - Classics _2_,GOOD,30
Carole King,Carole King - Classics (2),Carole King,Carole King - Classics _3_,GOOD,30
Carole King,Carole King - Classics (2),Carole King,Carole King - Keyboard Play-Along Vol 22,PARTIAL,30
Carole King,Carole King - Classics (2),Carole King,Carole King - Tapestry,PARTIAL,30
Carole King,Carole King - Classics (2),Carole King,Carole King - The New Best Of Carole King,PARTIAL,30
Carole King,Carole King - Classics (2),Carole King,Carole King - Youre The Voice,PARTIAL,30
Carpenters,Carpenters - Love Songs,Carpenters,Carpenters - Note For Note,PARTIAL,19
Cheap Trick,Cheap Trick - Greatest Hits [score],Cheap Trick,Cheap Trick - Greatest Hits _Score_,PERFECT,1
Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,Creedence Clearwater Revival,Creedence Clearwater Revival - Ultimate Minus One,PARTIAL,13
David Crosby,David Crosby - Songbook [lead Sheets],David Crosby,David Crosby - Songbook _Lead Sheets_,PERFECT,1
Dire Straits,Dire Straits - Jam With Dire Straits [guitar Book],Dire Straits,Dire Straits - Jam With Dire Straits _Guitar Book_,PARTIAL,5
Dire Straits,Dire Straits - Jam With Dire Straits [guitar Book],Dire Straits,Dire Straits - Money For Nothing _Guitar Book_,PERFECT,5
Don Henley,Don Henley - Actual Miles (greatest Hits),Don Henley,Don Henley - Actual Miles _Greatest Hits_,PERFECT,3
Don Henley,Don Henley - The End Of The Innocence [pvg Book],Don Henley,Don Henley - The End Of The Innocence _PVG Book_,PARTIAL,5
Doobie Brothers,Doobie Brothers - Best Of [band Score Jap],Doobie Brothers,Doobie Brothers - Best Of _Band Score Jap_,PERFECT,1
Duran Duran,Best Of [score],Duran Duran,Duran Duran - Best Of _Score_,PARTIAL,19
Duran Duran,Best Of [score],Duran Duran,Duran Duran - Seven And The Ragged Tiger _Jap Band Score_,PARTIAL,19
Eagles,Eagles - New Eagles Complete,Eagles,Eagles - Greatest Hits,PARTIAL,27
Eagles,Eagles - New Eagles Complete,Eagles,Eagles - Greatest Hits _1971-1975_,PARTIAL,27
Eagles,Eagles - Hotel California (guitar Songbook),Eagles,Eagles - Hotel California _Guitar Songbook_,PERFECT,1
Elo,Anthology [pvg],Elo,ELO - A New World Record,GOOD,32
Elo,Elo - Greatest Hits,Elo,ELO - Greatest Hits,PERFECT,2
Elo,Anthology [pvg],Elo,Elo - Anthology _PVG_,PERFECT,32
Elo,Elo - Discovery [pvg Book],Elo,Elo - Discovery _PVG Book_,PERFECT,7
Elo,Elo - Face The Music [pvg Bok],Elo,Elo - Face The Music _PVG Bok_,PERFECT,2
Elo,Anthology [pvg],Elo,Elo - Out Of The Blue _Book_,PERFECT,32
Elo,Elton John - The Elton John Collection [piano Solos],Elo,Elton John - The Elton John Collection [Piano Solos],PERFECT,29
Elton John,Elton John - Greatest Hits 1970-2002,Elton John,Elton John - The Very Best Of,PERFECT,19
Elton John,Too Low For Zero [book],Elton John,Elton John - Too Low For Zero _Book_,PERFECT,10
Elvis Costello,The Very Best Of,Elvis Costello,Elvis Costello - The Very Best Of,PERFECT,42
Emerson Lake And Palmer,Black Book,Emerson Lake And Palmer,Emerson Lake And Palmer - Black Book,PERFECT,2
Emerson Lake And Palmer,Greatest Hits,Emerson Lake And Palmer,Emerson Lake And Palmer - Greatest Hits,PERFECT,10
Emerson Lake And Palmer,Tarkus [book],Emerson Lake And Palmer,Emerson Lake And Palmer - Tarkus _Book_,PERFECT,13
Emerson Lake And Palmer,Trilogy [book],Emerson Lake And Palmer,Emerson Lake And Palmer - Trilogy _Book_,PERFECT,7
Eric Clapton,Derek And The Dominos [book],Eric Clapton,Eric Clapton - Derek And The Dominos _Book_,PERFECT,14
Eric Clapton,The Best Of Book,Eric Clapton,Eric Clapton - The Best Of Book,PERFECT,10
Eric Clapton,Unplugged [book],Eric Clapton,Eric Clapton - Unplugged _Book_,PERFECT,14
Fleetwood Mac,Anthology,Fleetwood Mac,Fleetwood Mac - Anthology,PERFECT,27
Fleetwood Mac,Deluxe Anthology,Fleetwood Mac,Fleetwood Mac - Deluxe Anthology,PERFECT,42
Fleetwood Mac,Fleetwood Mac + Heroes Are Hard To Find,Fleetwood Mac,Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find,PERFECT,15
Fleetwood Mac,Mirage,Fleetwood Mac,Fleetwood Mac - Mirage,PERFECT,12
Fleetwood Mac,Deluxe Anthology,Fleetwood Mac,Fleetwood Mac - Rumours,PERFECT,42
Fleetwood Mac,Tango In The Night,Fleetwood Mac,Fleetwood Mac - Tango In The Night,PERFECT,12
Fleetwood Mac,The Dance,Fleetwood Mac,Fleetwood Mac - The Dance,PERFECT,13
Frank Zappa,Songbook Vol 1,Frank Zappa,Frank Zappa - Songbook Vol 1,PERFECT,17
Frank Zappa,The Frank Zappa Guitar Book (transcriptions By Steve Vai),Frank Zappa,Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_,PERFECT,12
Fray,Fray - How To Save A Life [book],Fray,Fray - How To Save A Life _Book_,PARTIAL,2
Garth Brooks,No Fences [guitar Tab],Garth Brooks,Garth Brooks - No Fences _Guitar Tab_,PERFECT,7
Garth Brooks,Garth Brooks - The Hits [guitar Tab],Garth Brooks,Garth Brooks - The Hits _Guitar Tab_,PERFECT,1
Garth Brooks,The Limited Series,Garth Brooks,Garth Brooks - The Limited Series,PERFECT,21
Genesis,A Trick Of The Tail [book],Genesis,Genesis - A Trick Of The Tail _Book_,PERFECT,8
Genesis,Anthology,Genesis,Genesis - Anthology,PERFECT,44
Genesis,Best Of Vol 1,Genesis,Genesis - Best Of Vol 1,PERFECT,10
Genesis,Invisible Touch [book],Genesis,Genesis - Invisible Touch _Book_,PERFECT,8
Genesis,Anthology,Genesis,Genesis - Rock Score,PERFECT,44
Genesis,Seconds Out,Genesis,Genesis - Seconds Out,PERFECT,8
Genesis,Selling England By The Pound,Genesis,Genesis - Selling England By The Pound,PERFECT,7
