action,book_id,old_source_uri,new_source_uri,old_artist,new_artist,old_book_name,new_book_name,old_status,new_status,match_score,uri_changed,artist_changed,book_name_changed,status_changed
update,fc3b6bb7b542cdfb,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 3 (page 37 - 79.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 3 _page 37 - 79.pdf,Beatles,Beatles,Beatles - Anthology 3 (page 37 - 79,Beatles - Anthology 3 _page 37 - 79,success,success,0.988,YES,NO,YES,NO
update,27b78f89fffa3bc8,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 3 (page 01 - 36).pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 3 page_01_-_36.pdf,Beatles,Beatles,Beatles - Anthology 3 (page 01 - 36),Beatles - Anthology 3 page_01_-_36,success,success,0.966,YES,NO,YES,NO
update,c1bb0fff38111074,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Anthology 3 (page 80 - 111).pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Anthology 3 page_80_-_111.pdf,Beatles,Beatles,Beatles - Anthology 3 (page 80 - 111),Beatles - Anthology 3 page_80_-_111,success,success,0.967,YES,NO,YES,NO
update,092274c023b730b6,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Beatlemania 1963-1966.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Beatlemania 1963-1966.pdf,Beatles,Beatles,Beatles - Beatlemania 1963-1966,Beatles - Beatlemania 1963-1966,success,success,0.988,YES,NO,NO,NO
update,49c5c7e15a667c2a,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Complete Scores.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Complete Scores.pdf,Beatles,Beatles,Beatles - Complete Scores,Beatles - Complete Scores,success,success,0.986,YES,NO,NO,NO
update,04752a8a8b42d418,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Complete Scores (2).pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Complete Scores _2_.pdf,Beatles,Beatles,Beatles - Complete Scores (2),Beatles - Complete Scores _2_,success,success,0.987,YES,NO,YES,NO
update,14ba16ab9eec736c,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Essential Songs.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Essential Songs.pdf,Beatles,Beatles,Beatles - Essential Songs,Beatles - Essential Songs,success,success,0.986,YES,NO,NO,NO
update,9ba7068a7e1265f8,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Fake Songbook (Guitar).pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Fake Songbook _Guitar_.pdf,Beatles,Beatles,Beatles - Fake Songbook (Guitar),Beatles - Fake Songbook _Guitar_,success,success,0.988,YES,NO,YES,NO
update,6abda5fb67cfbf1c,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Joy Of Beatles.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Joy Of Beatles.pdf,Beatles,Beatles,Beatles - Joy Of Beatles,Beatles - Joy Of Beatles,success,success,0.986,YES,NO,NO,NO
update,87cf60923a3bda7b,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Live at the Hollywood Bowl.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Live At The Hollywood Bowl.pdf,Beatles,Beatles,Beatles - Live at the Hollywood Bowl,Beatles - Live At The Hollywood Bowl,success,success,0.989,YES,NO,YES,NO
update,03541bd7b4a582e7,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Live At the Hollywood Bowl (2).pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Live At The Hollywood Bowl _2_.pdf,Beatles,Beatles,Beatles - Live At the Hollywood Bowl (2),Beatles - Live At The Hollywood Bowl _2_,success,success,0.990,YES,NO,YES,NO
update,673cff1f970b11d0,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Revolver.pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Revolver.pdf,Beatles,Beatles,Beatles - Revolver,Beatles - Revolver,success,success,0.982,YES,NO,NO,NO
update,39a39dc149a1a313,s3://jsmith-input/SheetMusic/Beatles/books/Beatles - Revolver (2).pdf,s3://jsmith-input/SheetMusic/Beatles/Beatles - Revolver _2_.pdf,Beatles,Beatles,Beatles - Revolver (2),Beatles - Revolver _2_,success,success,0.984,YES,NO,YES,NO
