"Artist","Book","OriginalFilename","ExpectedFilename","S3Key","ExpectedLocalPath","Size","LastModified"
"_broadway Shows","Various Artists - Les Miserables - Piano-conductor","Les Mis?rables - 2.i Dreamed A Dream(e).pdf","Les Mis?rables - 2.i Dreamed A Dream(e).pdf","_broadway Shows/Various Artists - Les Miserables - Piano-conductor/Songs/Les Mis?rables - 2.i Dreamed A Dream(e).pdf",".\ProcessedSongs_Reorganized\_broadway Shows\Various Artists - Les Miserables - Piano-conductor\Les Mis?rables - 2.i Dreamed A Dream(e).pdf","217094","2026-01-26T22:09:42+00:00"
"Various Artists","Chart Hits 04-05","Beyonc? Knowles And Ethel Mccall - Dangerously In Love.pdf","Beyonc? Knowles And Ethel Mccall - Dangerously In Love.pdf","Various Artists/Chart Hits 04-05/Songs/Beyonc? Knowles And Ethel Mccall - Dangerously In Love.pdf",".\ProcessedSongs_Reorganized\Various Artists\Chart Hits 04-05\Beyonc? Knowles And Ethel Mccall - Dangerously In Love.pdf","1601371","2026-01-26T21:11:24+00:00"
"_broadway Shows","Various Artists - Les Miserables - Piano-conductor","Unknown Artist - 26.caf? Song(bb Minor).pdf","Unknown Artist - 26.caf? Song(bb Minor).pdf","_broadway Shows/Various Artists - Les Miserables - Piano-conductor/Songs/Unknown Artist - 26.caf? Song(bb Minor).pdf",".\ProcessedSongs_Reorganized\_broadway Shows\Various Artists - Les Miserables - Piano-conductor\Unknown Artist - 26.caf? Song(bb Minor).pdf","149203","2026-01-26T22:09:43+00:00"
"Crosby Stills And Nash","Crosby Stills Nash & Young - Deja Vu [pvg Book]","David Gregory - D?j? Vu.pdf","Crosby Stills And Nash - D?j? Vu.pdf","Crosby Stills And Nash/Crosby Stills Nash & Young - Deja Vu [pvg Book]/Songs/David Gregory - D?j? Vu.pdf",".\ProcessedSongs_Reorganized\Crosby Stills And Nash\Crosby Stills Nash & Young - Deja Vu [pvg Book]\Crosby Stills And Nash - D?j? Vu.pdf","721578","2026-01-26T14:14:39+00:00"
"_broadway Shows","Various Artists - Les Miserables - Piano-conductor (complete)","Les Mis?rables - 5.fantine's Death.pdf","Les Mis?rables - 5.fantine's Death.pdf","_broadway Shows/Various Artists - Les Miserables - Piano-conductor (complete)/Songs/Les Mis?rables - 5.fantine's Death.pdf",".\ProcessedSongs_Reorganized\_broadway Shows\Various Artists - Les Miserables - Piano-conductor (complete)\Les Mis?rables - 5.fantine's Death.pdf","269823","2026-01-26T22:07:22+00:00"
"_broadway Shows","Various Artists - Les Miserables - Piano-conductor (complete)","Les Mis?rables - 1.at The End Of The Day.pdf","Les Mis?rables - 1.at The End Of The Day.pdf","_broadway Shows/Various Artists - Les Miserables - Piano-conductor (complete)/Songs/Les Mis?rables - 1.at The End Of The Day.pdf",".\ProcessedSongs_Reorganized\_broadway Shows\Various Artists - Les Miserables - Piano-conductor (complete)\Les Mis?rables - 1.at The End Of The Day.pdf","363792","2026-01-26T22:07:22+00:00"
"_broadway Shows","Various Artists - Les Miserables - Piano-conductor","Unknown Artist - 26.caf? Song(a Minor).pdf","Unknown Artist - 26.caf? Song(a Minor).pdf","_broadway Shows/Various Artists - Les Miserables - Piano-conductor/Songs/Unknown Artist - 26.caf? Song(a Minor).pdf",".\ProcessedSongs_Reorganized\_broadway Shows\Various Artists - Les Miserables - Piano-conductor\Unknown Artist - 26.caf? Song(a Minor).pdf","186759","2026-01-26T22:09:43+00:00"
"_broadway Shows","Various Artists - Les Miserables - Piano-conductor (complete)","Les Mis?rables - 25.javert's Suicide.pdf","Les Mis?rables - 25.javert's Suicide.pdf","_broadway Shows/Various Artists - Les Miserables - Piano-conductor (complete)/Songs/Les Mis?rables - 25.javert's Suicide.pdf",".\ProcessedSongs_Reorganized\_broadway Shows\Various Artists - Les Miserables - Piano-conductor (complete)\Les Mis?rables - 25.javert's Suicide.pdf","277205","2026-01-26T22:07:24+00:00"
"Various Artists","100 Songs For Kids - (easy Guitar Songbook)","Traditional - Fr?re Jacques (are You Sleeping-).pdf","Traditional - Fr?re Jacques (are You Sleeping-).pdf","Various Artists/100 Songs For Kids - (easy Guitar Songbook)/Songs/Traditional - Fr?re Jacques (are You Sleeping-).pdf",".\ProcessedSongs_Reorganized\Various Artists\100 Songs For Kids - (easy Guitar Songbook)\Traditional - Fr?re Jacques (are You Sleeping-).pdf","38397","2026-01-26T21:02:19+00:00"
"_broadway Shows","Various Artists - Spamalot","Music And Lyrics By Eric Idle ? John Du Prez - Brave Sir Robin-reprise.pdf","Music And Lyrics By Eric Idle ? John Du Prez - Brave Sir Robin-reprise.pdf","_broadway Shows/Various Artists - Spamalot/Songs/Music And Lyrics By Eric Idle ? John Du Prez - Brave Sir Robin-reprise.pdf",".\ProcessedSongs_Reorganized\_broadway Shows\Various Artists - Spamalot\Music And Lyrics By Eric Idle ? John Du Prez - Brave Sir Robin-reprise.pdf","206261","2026-01-26T22:42:18+00:00"
