Artist,OldFolderName,NewFolderName,OldPath,NewPath,FileCount
Emerson Lake and Palmer,Tarkus _book_,Emerson Lake And Palmer - Tarkus _Book_,ProcessedSongs\Emerson Lake And Palmer\Tarkus _book_,ProcessedSongs\Emerson Lake And Palmer\Emerson Lake And Palmer - Tarkus _Book_,13
Emerson Lake and Palmer,Trilogy _book_,Emerson Lake And Palmer - Trilogy _Book_,ProcessedSongs\Emerson Lake And Palmer\Trilogy _book_,ProcessedSongs\Emerson Lake And Palmer\Emerson Lake And Palmer - Trilogy _Book_,7
Eric Clapton,Derek And The Dominos _book_,Eric Clapton - Derek And The Dominos _Book_,ProcessedSongs\Eric Clapton\Derek And The Dominos _book_,ProcessedSongs\Eric Clapton\Eric Clapton - Derek And The Dominos _Book_,14
Eric Clapton,The Best Of Book,Eric Clapton - The Best Of Book,ProcessedSongs\Eric Clapton\The Best Of Book,ProcessedSongs\Eric Clapton\Eric Clapton - The Best Of Book,10
Eric Clapton,Unplugged _book_,Eric Clapton - Unplugged _Book_,ProcessedSongs\Eric Clapton\Unplugged _book_,ProcessedSongs\Eric Clapton\Eric Clapton - Unplugged _Book_,14
Fleetwood Mac,Anthology,Fleetwood Mac - Anthology,ProcessedSongs\Fleetwood Mac\Anthology,ProcessedSongs\Fleetwood Mac\Fleetwood Mac - Anthology,27
Fleetwood Mac,Deluxe Anthology,Fleetwood Mac - Deluxe Anthology,ProcessedSongs\Fleetwood Mac\Deluxe Anthology,ProcessedSongs\Fleetwood Mac\Fleetwood Mac - Deluxe Anthology,42
Fleetwood Mac,Fleetwood Mac Heroes Are Hard To Find,Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find,ProcessedSongs\Fleetwood Mac\Fleetwood Mac Heroes Are Hard To Find,ProcessedSongs\Fleetwood Mac\Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find,15
Fleetwood Mac,Mirage,Fleetwood Mac - Mirage,ProcessedSongs\Fleetwood Mac\Mirage,ProcessedSongs\Fleetwood Mac\Fleetwood Mac - Mirage,12
Fleetwood Mac,Rumours,Fleetwood Mac - Rumours,ProcessedSongs\Fleetwood Mac\Rumours,ProcessedSongs\Fleetwood Mac\Fleetwood Mac - Rumours,11
Fleetwood Mac,Tango In The Night,Fleetwood Mac - Tango In The Night,ProcessedSongs\Fleetwood Mac\Tango In The Night,ProcessedSongs\Fleetwood Mac\Fleetwood Mac - Tango In The Night,12
Fleetwood Mac,The Dance,Fleetwood Mac - The Dance,ProcessedSongs\Fleetwood Mac\The Dance,ProcessedSongs\Fleetwood Mac\Fleetwood Mac - The Dance,13
Frank Zappa,Songbook Vol 1,Frank Zappa - Songbook Vol 1,ProcessedSongs\Frank Zappa\Songbook Vol 1,ProcessedSongs\Frank Zappa\Frank Zappa - Songbook Vol 1,17
Frank Zappa,The Frank Zappa Guitar Book _transcriptions By Steve Vai_,Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_,ProcessedSongs\Frank Zappa\The Frank Zappa Guitar Book _transcriptions By Steve Vai_,ProcessedSongs\Frank Zappa\Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_,12
Fray,How To Save A Life _book_,Fray - How To Save A Life _Book_,ProcessedSongs\Fray\How To Save A Life _book_,ProcessedSongs\Fray\Fray - How To Save A Life _Book_,3
Garth Brooks,No Fences _guitar Tab_,Garth Brooks - No Fences _Guitar Tab_,ProcessedSongs\Garth Brooks\No Fences _guitar Tab_,ProcessedSongs\Garth Brooks\Garth Brooks - No Fences _Guitar Tab_,7
Garth Brooks,The Limited Series,Garth Brooks - The Limited Series,ProcessedSongs\Garth Brooks\The Limited Series,ProcessedSongs\Garth Brooks\Garth Brooks - The Limited Series,21
Genesis,A Trick Of The Tail _book_,Genesis - A Trick Of The Tail _Book_,ProcessedSongs\Genesis\A Trick Of The Tail _book_,ProcessedSongs\Genesis\Genesis - A Trick Of The Tail _Book_,8
Genesis,Anthology,Genesis - Anthology,ProcessedSongs\Genesis\Anthology,ProcessedSongs\Genesis\Genesis - Anthology,44
Genesis,Best Of Vol 1,Genesis - Best Of Vol 1,ProcessedSongs\Genesis\Best Of Vol 1,ProcessedSongs\Genesis\Genesis - Best Of Vol 1,10
Genesis,Invisible Touch _book_,Genesis - Invisible Touch _Book_,ProcessedSongs\Genesis\Invisible Touch _book_,ProcessedSongs\Genesis\Genesis - Invisible Touch _Book_,8
Genesis,Rock Score,Genesis - Rock Score,ProcessedSongs\Genesis\Rock Score,ProcessedSongs\Genesis\Genesis - Rock Score,4
Genesis,Seconds Out,Genesis - Seconds Out,ProcessedSongs\Genesis\Seconds Out,ProcessedSongs\Genesis\Genesis - Seconds Out,8
Genesis,Selling England By The Pound,Genesis - Selling England By The Pound,ProcessedSongs\Genesis\Selling England By The Pound,ProcessedSongs\Genesis\Genesis - Selling England By The Pound,7
George Michael,Greatest Hits,George Michael - Greatest Hits,ProcessedSongs\George Michael\Greatest Hits,ProcessedSongs\George Michael\George Michael - Greatest Hits,29
George Michael,Older _book_,George Michael - Older _Book_,ProcessedSongs\George Michael\Older _book_,ProcessedSongs\George Michael\George Michael - Older _Book_,11
Grand Funk Railroad,Born To Die _pvg Book_,Grand Funk Railroad - Born To Die _PVG Book_,ProcessedSongs\Grand Funk Railroad\Born To Die _pvg Book_,ProcessedSongs\Grand Funk Railroad\Grand Funk Railroad - Born To Die _PVG Book_,10
Grand Funk Railroad,Hits From Were An American Band Shinin On Phoenix _pvg_,Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_,ProcessedSongs\Grand Funk Railroad\Hits From Were An American Band Shinin On Phoenix _pvg_,ProcessedSongs\Grand Funk Railroad\Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_,23
Harry Chapin,The Authentic Guitar Style Of _guitar Tab_,Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_,ProcessedSongs\Harry Chapin\The Authentic Guitar Style Of _guitar Tab_,ProcessedSongs\Harry Chapin\Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_,9
Herman's Hermits,Collection,Hermans Hermits - Collection,ProcessedSongs\Herman's Hermits\Collection,ProcessedSongs\Herman's Hermits\Hermans Hermits - Collection,8
Jackson Browne,Deluxe Anthology,Jackson Browne - Deluxe Anthology,ProcessedSongs\Jackson Browne\Deluxe Anthology,ProcessedSongs\Jackson Browne\Jackson Browne - Deluxe Anthology,39
James Blunt,All The Lost Souls _book_,James Blunt - All The Lost Souls _Book_,ProcessedSongs\James Blunt\All The Lost Souls _book_,ProcessedSongs\James Blunt\James Blunt - All The Lost Souls _Book_,10
James Blunt,Back To Bedlam _book_,James Blunt - Back To Bedlam _Book_,ProcessedSongs\James Blunt\Back To Bedlam _book_,ProcessedSongs\James Blunt\James Blunt - Back To Bedlam _Book_,1
James Taylor,Classic _guitar_,James Taylor - Classic _Guitar_,ProcessedSongs\James Taylor\Classic _guitar_,ProcessedSongs\James Taylor\James Taylor - Classic _Guitar_,15
James Taylor,Classics _guitar Tab_,James Taylor - Classics _guitar tab_,ProcessedSongs\James Taylor\Classics _guitar Tab_,ProcessedSongs\James Taylor\James Taylor - Classics _guitar tab_,15
James Taylor,Guitar Songbook,James Taylor - Guitar Songbook,ProcessedSongs\James Taylor\Guitar Songbook,ProcessedSongs\James Taylor\James Taylor - Guitar Songbook,24
James Taylor,James Taylor Songbook,James Taylor - James Taylor Songbook,ProcessedSongs\James Taylor\James Taylor Songbook,ProcessedSongs\James Taylor\James Taylor - James Taylor Songbook,24
James Taylor,James Taylor _pvg Book_,James Taylor - James Taylor _PVG Book_,ProcessedSongs\James Taylor\James Taylor _pvg Book_,ProcessedSongs\James Taylor\James Taylor - James Taylor _PVG Book_,21
James Taylor,Thats Why Im Here _pvg Book_,James Taylor - Thats Why Im Here _PVG Book_,ProcessedSongs\James Taylor\Thats Why Im Here _pvg Book_,ProcessedSongs\James Taylor\James Taylor - Thats Why Im Here _PVG Book_,10
Jim Croce,Acoustic Fingerstyle Video Guitar Lessons,Jim Croce - Acoustic Fingerstyle Video Guitar Lessons,ProcessedSongs\Jim Croce\Acoustic Fingerstyle Video Guitar Lessons,ProcessedSongs\Jim Croce\Jim Croce - Acoustic Fingerstyle Video Guitar Lessons,1
Joe Cocker,Best Of,Joe Cocker - Best Of,ProcessedSongs\Joe Cocker\Best Of,ProcessedSongs\Joe Cocker\Joe Cocker - Best Of,16
Joe Cocker,Mad Dogs And Englishmen _book_,Joe Cocker - Mad Dogs And Englishmen _Book_,ProcessedSongs\Joe Cocker\Mad Dogs And Englishmen _book_,ProcessedSongs\Joe Cocker\Joe Cocker - Mad Dogs And Englishmen _Book_,16
Joe Cocker,Songbook,Joe Cocker - Songbook,ProcessedSongs\Joe Cocker\Songbook,ProcessedSongs\Joe Cocker\Joe Cocker - Songbook,1
John Denver,Anthology _pvg_,John Denver - Anthology _PVG_,ProcessedSongs\John Denver\Anthology _pvg_,ProcessedSongs\John Denver\John Denver - Anthology _PVG_,53
John Denver,Anthology,John Denver - Anthology,ProcessedSongs\John Denver\Anthology,ProcessedSongs\John Denver\John Denver - Anthology,53
John Denver,Best Of _easy Piano_,John Denver - Best Of _Easy Piano_,ProcessedSongs\John Denver\Best Of _easy Piano_,ProcessedSongs\John Denver\John Denver - Best Of _Easy Piano_,18
John Denver,I Want To Live _pvg Book_,John Denver - I Want To Live _PVG Book_,ProcessedSongs\John Denver\I Want To Live _pvg Book_,ProcessedSongs\John Denver\John Denver - I Want To Live _PVG Book_,11
John Denver,The Authentic Guitar Style Of,John Denver - The Authentic Guitar Style Of,ProcessedSongs\John Denver\The Authentic Guitar Style Of,ProcessedSongs\John Denver\John Denver - The Authentic Guitar Style Of,12
John Lennon,Collection,John Lennon - Collection,ProcessedSongs\John Lennon\Collection,ProcessedSongs\John Lennon\John Lennon - Collection,3
John Lennon,Greatest Hits,John Lennon - Greatest Hits,ProcessedSongs\John Lennon\Greatest Hits,ProcessedSongs\John Lennon\John Lennon - Greatest Hits,15
Joni Mitchell,The Best Of _pvg_,Joni Mitchell - The Best Of _PVG_,ProcessedSongs\Joni Mitchell\The Best Of _pvg_,ProcessedSongs\Joni Mitchell\Joni Mitchell - The Best Of _PVG_,10
Journey,Complete Songbook,Journey - Complete Songbook,ProcessedSongs\Journey\Complete Songbook,ProcessedSongs\Journey\Journey - Complete Songbook,68
Journey,Complete,Journey - Complete,ProcessedSongs\Journey\Complete,ProcessedSongs\Journey\Journey - Complete,68
Journey,Frontiers _jap Band Score_,Journey - Frontiers _Jap Band Score_,ProcessedSongs\Journey\Frontiers _jap Band Score_,ProcessedSongs\Journey\Journey - Frontiers _Jap Band Score_,1
Journey,Greatest Hits _book_,Journey - Greatest Hits _Book_,ProcessedSongs\Journey\Greatest Hits _book_,ProcessedSongs\Journey\Journey - Greatest Hits _Book_,5
Journey,Greatest Hits,Journey - Greatest Hits,ProcessedSongs\Journey\Greatest Hits,ProcessedSongs\Journey\Journey - Greatest Hits,6
Journey,Superbest _jap Band Score_,Journey - Superbest _Jap Band Score_,ProcessedSongs\Journey\Superbest _jap Band Score_,ProcessedSongs\Journey\Journey - Superbest _Jap Band Score_,15
Journey,The Guitar Collection,Journey - The Guitar Collection,ProcessedSongs\Journey\The Guitar Collection,ProcessedSongs\Journey\Journey - The Guitar Collection,16
Judy Garland,Songbook,Judy Garland - Songbook,ProcessedSongs\Judy Garland\Songbook,ProcessedSongs\Judy Garland\Judy Garland - Songbook,13
Katy Perry,One Of The Boys _pvg Book_,Katy Perry - One Of The Boys _PVG Book_,ProcessedSongs\Katy Perry\One Of The Boys _pvg Book_,ProcessedSongs\Katy Perry\Katy Perry - One Of The Boys _PVG Book_,12
Kenny Rogers,Love Or Something Like It _book_,Kenny Rogers - Love Or Something Like It _Book_,ProcessedSongs\Kenny Rogers\Love Or Something Like It _book_,ProcessedSongs\Kenny Rogers\Kenny Rogers - Love Or Something Like It _Book_,10
Kinks,Best Of The Kinks _score_,Kinks - Best Of The Kinks _Score_,ProcessedSongs\Kinks\Best Of The Kinks _score_,ProcessedSongs\Kinks\Kinks - Best Of The Kinks _Score_,12
Kinks,Great Songs Of Kinks,Kinks - Great Songs Of Kinks,ProcessedSongs\Kinks\Great Songs Of Kinks,ProcessedSongs\Kinks\Kinks - Great Songs Of Kinks,8
Kinks,Guitar Legends _guitar_,Kinks - Guitar Legends _Guitar_,ProcessedSongs\Kinks\Guitar Legends _guitar_,ProcessedSongs\Kinks\Kinks - Guitar Legends _Guitar_,9
Kinks,Jam With The Kinks _tab_,Kinks - Jam With The Kinks _Tab_,ProcessedSongs\Kinks\Jam With The Kinks _tab_,ProcessedSongs\Kinks\Kinks - Jam With The Kinks _Tab_,8
Lynyrd Skynyrd,The New Best Of _guitar Tab_,Lynyrd Skynyrd - The New Best Of _Guitar Tab_,ProcessedSongs\Lynyrd Skynyrd\The New Best Of _guitar Tab_,ProcessedSongs\Lynyrd Skynyrd\Lynyrd Skynyrd - The New Best Of _Guitar Tab_,10
MeatLoaf,Bat Out Of Hell,MeatLoaf - Bat Out Of Hell,ProcessedSongs\Meatloaf\Bat Out Of Hell,ProcessedSongs\Meatloaf\MeatLoaf - Bat Out Of Hell,3
Melissa Etheridge,Songbook,Melissa Etheridge - Songbook,ProcessedSongs\Melissa Etheridge\Songbook,ProcessedSongs\Melissa Etheridge\Melissa Etheridge - Songbook,10
Michael Jackson,Great Songs Of _pvg_,Michael Jackson - Great Songs Of _PVG_,ProcessedSongs\Michael Jackson\Great Songs Of _pvg_,ProcessedSongs\Michael Jackson\Michael Jackson - Great Songs Of _PVG_,10
Michael Jackson,Number Ones _book_,Michael Jackson - Number Ones _Book_,ProcessedSongs\Michael Jackson\Number Ones _book_,ProcessedSongs\Michael Jackson\Michael Jackson - Number Ones _Book_,18
Michael Jackson,Number Ones,Michael Jackson - Number Ones,ProcessedSongs\Michael Jackson\Number Ones,ProcessedSongs\Michael Jackson\Michael Jackson - Number Ones,18
Michael Jackson,The Great Songs Of,Michael Jackson - The Great Songs Of,ProcessedSongs\Michael Jackson\The Great Songs Of,ProcessedSongs\Michael Jackson\Michael Jackson - The Great Songs Of,10
Michael Jackson,Thriller _the Complete Song Book_,Michael Jackson - Thriller _The Complete Song Book_,ProcessedSongs\Michael Jackson\Thriller _the Complete Song Book_,ProcessedSongs\Michael Jackson\Michael Jackson - Thriller _The Complete Song Book_,10
Monkees,Greatest Hits,Monkees - Greatest Hits,ProcessedSongs\Monkees\Greatest Hits,ProcessedSongs\Monkees\Monkees - Greatest Hits,11
Moody Blues,Greatest Hits _pvg_,Moody Blues - Greatest Hits _PVG_,ProcessedSongs\Moody Blues\Greatest Hits _pvg_,ProcessedSongs\Moody Blues\Moody Blues - Greatest Hits _PVG_,11
Moody Blues,Keys Of Kingdom _band Score_,Moody Blues - Keys Of Kingdom _Band Score_,ProcessedSongs\Moody Blues\Keys Of Kingdom _band Score_,ProcessedSongs\Moody Blues\Moody Blues - Keys Of Kingdom _Band Score_,12
Neil Diamond,The Essential Neil Diamond,Neil Diamond - The Essential Neil Diamond,ProcessedSongs\Neil Diamond\The Essential Neil Diamond,ProcessedSongs\Neil Diamond\Neil Diamond - The Essential Neil Diamond,40
Neil Young,After The Goldrush _pvg Book_,Neil Young - After The Goldrush _PVG Book_,ProcessedSongs\Neil Young\After The Goldrush _pvg Book_,ProcessedSongs\Neil Young\Neil Young - After The Goldrush _PVG Book_,10
Neil Young,Decade _pvg Book_,Neil Young - Decade _PVG Book_,ProcessedSongs\Neil Young\Decade _pvg Book_,ProcessedSongs\Neil Young\Neil Young - Decade _PVG Book_,22
Neil Young,Decade,Neil Young - Decade,ProcessedSongs\Neil Young\Decade,ProcessedSongs\Neil Young\Neil Young - Decade,22
Neil Young,Greatest Hits _guitar Tab_,Neil Young - Greatest Hits _Guitar Tab_,ProcessedSongs\Neil Young\Greatest Hits _guitar Tab_,ProcessedSongs\Neil Young\Neil Young - Greatest Hits _Guitar Tab_,15
Neil Young,Harvest Moon _guitar Tab_,Neil Young - Harvest Moon _Guitar Tab_,ProcessedSongs\Neil Young\Harvest Moon _guitar Tab_,ProcessedSongs\Neil Young\Neil Young - Harvest Moon _Guitar Tab_,10
Neil Young,Harvest _score_,Neil Young - Harvest _Score_,ProcessedSongs\Neil Young\Harvest _score_,ProcessedSongs\Neil Young\Neil Young - Harvest _Score_,10
Neil Young,The Best Of Neil Young _pvg Book_,Neil Young - The Best Of Neil Young _PVG Book_,ProcessedSongs\Neil Young\The Best Of Neil Young _pvg Book_,ProcessedSongs\Neil Young\Neil Young - The Best Of Neil Young _PVG Book_,9
Paul McCartney,All The Best,Paul McCartney - All The Best,ProcessedSongs\Paul Mccartney\All The Best,ProcessedSongs\Paul Mccartney\Paul McCartney - All The Best,22
Paul McCartney,Chaos And Creation In The Backyard _pvg Book_,Paul Mccartney - Chaos And Creation In The Backyard _PVG Book_,ProcessedSongs\Paul Mccartney\Chaos And Creation In The Backyard _pvg Book_,ProcessedSongs\Paul Mccartney\Paul Mccartney - Chaos And Creation In The Backyard _PVG Book_,13
Paul McCartney,Flowers In The Dirt,Paul McCartney - Flowers In The Dirt,ProcessedSongs\Paul Mccartney\Flowers In The Dirt,ProcessedSongs\Paul Mccartney\Paul McCartney - Flowers In The Dirt,14
Paul McCartney,Press To Play,Paul McCartney - Press To Play,ProcessedSongs\Paul Mccartney\Press To Play,ProcessedSongs\Paul Mccartney\Paul McCartney - Press To Play,14
Paul McCartney,Ram,Paul McCartney - Ram,ProcessedSongs\Paul Mccartney\Ram,ProcessedSongs\Paul Mccartney\Paul McCartney - Ram,10
Paul McCartney,Tripping The Live Fantastic _pvg Book_,Paul Mccartney - Tripping The Live Fantastic _PVG Book_,ProcessedSongs\Paul Mccartney\Tripping The Live Fantastic _pvg Book_,ProcessedSongs\Paul Mccartney\Paul Mccartney - Tripping The Live Fantastic _PVG Book_,38
Paul McCartney,Tug Of War _pvg Book_,Paul Mccartney - Tug Of War _PVG Book_,ProcessedSongs\Paul Mccartney\Tug Of War _pvg Book_,ProcessedSongs\Paul Mccartney\Paul Mccartney - Tug Of War _PVG Book_,11
Paul Simon,Anthology,Paul Simon - Anthology,ProcessedSongs\Paul Simon\Anthology,ProcessedSongs\Paul Simon\Paul Simon - Anthology,49
Peter Frampton,The Best Of _guitar Tab_,Peter Frampton - The Best Of _Guitar Tab_,ProcessedSongs\Peter Frampton\The Best Of _guitar Tab_,ProcessedSongs\Peter Frampton\Peter Frampton - The Best Of _Guitar Tab_,11
Pink,Funhouse _pvg_,Pink - Funhouse _PVG_,ProcessedSongs\Pink\Funhouse _pvg_,ProcessedSongs\Pink\Pink - Funhouse _PVG_,1
Pink,Im Not Dead _pvg Book_,Pink - Im Not Dead _PVG Book_,ProcessedSongs\Pink\Im Not Dead _pvg Book_,ProcessedSongs\Pink\Pink - Im Not Dead _PVG Book_,10
Pink,Missundaztood _pvg Book_,Pink - Missundaztood _PVG Book_,ProcessedSongs\Pink\Missundaztood _pvg Book_,ProcessedSongs\Pink\Pink - Missundaztood _PVG Book_,1
Pink Floyd,Anthology - P110-175,Pink Floyd - Anthology - p110-175,ProcessedSongs\Pink Floyd\Anthology - P110-175,ProcessedSongs\Pink Floyd\Pink Floyd - Anthology - p110-175,1
Pink Floyd,Anthology - P58-109,Pink Floyd - Anthology - p58-109,ProcessedSongs\Pink Floyd\Anthology - P58-109,ProcessedSongs\Pink Floyd\Pink Floyd - Anthology - p58-109,1
Pink Floyd,Anthology _book_,Pink Floyd - Anthology _book_,ProcessedSongs\Pink Floyd\Anthology _book_,ProcessedSongs\Pink Floyd\Pink Floyd - Anthology _book_,38
Pink Floyd,Anthology _pvg_,Pink Floyd - Anthology _PVG_,ProcessedSongs\Pink Floyd\Anthology _pvg_,ProcessedSongs\Pink Floyd\Pink Floyd - Anthology _PVG_,38
Pink Floyd,Dark Side Of The Moon _2_,Pink Floyd - Dark Side Of The Moon _2_,ProcessedSongs\Pink Floyd\Dark Side Of The Moon _2_,ProcessedSongs\Pink Floyd\Pink Floyd - Dark Side Of The Moon _2_,1
Pink Floyd,Dark Side Of The Moon _pvg_,Pink Floyd - Dark Side Of The Moon _PVG_,ProcessedSongs\Pink Floyd\Dark Side Of The Moon _pvg_,ProcessedSongs\Pink Floyd\Pink Floyd - Dark Side Of The Moon _PVG_,1
Pink Floyd,Dark Side Of The Moon,Pink Floyd - Dark Side Of The Moon,ProcessedSongs\Pink Floyd\Dark Side Of The Moon,ProcessedSongs\Pink Floyd\Pink Floyd - Dark Side Of The Moon,1
Pink Floyd,Pink Floyd Songbook,Pink Floyd - Pink Floyd Songbook,ProcessedSongs\Pink Floyd\Pink Floyd Songbook,ProcessedSongs\Pink Floyd\Pink Floyd - Pink Floyd Songbook,10
Pink Floyd,The Wall _pvg_,Pink Floyd - The Wall _PVG_,ProcessedSongs\Pink Floyd\The Wall _pvg_,ProcessedSongs\Pink Floyd\Pink Floyd - The Wall _PVG_,23
Pink Floyd,Wish You Were Here _pvg_,Pink Floyd - Wish You Were Here _PVG_,ProcessedSongs\Pink Floyd\Wish You Were Here _pvg_,ProcessedSongs\Pink Floyd\Pink Floyd - Wish You Were Here _PVG_,12
Pink Floyd,Wish You Were Here,Pink Floyd - Wish You Were Here,ProcessedSongs\Pink Floyd\Wish You Were Here,ProcessedSongs\Pink Floyd\Pink Floyd - Wish You Were Here,11
Police,The Great Songs Of The Police,Police - The Great Songs Of The Police,ProcessedSongs\Police\The Great Songs Of The Police,ProcessedSongs\Police\Police - The Great Songs Of The Police,12
Pretenders,Best Of Pretenders,Pretenders - Best Of Pretenders,ProcessedSongs\Pretenders\Best Of Pretenders,ProcessedSongs\Pretenders\Pretenders - Best Of Pretenders,16
Prince,Purple Rain _score_,Prince - Purple Rain _Score_,ProcessedSongs\Prince\Purple Rain _score_,ProcessedSongs\Prince\Prince - Purple Rain _Score_,1
Queen,Deluxe Anthology _pvg_,Queen - Deluxe Anthology _PVG_,ProcessedSongs\Queen\Deluxe Anthology _pvg_,ProcessedSongs\Queen\Queen - Deluxe Anthology _PVG_,1
Queen,Greatest Hits 1 _score_,Queen - Greatest Hits 1 _Score_,ProcessedSongs\Queen\Greatest Hits 1 _score_,ProcessedSongs\Queen\Queen - Greatest Hits 1 _Score_,16
Queen,Greatest Hits II _pvg_,Queen - Greatest Hits II _PVG_,ProcessedSongs\Queen\Greatest Hits II _pvg_,ProcessedSongs\Queen\Queen - Greatest Hits II _PVG_,17
Queen,Greatest Hits,Queen - Greatest Hits,ProcessedSongs\Queen\Greatest Hits,ProcessedSongs\Queen\Queen - Greatest Hits,1
Queen,Hit Songs,Queen - Hit Songs,ProcessedSongs\Queen\Hit Songs,ProcessedSongs\Queen\Queen - Hit Songs,22
Randy Newman,Collection,Randy Newman - Collection,ProcessedSongs\Randy Newman\Collection,ProcessedSongs\Randy Newman\Randy Newman - Collection,1
REO Speedwagon,Good Trouble,REO Speedwagon - Good Trouble,ProcessedSongs\Reo Speedwagon\Good Trouble,ProcessedSongs\Reo Speedwagon\REO Speedwagon - Good Trouble,1
REO Speedwagon,Hi Infidelity,REO Speedwagon - Hi Infidelity,ProcessedSongs\Reo Speedwagon\Hi Infidelity,ProcessedSongs\Reo Speedwagon\REO Speedwagon - Hi Infidelity,1
REO Speedwagon,The Hits,REO Speedwagon - The Hits,ProcessedSongs\Reo Speedwagon\The Hits,ProcessedSongs\Reo Speedwagon\REO Speedwagon - The Hits,12
Rod Stewart,The Great American Songbook,Rod Stewart - The Great American Songbook,ProcessedSongs\Rod Stewart\The Great American Songbook,ProcessedSongs\Rod Stewart\Rod Stewart - The Great American Songbook,16
Rolling Stones,Best Of Rolling Stones 1963-1973 Piano Songbook,Rolling Stones - Best Of Rolling Stones 1963-1973 Piano Songbook,ProcessedSongs\Rolling Stones\Best Of Rolling Stones 1963-1973 Piano Songbook,ProcessedSongs\Rolling Stones\Rolling Stones - Best Of Rolling Stones 1963-1973 Piano Songbook,20
Rolling Stones,Let It Bleed _guitar Tab_,Rolling Stones - Let It Bleed _Guitar Tab_,ProcessedSongs\Rolling Stones\Let It Bleed _guitar Tab_,ProcessedSongs\Rolling Stones\Rolling Stones - Let It Bleed _Guitar Tab_,9
Rolling Stones,Sticky Fingers _score_,Rolling Stones - Sticky Fingers _Score_,ProcessedSongs\Rolling Stones\Sticky Fingers _score_,ProcessedSongs\Rolling Stones\Rolling Stones - Sticky Fingers _Score_,10
Roy Orbison,Greatest Hits,Roy Orbison - Greatest Hits,ProcessedSongs\Roy Orbison\Greatest Hits,ProcessedSongs\Roy Orbison\Roy Orbison - Greatest Hits,19
Santana,Off The Record,Santana - Off The Record,ProcessedSongs\Santana\Off The Record,ProcessedSongs\Santana\Santana - Off The Record,8
Scott Joplin,The Best Of,Scott Joplin - The Best Of,ProcessedSongs\Scott Joplin\The Best Of,ProcessedSongs\Scott Joplin\Scott Joplin - The Best Of,17
Shania Twain,Greatest Hits,Shania Twain - Greatest Hits,ProcessedSongs\Shania Twain\Greatest Hits,ProcessedSongs\Shania Twain\Shania Twain - Greatest Hits,21
Shania Twain,Up _pvg Book_,Shania Twain - Up _PVG Book_,ProcessedSongs\Shania Twain\Up _pvg Book_,ProcessedSongs\Shania Twain\Shania Twain - Up _PVG Book_,20
Sheryl Crow,Tuesday Night Music Club _pvg Book_,Sheryl Crow - Tuesday Night Music Club _PVG Book_,ProcessedSongs\Sheryl Crow\Tuesday Night Music Club _pvg Book_,ProcessedSongs\Sheryl Crow\Sheryl Crow - Tuesday Night Music Club _PVG Book_,11
Sheryl Crow,Very Best,Sheryl Crow - Very Best,ProcessedSongs\Sheryl Crow\Very Best,ProcessedSongs\Sheryl Crow\Sheryl Crow - Very Best,17
Spice Girls,Greatest Hits,Spice Girls - Greatest Hits,ProcessedSongs\Spice Girls\Greatest Hits,ProcessedSongs\Spice Girls\Spice Girls - Greatest Hits,11
Steve Miller Band,13 Biggest Hits,Steve Miller Band - 13 Biggest Hits,ProcessedSongs\Steve Miller Band\13 Biggest Hits,ProcessedSongs\Steve Miller Band\Steve Miller Band - 13 Biggest Hits,13
Steve Miller Band,Rock Best Hits _jap Score_,Steve Miller Band - Rock Best Hits _Jap Score_,ProcessedSongs\Steve Miller Band\Rock Best Hits _jap Score_,ProcessedSongs\Steve Miller Band\Steve Miller Band - Rock Best Hits _Jap Score_,8
Steve Winwood,Arc Of A Diver _pvg Book_,Steve Winwood - Arc Of A Diver _PVG Book_,ProcessedSongs\Steve Winwood\Arc Of A Diver _pvg Book_,ProcessedSongs\Steve Winwood\Steve Winwood - Arc Of A Diver _PVG Book_,7
Steve Winwood,The Great Songs Of,Steve Winwood - The Great Songs Of,ProcessedSongs\Steve Winwood\The Great Songs Of,ProcessedSongs\Steve Winwood\Steve Winwood - The Great Songs Of,8
Supertramp,Anthology,Supertramp - Anthology,ProcessedSongs\Supertramp\Anthology,ProcessedSongs\Supertramp\Supertramp - Anthology,2
Supertramp,Breakfast In America _pvg Book_,Supertramp - Breakfast In America _PVG Book_,ProcessedSongs\Supertramp\Breakfast In America _pvg Book_,ProcessedSongs\Supertramp\Supertramp - Breakfast In America _PVG Book_,10
Supertramp,Crime Of The Century _book_,Supertramp - Crime Of The Century _Book_,ProcessedSongs\Supertramp\Crime Of The Century _book_,ProcessedSongs\Supertramp\Supertramp - Crime Of The Century _Book_,8
Survivor,Greatest Hits,Survivor - Greatest Hits,ProcessedSongs\Survivor\Greatest Hits,ProcessedSongs\Survivor\Survivor - Greatest Hits,10
Taylor Swift,Best Of _easy Piano_,Taylor Swift - Best Of _Easy Piano_,ProcessedSongs\Taylor Swift\Best Of _easy Piano_,ProcessedSongs\Taylor Swift\Taylor Swift - Best Of _Easy Piano_,12
