Artist,OldFolderName,NewFolderName,OldPath,NewPath,FileCount
Beatles,Revolver,Beatles - Revolver,ProcessedSongs\Beatles\Revolver,ProcessedSongs\Beatles\Beatles - Revolver,14
Beatles,Rubber Soul,Beatles - Rubber Soul,ProcessedSongs\Beatles\Rubber Soul,ProcessedSongs\Beatles\Beatles - Rubber Soul,13
Beatles,Sergeant Peppers Lonely Hearts Club Band,Beatles - Sergeant Peppers Lonely Hearts Club Band,ProcessedSongs\Beatles\Sergeant Peppers Lonely Hearts Club Band,ProcessedSongs\Beatles\Beatles - Sergeant Peppers Lonely Hearts Club Band,1
Beatles,Singles Collection _pvg_,Beatles - Singles Collection _PVG_,ProcessedSongs\Beatles\Singles Collection _pvg_,ProcessedSongs\Beatles\Beatles - Singles Collection _PVG_,26
Beatles,Songbook,Beatles - Songbook,ProcessedSongs\Beatles\Songbook,ProcessedSongs\Beatles\Beatles - Songbook,194
Beatles,White Album 1 _guitar Recorded Version_,Beatles - White Album 1 _Guitar Recorded Version_,ProcessedSongs\Beatles\White Album 1 _guitar Recorded Version_,ProcessedSongs\Beatles\Beatles - White Album 1 _Guitar Recorded Version_,1
Bee Gees,Anthology,Bee Gees - Anthology,ProcessedSongs\Bee Gees\Anthology,ProcessedSongs\Bee Gees\Bee Gees - Anthology,1
Belinda Carlisle,5 Of The Best _pvg_,Belinda Carlisle - 5 Of The Best _PVG_,ProcessedSongs\Belinda Carlisle\5 Of The Best _pvg_,ProcessedSongs\Belinda Carlisle\Belinda Carlisle - 5 Of The Best _PVG_,5
Ben Folds,Songs For Silverman,Ben Folds - Songs For Silverman,ProcessedSongs\Ben Folds\Songs For Silverman,ProcessedSongs\Ben Folds\Ben Folds - Songs For Silverman,13
Ben Folds,Songs For The Silverman,Ben Folds - Songs For The Silverman,ProcessedSongs\Ben Folds\Songs For The Silverman,ProcessedSongs\Ben Folds\Ben Folds - Songs For The Silverman,13
Billy Joel,52nd Street,Billy Joel - 52nd Street,ProcessedSongs\Billy Joel\52nd Street,ProcessedSongs\Billy Joel\Billy Joel - 52nd Street,9
Billy Joel,Anthology,Billy Joel - Anthology,ProcessedSongs\Billy Joel\Anthology,ProcessedSongs\Billy Joel\Billy Joel - Anthology,29
Billy Joel,Best Of Piano Solos,Billy Joel - Best Of Piano Solos,ProcessedSongs\Billy Joel\Best Of Piano Solos,ProcessedSongs\Billy Joel\Billy Joel - Best Of Piano Solos,13
Billy Joel,Complete Vol 1,Billy Joel - Complete Vol 1,ProcessedSongs\Billy Joel\Complete Vol 1,ProcessedSongs\Billy Joel\Billy Joel - Complete Vol 1,47
Billy Joel,Complete Vol 2,Billy Joel - Complete Vol 2,ProcessedSongs\Billy Joel\Complete Vol 2,ProcessedSongs\Billy Joel\Billy Joel - Complete Vol 2,48
Billy Joel,Fantasies And Delusions,Billy Joel - Fantasies And Delusions,ProcessedSongs\Billy Joel\Fantasies And Delusions,ProcessedSongs\Billy Joel\Billy Joel - Fantasies And Delusions,11
Billy Joel,For Advanced Piano,Billy Joel - For Advanced Piano,ProcessedSongs\Billy Joel\For Advanced Piano,ProcessedSongs\Billy Joel\Billy Joel - For Advanced Piano,11
Billy Joel,Glass Houses,Billy Joel - Glass Houses,ProcessedSongs\Billy Joel\Glass Houses,ProcessedSongs\Billy Joel\Billy Joel - Glass Houses,10
Billy Joel,Greatest Hits Vol I And Ii,Billy Joel - Greatest Hits Vol I And II,ProcessedSongs\Billy Joel\Greatest Hits Vol I And Ii,ProcessedSongs\Billy Joel\Billy Joel - Greatest Hits Vol I And II,21
Billy Joel,Greatest Hits Vol Iii,Billy Joel - Greatest Hits Vol III,ProcessedSongs\Billy Joel\Greatest Hits Vol Iii,ProcessedSongs\Billy Joel\Billy Joel - Greatest Hits Vol III,1
Billy Joel,Greatest Hits,Billy Joel - Greatest Hits,ProcessedSongs\Billy Joel\Greatest Hits,ProcessedSongs\Billy Joel\Billy Joel - Greatest Hits,21
