local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_files,local_only,s3_only,match_pct,count_diff_pct,quality
Billy Joel,Billy Joel - Anthology,29,Billy Joel,Billy Joel - Anthology,29,29,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Best Of Piano Solos,13,Billy Joel,Best Of Piano Solos,13,13,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Complete Vol 1,47,Billy Joel,Complete Vol 1,47,40,7,7,0.851,0.000,PARTIAL
Billy Joel,Billy Joel - Complete Vol 2,48,Billy Joel,Complete Vol 2,48,39,9,9,0.812,0.000,PARTIAL
Billy Joel,Billy Joel - Fantasies And Delusions,11,Billy Joel,Billy Joel - Fantasies & Delusions,11,11,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - For Advanced Piano,11,Billy Joel,For Advanced Piano,11,11,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Glass Houses,10,Billy Joel,Billy Joel - Glass Houses,10,10,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Greatest Hits,21,Billy Joel,Billy Joel - Greatest Hits,21,21,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Greatest Hits Vol I And II,21,Billy Joel,Greatest Hits Vol I And Ii,21,21,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Greatest Hits Vol III,1,Billy Joel,Greatest Hits Vol Iii,1,1,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Keyboard Book,15,Billy Joel,Billy Joel - Keyboard Book,15,15,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - My Lives,72,Billy Joel,My Lives,72,48,24,24,0.667,0.000,POOR
Billy Joel,Billy Joel - Rock Score,8,Billy Joel,Rock Score,8,8,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Songs In The Attic,11,Billy Joel,Songs In The Attic,11,11,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel - Turnstiles,8,Billy Joel,Billy Joel - Turnstiles,8,8,0,0,1.000,0.000,PERFECT
Billy Joel,Billy Joel Greatest Hits Vols 1 And 2,11,Billy Joel,Billy Joel Greatest Hits Vols 1 And 2-(0001),11,10,1,1,0.909,0.000,GOOD
Billy Ocean,Billy Ocean - The Best Of,10,,,0,0,10,0,0.000,1.000,NO_MATCH
Black Eyed Peas,Black Eyed Peas - Elephunk _PVG Book_,11,,,0,0,11,0,0.000,1.000,NO_MATCH
Blues Brothers,Blues Brothers - Complete,12,,,0,0,12,0,0.000,1.000,NO_MATCH
Bob Dylan,Bob Dylan - Anthology,46,Bob Dylan,Collection,46,21,25,25,0.457,0.000,POOR
Bob Dylan,Bob Dylan - Anthology 1,46,Bob Dylan,Anthology 1,45,22,24,23,0.478,0.022,POOR
Bob Dylan,Bob Dylan - Anthology 2,51,Bob Dylan,Anthology 2,50,32,19,18,0.627,0.020,POOR
Bob Dylan,Bob Dylan - Basement Tapes _PVG_,24,Bob Dylan,Basement Tapes [pvg],24,18,6,6,0.750,0.000,POOR
