local_artist,local_book,local_count,current_match,current_quality,candidate_1,score_1,count_1,candidate_2,score_2,count_2,candidate_3,score_3,count_3,selected_match,notes
Beatles,Beatles - Songbook,194,Beatles/Beatles - Complete Scores,PARTIAL,Beatles/Beatles - Songbook,0.83,83,Beatles/Beatles - Complete Scores,0.61,167,Beatles/Beatles - Fake Songbook (guitar),0.61,121,,
Belinda Carlisle,Belinda Carlisle - 5 Of The Best _PVG_,5,Belinda Carlisle/Belinda Carlisle - 5 Of The Best [pvg],PARTIAL,Belinda Carlisle/Belinda Carlisle - 5 Of The Best [pvg],0.79,3,Belinda Carlisle/5 Of The Best [pvg],0.65,5,,,,,
Ben Folds,Ben Folds Five - Rockin The Suburbs,12,Ben Folds/Ben Folds Five - Rockin' The Suburbs,PARTIAL,Ben Folds/Ben Folds Five - Rockin' The Suburbs,0.80,8,Ben Folds/Ben Folds - Songs For The Silverman,0.55,6,Ben Folds/Ben Folds Five - Whatever And Ever Amen [book],0.54,15,,
Billy Joel,Billy Joel - My Lives,72,Billy Joel/My Lives,PARTIAL,Billy Joel/My Lives,0.58,72,Billy Joel/Billy Joel - Anthology,0.54,29,Billy Joel/Billy Joel - Greatest Hits,0.51,21,,
Billy Ocean,Billy Ocean - The Best Of,10,Billy Ocean/Billy Ocean - The Best Of,PARTIAL,Billy Ocean/Billy Ocean - The Best Of,0.85,5,Billy Ocean/The Best Of,0.65,10,,,,,
Black Eyed Peas,Black Eyed Peas - Elephunk _PVG Book_,11,Black Eyed Peas/Black Eyed Peas - Elephunk [pvg Book],PARTIAL,Black Eyed Peas/Black Eyed Peas - Elephunk [pvg Book],0.72,8,,,,,,,,
Blues Brothers,Blues Brothers - Complete,12,Blues Brothers/Blues Brothers - Complete,PARTIAL,Blues Brothers/Blues Brothers - Complete,0.85,6,,,,,,,,
Bob Dylan,Bob Dylan - Basement Tapes _PVG_,24,Bob Dylan/Basement Tapes [pvg],PARTIAL,Bob Dylan/Bob Dylan - Collection,0.65,24,Bob Dylan/Bob Dylan - Basement Tapes [pvg],0.65,5,Bob Dylan/Basement Tapes [pvg],0.53,24,,
Bob Dylan,Bob Dylan - Desire,9,Bob Dylan/Desire,POOR,Bob Dylan/Bob Dylan - Desire,0.77,2,Bob Dylan/Bob Dylan - Songbook,0.72,12,Bob Dylan/Bob Dylan - Finger Picking,0.72,9,,
Bonnie Raitt,Bonnie Raitt - Road Tested _PVG Book_,22,Bonnie Raitt/Bonnie Raitt - Road Tested [pvg Book],POOR,Bonnie Raitt/Bonnie Raitt - Road Tested [pvg Book],0.60,7,Bonnie Raitt/Road Tested [pvg Book],0.50,22,Bonnie Raitt/Bonnie Raitt - Nick Of Time [pvg Book],0.28,1,,
Bonnie Tyler,Bonnie Tyler - Hot Songs,7,Bonnie Tyler/Bonnie Tyler - Hot Songs,POOR,Bonnie Tyler/Bonnie Tyler - Hot Songs,0.83,3,Bonnie Tyler/Hot Songs,0.58,7,,,,,
Bread,Bread - Best Of Bread,4,NONE,NO MATCH,Bread/Bread - Best Of Bread,0.92,3,Bread/Best Of Bread,0.82,4,,,,,
Bruce Springsteen,Bruce Springsteen - Greatest Hits,13,Bruce Springsteen/Born In The Usa,POOR,Bruce Springsteen/Greatest Hits,0.58,13,Bruce Springsteen/Bruce Springsteen - Born To Run,0.51,7,Bruce Springsteen/Bruce Springsteen - Lucky Town,0.47,2,,
Buddy Holly,Buddy Holly - Golden Anniversary Songbook,28,Buddy Holly/Buddy Holly - Golden Anniversary Songbook,POOR,Buddy Holly/Buddy Holly - Golden Anniversary Songbook,0.80,9,Buddy Holly/Golden Anniversary Songbook,0.64,27,,,,,
Burl Ives,Burl Ives - Song Book,106,Burl Ives/Burl Ives - Song Book,POOR,Burl Ives/Burl Ives - Song Book,0.87,60,Burl Ives/Song Book,0.58,107,,,,,
Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,40,Burt Bacharach/Burt Bacharach - 40 Golden Songs Of,PARTIAL,Burt Bacharach/Burt Bacharach - 40 Golden Songs Of,0.92,29,Burt Bacharach/40 Golden Songs Of,0.69,39,Burt Bacharach/Burt Bacharach - Anthology,0.41,15,,
