Status,Match_Score,PDF_Artist,PDF_Book,PDF_Path,Folder_Artist,Folder_Book,Folder_Path,PDF_Exists,Folder_Exists
MATCHED,100.00%,_Broadway Shows,A Treasury of Gilbert & Sullivan Part 1,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\A Treasury of Gilbert & Sullivan Part 1.pdf,_broadway Shows,A Treasury Of Gilbert & Sullivan Part 1,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\A Treasury Of Gilbert & Sullivan Part 1,YES,YES
MATCHED,100.00%,_Broadway Shows,A Treasury of Gilbert & Sullivan Part 2,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\A Treasury of Gilbert & Sullivan Part 2.pdf,_broadway Shows,A Treasury Of Gilbert & Sullivan Part 2,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\A Treasury Of Gilbert & Sullivan Part 2,YES,YES
MATCHED,100.00%,_Broadway Shows,Lambert and Morrison - The Drowsy Chaperone (Version 1),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lambert and Morrison - The Drowsy Chaperone (Version 1).pdf,_broadway Shows,Lambert And Morrison - The Drowsy Chaperone (version 1),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lambert And Morrison - The Drowsy Chaperone (version 1),YES,YES
MATCHED,100.00%,_Broadway Shows,Lambert and Morrison - The Drowsy Chaperone (Version 2),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lambert and Morrison - The Drowsy Chaperone (Version 2).pdf,_broadway Shows,Lambert And Morrison - The Drowsy Chaperone (version 2),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lambert And Morrison - The Drowsy Chaperone (version 2),YES,YES
MATCHED,100.00%,_Broadway Shows,Lerner and Loewe - Camelot,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Lerner and Loewe - Camelot.pdf,_broadway Shows,Lerner And Loewe - Camelot,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Lerner And Loewe - Camelot,YES,YES
MATCHED,100.00%,_Broadway Shows,Mamma Mia,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Mamma Mia.pdf,_broadway Shows,Mamma Mia,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Mamma Mia,YES,YES
MATCHED,100.00%,_Broadway Shows,Rogers and Hammerstein - South Pacific,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Rogers and Hammerstein - South Pacific.pdf,_broadway Shows,Rogers And Hammerstein - South Pacific,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Rogers And Hammerstein - South Pacific,YES,YES
MATCHED,100.00%,_Broadway Shows,The Wedding Singer,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\The Wedding Singer.pdf,_broadway Shows,The Wedding Singer,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\The Wedding Singer,YES,YES
UNMATCHED_PDF,76.28%,_Broadway Shows,Various Artists - 25th Annual Putnam County Spelling Bee,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - 25th Annual Putnam County Spelling Bee.pdf,_broadway Shows,Various Artists - Phantom Of Opera [satb],,YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Aida,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Aida.pdf,_broadway Shows,Various Artists - Aida,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Aida,YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Aladdin (book),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Aladdin (book).pdf,_broadway Shows,Various Artists - Aladdin (book),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Aladdin (book),YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Aladdin Jr,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Aladdin Jr.pdf,_broadway Shows,Various Artists - Aladdin Jr,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Aladdin Jr,YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Annie - Full Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Annie - Full Score.pdf,_broadway Shows,Various Artists - Annie - Full Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Annie - Full Score,YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Avenue Q - Full Score,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Avenue Q - Full Score.pdf,_broadway Shows,Various Artists - Avenue Q - Full Score,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Avenue Q - Full Score,YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Avenue X - Vocal Chorus Book,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Avenue X - Vocal Chorus Book.pdf,_broadway Shows,Various Artists - Avenue X - Vocal Chorus Book,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Avenue X - Vocal Chorus Book,YES,
MATCHED,100.00%,_Broadway Shows,"Various Artists - Beauty and the Beast (1994 MTI PC Score, complete)","c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Beauty and the Beast (1994 MTI PC Score, complete).pdf",_broadway Shows,"Various Artists - Beauty And The Beast (1994 Mti Pc Score, Complete)","c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Beauty And The Beast (1994 Mti Pc Score, Complete)",YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Beauty and the Beast [Score],c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Beauty and the Beast [Score].pdf,_broadway Shows,Various Artists - Beauty And The Beast [score],c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Beauty And The Beast [score],YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Best in Broadway Deluxe Edition,c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Best in Broadway Deluxe Edition.pdf,_broadway Shows,Various Artists - Best In Broadway Deluxe Edition,c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Best In Broadway Deluxe Edition,YES,
MATCHED,100.00%,_Broadway Shows,Various Artists - Cabaret (1998 version),c:\Work\AWSMusic\SheetMusic\_Broadway Shows\Books\Various Artists - Cabaret (1998 version).pdf,_broadway Shows,Various Artists - Cabaret (1998 Version),c:\Work\AWSMusic\ProcessedSongs\_broadway Shows\Various Artists - Cabaret (1998 Version),YES,
