"Artist","SourceBook","Folder1","Folder1Songs","Folder2","Folder2Songs"
"Don Henley","Don Henley - Actual Miles (Greatest Hits)","Actual Miles (greatest Hits)","1","Don Henley - Actual Miles (greatest Hits)","3"
"Don Henley","Don Henley - The End Of The Innocence [PVG Book]","Don Henley - The End Of The Innocence [pvg Book]","5","The End Of The Innocence [pvg Book]","10"
"Doobie Brothers","Doobie Brothers - Songs","Doobie Brothers - Songs","4","Songs","9"
"Doors","Doors - Anthology","Anthology","7","Doors - Anthology","7"
"Doors","Doors - Songbook","Doors - Songbook","2","Songbook","6"
"Duran Duran","Duran Duran - Best Of [Score]","Best Of [score]","12","Duran Duran - Best Of [score]","1"
"Duran Duran","Duran Duran - Decade [PVG Book]","Decade [pvg Book]","15","Duran Duran - Decade [pvg Book]","6"
"Duran Duran","Duran Duran - Seven & The Ragged Tiger [Jap Band Score]","Duran Duran - Seven & The Ragged Tiger [jap Band Score]","5","Seven & The Ragged Tiger [jap Band Score]","8"
"Eagles","Eagles - Greatest Hits","Eagles - Greatest Hits","3","Greatest Hits","10"
"Eagles","Eagles - Greatest Hits (1971-1975)","Eagles - Greatest Hits (1971-1975)","2","Greatest Hits (1971-1975)","10"
"Eagles","Eagles - Hotel California (Guitar Songbook)","Eagles - Hotel California (guitar Songbook)","1","Hotel California (guitar Songbook)","1"
"Eagles","Eagles - Made Easy For Guitar","Eagles - Made Easy For Guitar","4","Made Easy For Guitar","6"
"Eagles","Eagles - New Eagles Complete","Eagles - New Eagles Complete","27","New Eagles Complete","67"
"Eagles","Eagles - The Best Of The Eagles - Songbook","Eagles - The Best Of The Eagles - Songbook","3","The Best Of The Eagles - Songbook","12"
"Elo","ELO - A New World Record","A New World Record","7","Elo - A New World Record","1"
"Elo","ELO - Anthology [PVG]","Anthology [pvg]","32","Elo - Anthology [pvg]","15"
"Elo","ELO - Discovery [PVG Book]","Discovery [pvg Book]","1","Elo - Discovery [pvg Book]","7"
"Elo","ELO - Greatest Hits","Elo - Greatest Hits","2","Greatest Hits","1"
"Elton John","Elton John - A Single Man","A Single Man","10","Elton John - A Single Man","6"
"Elton John","Elton John - Goodbye Yellow Brick Road","Elton John - Goodbye Yellow Brick Road","2","Goodbye Yellow Brick Road","1"
"Elton John","Elton John - Greatest Hits 1970-2002","Elton John - Greatest Hits 1970-2002","19","Greatest Hits 1970-2002","30"
"Elton John","Elton John - Ice On Fire","Elton John - Ice On Fire","6","Ice On Fire","12"
"Elton John","Elton John - Made In England","Elton John - Made In England","7","Made In England","11"
"Elton John","Elton John - Peachtree Road","Elton John - Peachtree Road","5","Peachtree Road","10"
"Elton John","Elton John - Reg Strikes Back","Elton John - Reg Strikes Back","4","Reg Strikes Back","9"
"Elton John","Elton John - Sleeping With The Past","Elton John - Sleeping With The Past","1","Sleeping With The Past","1"
"Elton John","Elton John - Songs From The West Coast","Elton John - Songs From The West Coast","2","Songs From The West Coast","1"
"Elton John","Elton John - The Big Picture","Elton John - The Big Picture","2","The Big Picture","1"
"Elton John","Elton John - The One","Elton John - The One","5","The One","1"
"Elton John","Elton John - The Ultimate Collection Vol. 1","Elton John - The Ultimate Collection Vol. 1","19","The Ultimate Collection Vol. 1","59"
"Elton John","Elton John - The Ultimate Collection Vol. 2","Elton John - The Ultimate Collection Vol. 2","19","The Ultimate Collection Vol. 2","29"
"Elton John","Elton John - The Very Best Of","Elton John - The Very Best Of","1","The Very Best Of","1"
"Elton John","Elton John - Too Low For Zero [Book]","Elton John - Too Low For Zero [book]","7","Too Low For Zero [book]","10"
"Elvis Costello","Elvis Costello - The Very Best Of","Elvis Costello - The Very Best Of","19","The Very Best Of","42"
"Emerson Lake And Palmer","Emerson Lake and Palmer - Black Book","Black Book","2","Emerson Lake And Palmer - Black Book","1"
"Emerson Lake And Palmer","Emerson Lake and Palmer - Greatest Hits","Emerson Lake And Palmer - Greatest Hits","5","Greatest Hits","10"
"Emerson Lake And Palmer","Emerson Lake and Palmer - Trilogy [Book]","Emerson Lake And Palmer - Trilogy [book]","4","Trilogy [book]","7"
"Eric Clapton","Eric Clapton - Derek and the Dominos [Book]","Derek And The Dominos [book]","14","Eric Clapton - Derek And The Dominos [book]","10"
"Eric Clapton","Eric Clapton - The Best of Book","Eric Clapton - The Best Of Book","6","The Best Of Book","10"
"Eric Clapton","Eric Clapton - Unplugged [Book]","Eric Clapton - Unplugged [book]","5","Unplugged [book]","14"
"Fleetwood Mac","Fleetwood Mac - Anthology","Anthology","27","Fleetwood Mac - Anthology","22"
"Fleetwood Mac","Fleetwood Mac - Deluxe Anthology","Deluxe Anthology","42","Fleetwood Mac - Deluxe Anthology","4"
"Fleetwood Mac","Fleetwood Mac - Fleetwood Mac + Heroes Are Hard To Find","Fleetwood Mac + Heroes Are Hard To Find","15","Fleetwood Mac - Fleetwood Mac + Heroes Are Hard To Find","9"
"Fleetwood Mac","Fleetwood Mac - Tango In The Night","Fleetwood Mac - Tango In The Night","3","Tango In The Night","12"
"Fleetwood Mac","Fleetwood Mac - The Dance","Fleetwood Mac - The Dance","5","The Dance","13"
"Frank Zappa","Frank Zappa - Songbook Vol 1","Frank Zappa - Songbook Vol 1","4","Songbook Vol 1","17"
"Frank Zappa","Frank Zappa - The Frank Zappa Guitar Book (transcriptions by Steve Vai)","Frank Zappa - The Frank Zappa Guitar Book (transcriptions By Steve Vai)","9","The Frank Zappa Guitar Book (transcriptions By Steve Vai)","12"
"Fray","Fray - How To Save A Life [Book]","Fray - How To Save A Life [book]","2","How To Save A Life [book]","1"
"Garth Brooks","Garth Brooks - No Fences [Guitar Tab]","Garth Brooks - No Fences [guitar Tab]","2","No Fences [guitar Tab]","7"
"Garth Brooks","Garth Brooks - The Limited Series","Garth Brooks - The Limited Series","13","The Limited Series","21"
"Genesis","Genesis - A Trick Of The Tail [Book]","A Trick Of The Tail [book]","8","Genesis - A Trick Of The Tail [book]","4"
"Genesis","Genesis - Anthology","Anthology","44","Genesis - Anthology","16"
"Genesis","Genesis - Best Of Vol 1","Best Of Vol 1","10","Genesis - Best Of Vol 1","7"
"Genesis","Genesis - Invisible Touch [Book]","Genesis - Invisible Touch [book]","4","Invisible Touch [book]","8"
"Genesis","Genesis - Rock Score","Genesis - Rock Score","3","Rock Score","4"
"Genesis","Genesis - Seconds Out","Genesis - Seconds Out","6","Seconds Out","8"
"Genesis","Genesis - Selling England by the Pound","Genesis - Selling England By The Pound","4","Selling England By The Pound","7"
"George Michael","George Michael - Greatest Hits","George Michael - Greatest Hits","10","Greatest Hits","29"
"Grand Funk Railroad","Grand Funk Railroad - Born To Die [PVG Book]","Born To Die [pvg Book]","10","Grand Funk Railroad - Born To Die [pvg Book]","6"
"Grand Funk Railroad","Grand Funk Railroad - Hits From We're An American Band, Shinin' On, Phoenix [PVG]","Grand Funk Railroad - Hits From We're An American Band, Shinin' On, Phoenix [pvg]","19","Hits From We're An American Band, Shinin' On, Phoenix [pvg]","23"
"Harry Chapin","Harry Chapin - The Authentic Guitar Style Of [Guitar Tab]","Harry Chapin - The Authentic Guitar Style Of [guitar Tab]","2","The Authentic Guitar Style Of [guitar Tab]","9"
"Jackson Browne","Jackson Browne - Deluxe Anthology","Deluxe Anthology","39","Jackson Browne - Deluxe Anthology","38"
"James Blunt","James Blunt - All The Lost Souls [Book]","All The Lost Souls [book]","10","James Blunt - All The Lost Souls [book]","3"
"James Taylor","James Taylor - Classic [Guitar]","Classic [guitar]","15","James Taylor - Classic [guitar]","11"
"James Taylor","James Taylor - Classics (guitar tab)","Classics (guitar Tab)","15","James Taylor - Classics (guitar Tab)","10"
"James Taylor","James Taylor - Guitar Songbook","Guitar Songbook","24","James Taylor - Guitar Songbook","14"
"James Taylor","James Taylor - James Taylor Songbook","James Taylor - James Taylor Songbook","18","James Taylor Songbook","24"
"James Taylor","James Taylor - James Taylor [PVG Book]","James Taylor - James Taylor [pvg Book]","12","James Taylor [pvg Book]","21"
"James Taylor","James Taylor - That's Why I'm Here [PVG Book]","James Taylor - That's Why I'm Here [pvg Book]","6","That's Why I'm Here [pvg Book]","10"
"Jim Croce","Jim Croce - Acoustic Fingerstyle Video Guitar Lessons","Acoustic Fingerstyle Video Guitar Lessons","1","Jim Croce - Acoustic Fingerstyle Video Guitar Lessons","1"
"John Denver","John Denver - Anthology","Anthology","53","John Denver - Anthology","19"
"John Denver","John Denver - Anthology [PVG]","Anthology [pvg]","53","John Denver - Anthology [pvg]","15"
"John Denver","John Denver - Best Of [Easy Piano]","Best Of [easy Piano]","18","John Denver - Best Of [easy Piano]","6"
"John Denver","John Denver - I Want To Live [PVG Book]","I Want To Live [pvg Book]","11","John Denver - I Want To Live [pvg Book]","5"
"John Denver","John Denver - The Authentic Guitar Style Of.","John Denver - The Authentic Guitar Style Of","5","The Authentic Guitar Style Of","12"
"Journey","Journey - Complete","Complete","68","Journey - Complete","24"
"Journey","Journey - Complete Songbook","Complete Songbook","68","Journey - Complete Songbook","24"
"Journey","Journey - Greatest Hits (Book)","Greatest Hits (book)","5","Journey - Greatest Hits (book)","4"
"Katy Perry","Katy Perry - One Of The Boys [PVG Book]","Katy Perry - One Of The Boys [pvg Book]","6","One Of The Boys [pvg Book]","12"
"Kelly Clarkson","Kelly Clarkson - Breakaway (Book)","Breakaway (book)","2","Kelly Clarkson - Breakaway (book)","4"
"Kinks","Kinks - Great Songs of Kinks","Great Songs Of Kinks","8","Kinks - Great Songs Of Kinks","5"
"Lynyrd Skynyrd","Lynyrd Skynyrd - The New Best Of [Guitar Tab]","Lynyrd Skynyrd - The New Best Of [guitar Tab]","6","The New Best Of [guitar Tab]","5"
"Meatloaf","MeatLoaf - Bat Out Of Hell","Bat Out Of Hell","1","Meatloaf - Bat Out Of Hell","2"
"Michael Jackson","Michael Jackson - Great Songs Of [PVG]","Great Songs Of [pvg]","10","Michael Jackson - Great Songs Of [pvg]","3"
"Michael Jackson","Michael Jackson - Number Ones","Michael Jackson - Number Ones","8","Number Ones","18"
"Michael Jackson","Michael Jackson - The Great Songs Of","Michael Jackson - The Great Songs Of","5","The Great Songs Of","10"
"Neil Diamond","Neil Diamond - The Essential Neil Diamond","Neil Diamond - The Essential Neil Diamond","15","The Essential Neil Diamond","40"
"Neil Young","Neil Young - After the Goldrush [PVG Book]","After The Goldrush [pvg Book]","10","Neil Young - After The Goldrush [pvg Book]","4"
"Neil Young","Neil Young - Greatest Hits [Guitar Tab]","Greatest Hits [guitar Tab]","15","Neil Young - Greatest Hits [guitar Tab]","8"
"Neil Young","Neil Young - The Best Of Neil Young [PVG Book]","Neil Young - The Best Of Neil Young [pvg Book]","3","The Best Of Neil Young [pvg Book]","9"
"Paul Mccartney","Paul McCartney - Chaos And Creation In The Backyard [PVG Book]","Chaos And Creation In The Backyard [pvg Book]","13","Paul Mccartney - Chaos And Creation In The Backyard [pvg Book]","7"
"Paul Mccartney","Paul McCartney - Flowers In The Dirt","Flowers In The Dirt","14","Paul Mccartney - Flowers In The Dirt","5"
