"Artist","SourceBook","SourcePath","FolderCount","Folders"
"Beatles","Beatles - Sergeant Pepper's Lonely Hearts Club Band","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Sergeant Pepper's Lonely Hearts Club Band.pdf","2","Beatles - Sergeant Pepper's Lonely Hearts Club Band; Sergeant Pepper's Lonely Hearts Club Band"
"Beatles","Beatles - Singles Collection [PVG]","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Singles Collection [PVG].pdf","2","Beatles - Singles Collection [pvg]; Singles Collection [pvg]"
"Beatles","Beatles - Songbook","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Songbook.pdf","2","Beatles - Songbook; Songbook"
"Beatles","Beatles - White Album 1  (Guitar Recorded Version)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - White Album 1  (Guitar Recorded Version).pdf","2","Beatles - White Album 1 (guitar Recorded Version); White Album 1 (guitar Recorded Version)"
"Bee Gees","Bee Gees - Anthology","C:\Work\AWSMusic\SheetMusic\Bee Gees\books\Bee Gees - Anthology.pdf","2","Anthology; Bee Gees - Anthology"
"Belinda Carlisle","Belinda Carlisle - 5 Of The Best [PVG]","C:\Work\AWSMusic\SheetMusic\Belinda Carlisle\books\Belinda Carlisle - 5 Of The Best [PVG].pdf","2","5 Of The Best [pvg]; Belinda Carlisle - 5 Of The Best [pvg]"
"Ben Folds","Ben Folds - Songs for Silverman","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds - Songs for Silverman.pdf","2","Ben Folds - Songs For Silverman; Songs For Silverman"
"Ben Folds","Ben Folds - Songs For The Silverman","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds - Songs For The Silverman.pdf","2","Ben Folds - Songs For The Silverman; Songs For The Silverman"
"Billy Ocean","Billy Ocean - The Best Of","C:\Work\AWSMusic\SheetMusic\Billy Ocean\books\Billy Ocean - The Best Of.pdf","2","Billy Ocean - The Best Of; The Best Of"
"Black Eyed Peas","Black Eyed Peas - Elephunk [PVG Book]","C:\Work\AWSMusic\SheetMusic\Black Eyed Peas\books\Black Eyed Peas - Elephunk [PVG Book].pdf","2","Black Eyed Peas - Elephunk [pvg Book]; Elephunk [pvg Book]"
"Blues Brothers","Blues Brothers - Complete","C:\Work\AWSMusic\SheetMusic\Blues Brothers\books\Blues Brothers - Complete.pdf","2","Blues Brothers - Complete; Complete"
"Bob Dylan","Bob Dylan - Anthology 1","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Anthology 1.pdf","2","Anthology 1; Bob Dylan - Anthology 1"
"Bob Dylan","Bob Dylan - Anthology 2","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Anthology 2.pdf","2","Anthology 2; Bob Dylan - Anthology 2"
"Bob Dylan","Bob Dylan - Anthology","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Anthology.pdf","2","Anthology; Bob Dylan - Anthology"
"Bob Dylan","Bob Dylan - Basement Tapes [PVG]","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Basement Tapes [PVG].pdf","2","Basement Tapes [pvg]; Bob Dylan - Basement Tapes [pvg]"
"Bob Dylan","Bob Dylan - Blonde On Blonde","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Blonde On Blonde.pdf","2","Blonde On Blonde; Bob Dylan - Blonde On Blonde"
"Bob Dylan","Bob Dylan - Collection","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Collection.pdf","2","Bob Dylan - Collection; Collection"
"Bob Dylan","Bob Dylan - Desire","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Desire.pdf","2","Bob Dylan - Desire; Desire"
"Bob Dylan","Bob Dylan - Finger Picking","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Finger Picking.pdf","2","Bob Dylan - Finger Picking; Finger Picking"
"Bob Dylan","Bob Dylan - Highway 61 Revisited","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Highway 61 Revisited.pdf","2","Bob Dylan - Highway 61 Revisited; Highway 61 Revisited"
"Bob Dylan","Bob Dylan - Rock Score","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Rock Score.pdf","2","Bob Dylan - Rock Score; Rock Score"
"Bob Dylan","Bob Dylan - Songbook","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Songbook.pdf","2","Bob Dylan - Songbook; Songbook"
"Bob Dylan","Bob Dylan - The Harp Styles of Bob Dylan [Harmonica]","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - The Harp Styles of Bob Dylan [Harmonica].pdf","2","Bob Dylan - The Harp Styles Of Bob Dylan [harmonica]; The Harp Styles Of Bob Dylan [harmonica]"
"Bob Seger","Bob Seger - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Bob Seger\books\Bob Seger - Greatest Hits.pdf","2","Bob Seger - Greatest Hits; Greatest Hits"
"Bon Jovi","Bon Jovi - Best of Bon Jovi","C:\Work\AWSMusic\SheetMusic\Bon Jovi\books\Bon Jovi - Best of Bon Jovi.pdf","2","Best Of Bon Jovi; Bon Jovi - Best Of Bon Jovi"
"Bonnie Raitt","Bonnie Raitt - Road Tested [PVG Book]","C:\Work\AWSMusic\SheetMusic\Bonnie Raitt\books\Bonnie Raitt - Road Tested [PVG Book].pdf","2","Bonnie Raitt - Road Tested [pvg Book]; Road Tested [pvg Book]"
"Bonnie Tyler","Bonnie Tyler - Hot Songs","C:\Work\AWSMusic\SheetMusic\Bonnie Tyler\books\Bonnie Tyler - Hot Songs.pdf","2","Bonnie Tyler - Hot Songs; Hot Songs"
"Bread","Bread - Best of Bread","C:\Work\AWSMusic\SheetMusic\Bread\books\Bread - Best of Bread.pdf","2","Best Of Bread; Bread - Best Of Bread"
"Bruce Springsteen","Bruce Springsteen - Born In The USA","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\books\Bruce Springsteen - Born In The USA.pdf","2","Born In The Usa; Bruce Springsteen - Born In The Usa"
"Bruce Springsteen","Bruce Springsteen - Born To Run","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\books\Bruce Springsteen - Born To Run.pdf","2","Born To Run; Bruce Springsteen - Born To Run"
"Bruce Springsteen","Bruce Springsteen - Lucky Town","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\books\Bruce Springsteen - Lucky Town.pdf","2","Bruce Springsteen - Lucky Town; Lucky Town"
"Buddy Holly","Buddy Holly - Golden Anniversary Songbook","C:\Work\AWSMusic\SheetMusic\Buddy Holly\books\Buddy Holly - Golden Anniversary Songbook.pdf","2","Buddy Holly - Golden Anniversary Songbook; Golden Anniversary Songbook"
"Burl Ives","Burl Ives - Song Book","C:\Work\AWSMusic\SheetMusic\Burl Ives\books\Burl Ives - Song Book.pdf","2","Burl Ives - Song Book; Song Book"
"Burt Bacharach","Burt Bacharach - 40 Golden Songs Of","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\books\Burt Bacharach - 40 Golden Songs Of.pdf","2","40 Golden Songs Of; Burt Bacharach - 40 Golden Songs Of"
"Burt Bacharach","Burt Bacharach - Anthology","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\books\Burt Bacharach - Anthology.pdf","2","Anthology; Burt Bacharach - Anthology"
"Burt Bacharach","Burt Bacharach - Bacharach Collection","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\books\Burt Bacharach - Bacharach Collection.pdf","2","Bacharach Collection; Burt Bacharach - Bacharach Collection"
