Type,Needs_Rename,Artist,Old_Name,New_Name,Old_Path,New_Path,Status
PDF,YES,The Band,The Band - The Band  and Music From Big Pink,The Band - The Band And Music From Big Pink,c:\Work\AWSMusic\SheetMusic\The Band\Books\The Band - The Band  and Music From Big Pink.pdf,c:\Work\AWSMusic\SheetMusic\The Band\Books\The Band - The Band And Music From Big Pink.pdf,MATCHED
PDF,YES,Tom Lehrer,Tom Lehrer - Too Many Songs [PVC Book],Tom Lehrer - Too Many Songs _PVC Book_,c:\Work\AWSMusic\SheetMusic\Tom Lehrer\Books\Tom Lehrer - Too Many Songs [PVC Book].pdf,c:\Work\AWSMusic\SheetMusic\Tom Lehrer\Books\Tom Lehrer - Too Many Songs _PVC Book_.pdf,MATCHED
FOLDER,YES,Tom Lehrer,Tom Lehrer - Too Many Songs [PVC Book],Tom Lehrer - Too Many Songs _PVC Book_,c:\Work\AWSMusic\ProcessedSongs\Tom Lehrer\Tom Lehrer - Too Many Songs [PVC Book],c:\Work\AWSMusic\ProcessedSongs\Tom Lehrer\Tom Lehrer - Too Many Songs _PVC Book_,MATCHED
PDF,YES,Tori Amos,Tori Amos - [Book] Anthology,Tori Amos - _Book_ Anthology,c:\Work\AWSMusic\SheetMusic\Tori Amos\Books\Tori Amos - [Book] Anthology.pdf,c:\Work\AWSMusic\SheetMusic\Tori Amos\Books\Tori Amos - _Book_ Anthology.pdf,MATCHED
FOLDER,YES,Tori Amos,[book] Anthology,_book_ Anthology,c:\Work\AWSMusic\ProcessedSongs\Tori Amos\[book] Anthology,c:\Work\AWSMusic\ProcessedSongs\Tori Amos\_book_ Anthology,MATCHED
PDF,YES,Toto,Toto - Best of,Toto - Best Of,c:\Work\AWSMusic\SheetMusic\Toto\Books\Toto - Best of.pdf,c:\Work\AWSMusic\SheetMusic\Toto\Books\Toto - Best Of.pdf,MATCHED
PDF,YES,Toto,Toto - Past To Present [Book],Toto - Past To Present _Book_,c:\Work\AWSMusic\SheetMusic\Toto\Books\Toto - Past To Present [Book].pdf,c:\Work\AWSMusic\SheetMusic\Toto\Books\Toto - Past To Present _Book_.pdf,MATCHED
FOLDER,YES,Toto,Past To Present [book],Past To Present _book_,c:\Work\AWSMusic\ProcessedSongs\Toto\Past To Present [book],c:\Work\AWSMusic\ProcessedSongs\Toto\Past To Present _book_,MATCHED
PDF,YES,Van Morrison,Van Morrison - Anthology (2),Van Morrison - Anthology _2_,c:\Work\AWSMusic\SheetMusic\Van Morrison\Books\Van Morrison - Anthology (2).pdf,c:\Work\AWSMusic\SheetMusic\Van Morrison\Books\Van Morrison - Anthology _2_.pdf,MATCHED
FOLDER,YES,Van Morrison,Anthology (2),Anthology _2_,c:\Work\AWSMusic\ProcessedSongs\Van Morrison\Anthology (2),c:\Work\AWSMusic\ProcessedSongs\Van Morrison\Anthology _2_,MATCHED
PDF,YES,Van Morrison,Van Morrison - Back On Top [Book],Van Morrison - Back On Top _Book_,c:\Work\AWSMusic\SheetMusic\Van Morrison\Books\Van Morrison - Back On Top [Book].pdf,c:\Work\AWSMusic\SheetMusic\Van Morrison\Books\Van Morrison - Back On Top _Book_.pdf,MATCHED
FOLDER,YES,Van Morrison,Back On Top [book],Back On Top _book_,c:\Work\AWSMusic\ProcessedSongs\Van Morrison\Back On Top [book],c:\Work\AWSMusic\ProcessedSongs\Van Morrison\Back On Top _book_,MATCHED
PDF,YES,Van Morrison,Van Morrison - Days Like These (Book),Van Morrison - Days Like These _Book_,c:\Work\AWSMusic\SheetMusic\Van Morrison\Books\Van Morrison - Days Like These (Book).pdf,c:\Work\AWSMusic\SheetMusic\Van Morrison\Books\Van Morrison - Days Like These _Book_.pdf,MATCHED
FOLDER,YES,Van Morrison,Days Like These (book),Days Like These _book_,c:\Work\AWSMusic\ProcessedSongs\Van Morrison\Days Like These (book),c:\Work\AWSMusic\ProcessedSongs\Van Morrison\Days Like These _book_,MATCHED
PDF,YES,Various Artists,Various Artists - 100 Songs For Kids - (Easy Guitar Songbook),Various Artists - 100 Songs For Kids - _Easy Guitar Songbook_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 100 Songs For Kids - (Easy Guitar Songbook).pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 100 Songs For Kids - _Easy Guitar Songbook_.pdf,MATCHED
FOLDER,YES,Various Artists,100 Songs For Kids - (easy Guitar Songbook),100 Songs For Kids - _easy Guitar Songbook_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\100 Songs For Kids - (easy Guitar Songbook),c:\Work\AWSMusic\ProcessedSongs\Various Artists\100 Songs For Kids - _easy Guitar Songbook_,MATCHED
PDF,YES,Various Artists,Various Artists - 50's and 60's,Various Artists - 50s And 60s,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 50's and 60's.pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 50s And 60s.pdf,MATCHED
FOLDER,YES,Various Artists,50's And 60's,50s And 60s,c:\Work\AWSMusic\ProcessedSongs\Various Artists\50's And 60's,c:\Work\AWSMusic\ProcessedSongs\Various Artists\50s And 60s,MATCHED
PDF,YES,Various Artists,Various Artists - 557 Standards (Sheet Music - Piano)(2),Various Artists - 557 Standards _Sheet Music - Piano__2_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 557 Standards (Sheet Music - Piano)(2).pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 557 Standards _Sheet Music - Piano__2_.pdf,MATCHED
FOLDER,YES,Various Artists,557 Standards (sheet Music - Piano)(2),557 Standards _sheet Music - Piano__2_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\557 Standards (sheet Music - Piano)(2),c:\Work\AWSMusic\ProcessedSongs\Various Artists\557 Standards _sheet Music - Piano__2_,MATCHED
PDF,YES,Various Artists,Various Artists - 62 Stars 62 Hits [60's Compilation],Various Artists - 62 Stars 62 Hits _60s Compilation_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 62 Stars 62 Hits [60's Compilation].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 62 Stars 62 Hits _60s Compilation_.pdf,MATCHED
FOLDER,YES,Various Artists,62 Stars 62 Hits [60's Compilation],62 Stars 62 Hits _60s Compilation_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\62 Stars 62 Hits [60's Compilation],c:\Work\AWSMusic\ProcessedSongs\Various Artists\62 Stars 62 Hits _60s Compilation_,MATCHED
PDF,YES,Various Artists,Various Artists - 70's Collection -   (57pp),Various Artists - 70s Collection - _57pp_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 70's Collection -   (57pp).pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 70s Collection - _57pp_.pdf,MATCHED
FOLDER,YES,Various Artists,70's Collection - (57pp),70s Collection - _57pp_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\70's Collection - (57pp),c:\Work\AWSMusic\ProcessedSongs\Various Artists\70s Collection - _57pp_,MATCHED
PDF,YES,Various Artists,Various Artists - 70's Hits [Easy Piano],Various Artists - 70s Hits _Easy Piano_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 70's Hits [Easy Piano].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - 70s Hits _Easy Piano_.pdf,MATCHED
FOLDER,YES,Various Artists,70's Hits [easy Piano],70s Hits _easy Piano_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\70's Hits [easy Piano],c:\Work\AWSMusic\ProcessedSongs\Various Artists\70s Hits _easy Piano_,MATCHED
PDF,YES,Various Artists,Various Artists - Best in Country Sheet Music,Various Artists - Best In Country Sheet Music,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Best in Country Sheet Music.pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Best In Country Sheet Music.pdf,MATCHED
PDF,YES,Various Artists,Various Artists - Best Of 80s Rock [PVG],Various Artists - Best Of 80s Rock _PVG_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Best Of 80s Rock [PVG].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Best Of 80s Rock _PVG_.pdf,MATCHED
FOLDER,YES,Various Artists,Best Of 80s Rock [pvg],Best Of 80s Rock _pvg_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Best Of 80s Rock [pvg],c:\Work\AWSMusic\ProcessedSongs\Various Artists\Best Of 80s Rock _pvg_,MATCHED
PDF,YES,Various Artists,Various Artists - Best Of The 70s & 80s [Solo Piano],Various Artists - Best Of The 70s And 80s _Solo Piano_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Best Of The 70s & 80s [Solo Piano].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Best Of The 70s And 80s _Solo Piano_.pdf,MATCHED
FOLDER,YES,Various Artists,Best Of The 70s & 80s [solo Piano],Best Of The 70s And 80s _solo Piano_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Best Of The 70s & 80s [solo Piano],c:\Work\AWSMusic\ProcessedSongs\Various Artists\Best Of The 70s And 80s _solo Piano_,MATCHED
PDF,YES,Various Artists,Various Artists - Classic Rock - 73 songs,Various Artists - Classic Rock - 73 Songs,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Classic Rock - 73 songs.pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Classic Rock - 73 Songs.pdf,MATCHED
PDF,YES,Various Artists,Various Artists - Complete Piano Player Easy Blues (22 songs),Various Artists - Complete Piano Player Easy Blues _22 songs_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Complete Piano Player Easy Blues (22 songs).pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Complete Piano Player Easy Blues _22 songs_.pdf,MATCHED
