Type,Input Path,Output Path,Similarity
Exact Match,_Broadway Shows\Various Artists - Rocky Horror Show.pdf,_broadway Shows/Various Artists - Rocky Horror Show,100%
Exact Match,_Broadway Shows\Various Artists - Rocky Horror Show Revised - Full Score.pdf,_broadway Shows/Various Artists - Rocky Horror Show Revised - Full Score,100%
Exact Match,_Broadway Shows\Various Artists - Seussical - TYA.pdf,_broadway Shows/Various Artists - Seussical - TYA,100%
Exact Match,_Broadway Shows\Various Artists - Seussical _Piano-Conductor_.pdf,_broadway Shows/Various Artists - Seussical _Piano-Conductor_,100%
Exact Match,_Broadway Shows\Various Artists - Seussical _PV Score_.pdf,_broadway Shows/Various Artists - Seussical _PV Score_,100%
Exact Match,_Broadway Shows\Various Artists - Shrek The Musical.pdf,_broadway Shows/Various Artists - Shrek The Musical,100%
Exact Match,_Broadway Shows\Various Artists - Sound Of Music.pdf,_broadway Shows/Various Artists - Sound Of Music,100%
Exact Match,_Broadway Shows\Various Artists - Sound Of Music _Vocal Selections_.pdf,_broadway Shows/Various Artists - Sound Of Music _Vocal Selections_,100%
Exact Match,_Broadway Shows\Various Artists - Spamalot.pdf,_broadway Shows/Various Artists - Spamalot,100%
Exact Match,_Broadway Shows\Various Artists - Sweeney Todd Vocal Score.pdf,_broadway Shows/Various Artists - Sweeney Todd Vocal Score,100%
Exact Match,_Broadway Shows\Various Artists - The Hobbit Score.pdf,_broadway Shows/Various Artists - The Hobbit Score,100%
Exact Match,_Broadway Shows\Various Artists - The Ultimate BROADWAY fakebook.pdf,_broadway Shows/Various Artists - The Ultimate BROADWAY fakebook,100%
Exact Match,_Broadway Shows\Various Artists - Wicked _PVG_.pdf,_broadway Shows/Various Artists - Wicked _PVG_,100%
Exact Match,_Broadway Shows\Various Artists - Wicked _Score_.pdf,_broadway Shows/Various Artists - Wicked _Score_,100%
Exact Match,_Broadway Shows\Various Artists - Wizard Of Oz - Piano Conductor.pdf,_broadway Shows/Various Artists - Wizard Of Oz - Piano Conductor,100%
Exact Match,_Broadway Shows\Various Artists - Wizard Of Oz _RSC Piano-Conductor_.pdf,_broadway Shows/Various Artists - Wizard Of Oz _RSC Piano-Conductor_,100%
Exact Match,_Broadway Shows\Various Artists - Youre A Good Man Charlie Brown _revival_ _score_.pdf,_broadway Shows/Various Artists - Youre A Good Man Charlie Brown _revival_ _score_,100%
Exact Match,_Broadway Shows\Various Artists - Youre A Good Man Charlie Brown _Score_.pdf,_broadway Shows/Various Artists - Youre A Good Man Charlie Brown _Score_,100%
Exact Match,_Broadway Shows\Wicked Workshop.pdf,_broadway Shows/Wicked Workshop,100%
Exact Match,_Movie and TV\Beauty And The Beast _PVG_.pdf,_movie And Tv/Beauty And The Beast _PVG_,100%
Exact Match,_Movie and TV\Brother Bear _Disney_.pdf,_movie And Tv/Brother Bear _Disney_,100%
Exact Match,_Movie and TV\Budget Books - Movie Songs.pdf,_movie And Tv/Budget Books - Movie Songs,100%
Exact Match,_Movie and TV\Disney Collection _Songs Out Of order_.pdf,_movie And Tv/Disney Collection _Songs Out Of order_,100%
Exact Match,_Movie and TV\High School Musical - Breaking Free - Piano Sheet Music.pdf,_movie And Tv/High School Musical - Breaking Free - Piano Sheet Music,100%
Exact Match,_Movie and TV\John Williams - Greatest Hits.pdf,_movie And Tv/John Williams - Greatest Hits,100%
Exact Match,_Movie and TV\John Williams - Star Wars Episode I - The Phantom Menace.pdf,_movie And Tv/John Williams - Star Wars Episode I - The Phantom Menace,100%
Exact Match,_Movie and TV\John Williams - Star Wars Episode II - Attack Of The Clones _lite_.pdf,_movie And Tv/John Williams - Star Wars Episode II - Attack Of The Clones _lite_,100%
Exact Match,_Movie and TV\John Williams - Star Wars Episode III - Revenge Of The Sith_Incomplete Grab_.pdf,_movie And Tv/John Williams - Star Wars Episode III - Revenge Of The Sith_Incomplete Grab_,100%
Exact Match,_Movie and TV\John Williams - Star Wars Trilogy.pdf,_movie And Tv/John Williams - Star Wars Trilogy,100%
Exact Match,_Movie and TV\Kasha And Hirschorn - Petes Dragon.pdf,_movie And Tv/Kasha And Hirschorn - Petes Dragon,100%
Exact Match,_Movie and TV\Mary Poppins.pdf,_movie And Tv/Mary Poppins,100%
Exact Match,_Movie and TV\Mulan.pdf,_movie And Tv/Mulan,100%
Exact Match,_Movie and TV\Pirates Of The Caribbean _Book 1 - The Curse Of The Black Pearl_.pdf,_movie And Tv/Pirates Of The Caribbean _Book 1 - The Curse Of The Black Pearl_,100%
Exact Match,_Movie and TV\Pirates Of The Caribbean _Book 2 - Dead Mans Chest_.pdf,_movie And Tv/Pirates Of The Caribbean _Book 2 - Dead Mans Chest_,100%
Exact Match,_Movie and TV\Randy Newman - Toy Story 2.pdf,_movie And Tv/Randy Newman - Toy Story 2,100%
Exact Match,_Movie and TV\Spirited Away _Disney_ _2001_.pdf,_movie And Tv/Spirited Away _Disney_ _2001_,100%
Exact Match,_Movie and TV\Star Wars Suite _John Williams - Full Score - Hal Leonard_.pdf,_movie And Tv/Star Wars Suite _John Williams - Full Score - Hal Leonard_,100%
Exact Match,_Movie and TV\The New Illustrated Treasury Of Disney.pdf,_movie And Tv/The New Illustrated Treasury Of Disney,100%
Exact Match,_Movie and TV\The New Illustrated Treasury Of Disney Songs.pdf,_movie And Tv/The New Illustrated Treasury Of Disney Songs,100%
Exact Match,_Movie and TV\The Wizard Of Oz Script.pdf,_movie And Tv/The Wizard Of Oz Script,100%
Exact Match,_Movie and TV\Theme From Rocky And Otther Big Hits.pdf,_movie And Tv/Theme From Rocky And Otther Big Hits,100%
Exact Match,_Movie and TV\Various Artists - 100 Of The Best Movie Songs Ever.pdf,_movie And Tv/Various Artists - 100 Of The Best Movie Songs Ever,100%
Exact Match,_Movie and TV\Various Artists - Book Of Great TV Hits.pdf,_movie And Tv/Various Artists - Book Of Great TV Hits,100%
Exact Match,_Movie and TV\Various Artists - Box Office Themes Vol 1.pdf,_movie And Tv/Various Artists - Box Office Themes Vol 1,100%
Exact Match,_Movie and TV\Various Artists - Decades Of Film 70s.pdf,_movie And Tv/Various Artists - Decades Of Film 70s,100%
Exact Match,_Movie and TV\Various Artists - Decades Of Film 80s.pdf,_movie And Tv/Various Artists - Decades Of Film 80s,100%
Exact Match,_Movie and TV\Various Artists - Decades Of Film 90s.pdf,_movie And Tv/Various Artists - Decades Of Film 90s,100%
Exact Match,_Movie and TV\Various Artists - Disney Duets.pdf,_movie And Tv/Various Artists - Disney Duets,100%
Exact Match,_Movie and TV\Various Artists - Disney Fake Book.pdf,_movie And Tv/Various Artists - Disney Fake Book,100%
Exact Match,_Movie and TV\Various Artists - Disney Solos For Violin.pdf,_movie And Tv/Various Artists - Disney Solos For Violin,100%
Exact Match,_Movie and TV\Various Artists - Eddie And The Cruisers.pdf,_movie And Tv/Various Artists - Eddie And The Cruisers,100%
Exact Match,_Movie and TV\Various Artists - Film Book.pdf,_movie And Tv/Various Artists - Film Book,100%
Exact Match,_Movie and TV\Various Artists - Film Music For Solo Piano.pdf,_movie And Tv/Various Artists - Film Music For Solo Piano,100%
Exact Match,_Movie and TV\Various Artists - Film Music For Solo Piano _2_.pdf,_movie And Tv/Various Artists - Film Music For Solo Piano _2_,100%
Exact Match,_Movie and TV\Various Artists - Frozen - Let It Go _Movie Version_.pdf,_movie And Tv/Various Artists - Frozen - Let It Go _Movie Version_,100%
Exact Match,_Movie and TV\Various Artists - High School Musical 1.pdf,_movie And Tv/Various Artists - High School Musical 1,100%
Exact Match,_Movie and TV\Various Artists - High School Musical 2.pdf,_movie And Tv/Various Artists - High School Musical 2,100%
Exact Match,_Movie and TV\Various Artists - Little Mermaid.pdf,_movie And Tv/Various Artists - Little Mermaid,100%
Exact Match,_Movie and TV\Various Artists - Love Songs From The Movies.pdf,_movie And Tv/Various Artists - Love Songs From The Movies,100%
Exact Match,_Movie and TV\Various Artists - Movie Fakebook.pdf,_movie And Tv/Various Artists - Movie Fakebook,100%
Exact Match,_Movie and TV\Various Artists - Movie Love Songs _Book_.pdf,_movie And Tv/Various Artists - Movie Love Songs _Book_,100%
Exact Match,_Movie and TV\Various Artists - Movie Melodies - The Very Best Of Movie Songs.pdf,_movie And Tv/Various Artists - Movie Melodies - The Very Best Of Movie Songs,100%
Exact Match,_Movie and TV\Various Artists - Movie Songs Of The 90s Vol 2.pdf,_movie And Tv/Various Artists - Movie Songs Of The 90s Vol 2,100%
Exact Match,_Movie and TV\Various Artists - Music From The Movies The Adventure Collection.pdf,_movie And Tv/Various Artists - Music From The Movies The Adventure Collection,100%
