Type,Input Path,Output Path,Similarity
Exact Match,Bob Dylan\Bob Dylan - Anthology 2.pdf,Bob Dylan/Bob Dylan - Anthology 2,100%
Exact Match,Bob Dylan\Bob Dylan - Basement Tapes _PVG_.pdf,Bob Dylan/Bob Dylan - Basement Tapes _PVG_,100%
Exact Match,Bob Dylan\Bob Dylan - Blonde On Blonde.pdf,Bob Dylan/Bob Dylan - Blonde On Blonde,100%
Exact Match,Bob Dylan\Bob Dylan - Collection.pdf,Bob Dylan/Bob Dylan - Collection,100%
Exact Match,Bob Dylan\Bob Dylan - Desire.pdf,Bob Dylan/Bob Dylan - Desire,100%
Exact Match,Bob Dylan\Bob Dylan - Finger Picking.pdf,Bob Dylan/Bob Dylan - Finger Picking,100%
Exact Match,Bob Dylan\Bob Dylan - Highway 61 Revisited.pdf,Bob Dylan/Bob Dylan - Highway 61 Revisited,100%
Exact Match,Bob Dylan\Bob Dylan - Nashville Skyline.pdf,Bob Dylan/Bob Dylan - Nashville Skyline,100%
Exact Match,Bob Dylan\Bob Dylan - Rock Score.pdf,Bob Dylan/Bob Dylan - Rock Score,100%
Exact Match,Bob Dylan\Bob Dylan - Saved.pdf,Bob Dylan/Bob Dylan - Saved,100%
Exact Match,Bob Dylan\Bob Dylan - Songbook.pdf,Bob Dylan/Bob Dylan - Songbook,100%
Exact Match,Bob Dylan\Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_.pdf,Bob Dylan/Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,100%
Exact Match,Bob Seger\Bob Seger - Greatest Hits.pdf,Bob Seger/Bob Seger - Greatest Hits,100%
Exact Match,Bob Seger\Bob Seger - The New Best Of Bob Seger.pdf,Bob Seger/Bob Seger - The New Best Of Bob Seger,100%
Exact Match,Bon Jovi\Bon Jovi - Best Of Bon Jovi.pdf,Bon Jovi/Bon Jovi - Best Of Bon Jovi,100%
Exact Match,Bonnie Raitt\Bonnie Raitt - Nick Of Time _PVG Book_.pdf,Bonnie Raitt/Bonnie Raitt - Nick Of Time _PVG Book_,100%
Exact Match,Bonnie Raitt\Bonnie Raitt - Road Tested _PVG Book_.pdf,Bonnie Raitt/Bonnie Raitt - Road Tested _PVG Book_,100%
Exact Match,Bonnie Tyler\Bonnie Tyler - Hot Songs.pdf,Bonnie Tyler/Bonnie Tyler - Hot Songs,100%
Exact Match,Bread\Bread - Best Of Bread.pdf,Bread/Bread - Best Of Bread,100%
Exact Match,Bruce Springsteen\Bruce Springsteen - Born In The USA.pdf,Bruce Springsteen/Bruce Springsteen - Born In The USA,100%
Exact Match,Bruce Springsteen\Bruce Springsteen - Born To Run.pdf,Bruce Springsteen/Bruce Springsteen - Born To Run,100%
Exact Match,Bruce Springsteen\Bruce Springsteen - Greatest Hits.pdf,Bruce Springsteen/Bruce Springsteen - Greatest Hits,100%
Exact Match,Bruce Springsteen\Bruce Springsteen - Lucky Town.pdf,Bruce Springsteen/Bruce Springsteen - Lucky Town,100%
Exact Match,Buddy Holly\Buddy Holly - Golden Anniversary Songbook.pdf,Buddy Holly/Buddy Holly - Golden Anniversary Songbook,100%
Exact Match,Burl Ives\Burl Ives - Song Book.pdf,Burl Ives/Burl Ives - Song Book,100%
Exact Match,Burt Bacharach\Burt Bacharach - 40 Golden Songs Of.pdf,Burt Bacharach/Burt Bacharach - 40 Golden Songs Of,100%
Exact Match,Burt Bacharach\Burt Bacharach - Anthology.pdf,Burt Bacharach/Burt Bacharach - Anthology,100%
Exact Match,Burt Bacharach\Burt Bacharach - Bacharach Collection.pdf,Burt Bacharach/Burt Bacharach - Bacharach Collection,100%
Exact Match,Carole King\Carole King - Bradleys Best Of The Best _Organ_.pdf,Carole King/Carole King - Bradleys Best Of The Best _Organ_,100%
Exact Match,Carole King\Carole King - Classics.pdf,Carole King/Carole King - Classics,100%
Exact Match,Carole King\Carole King - Classics _2_.pdf,Carole King/Carole King - Classics _2_,100%
Exact Match,Carole King\Carole King - Classics _3_.pdf,Carole King/Carole King - Classics _3_,100%
Exact Match,Carole King\Carole King - Keyboard Play-Along Vol 22.pdf,Carole King/Carole King - Keyboard Play-Along Vol 22,100%
Exact Match,Carole King\Carole King - Tapestry.pdf,Carole King/Carole King - Tapestry,100%
Exact Match,Carole King\Carole King - The New Best Of Carole King.pdf,Carole King/Carole King - The New Best Of Carole King,100%
Exact Match,Carole King\Carole King - Youre The Voice.pdf,Carole King/Carole King - Youre The Voice,100%
Exact Match,Carpenters\Carpenters - Anthology.pdf,Carpenters/Carpenters - Anthology,100%
Exact Match,Carpenters\Carpenters - Love Songs.pdf,Carpenters/Carpenters - Love Songs,100%
Exact Match,Carpenters\Carpenters - Note For Note.pdf,Carpenters/Carpenters - Note For Note,100%
Exact Match,Cheap Trick\Cheap Trick - Greatest Hits _Score_.pdf,Cheap Trick/Cheap Trick - Greatest Hits _Score_,100%
Exact Match,Colbie Caillat\Colbie Caillat - Breakthrough _PVG Book_.pdf,Colbie Caillat/Colbie Caillat - Breakthrough _PVG Book_,100%
Exact Match,Cole Porter\Cole Porter - The Very Best Of Cole Porter.pdf,Cole Porter/Cole Porter - The Very Best Of Cole Porter,100%
Exact Match,Cream\Cream - Cream Complete.pdf,Cream/Cream - Cream Complete,100%
Exact Match,Creedence Clearwater Revival\Creedence Clearwater Revival - 8 Pcs Book.pdf,Creedence Clearwater Revival/Creedence Clearwater Revival - 8 Pcs Book,100%
Exact Match,Creedence Clearwater Revival\Creedence Clearwater Revival - Best Of.pdf,Creedence Clearwater Revival/Creedence Clearwater Revival - Best Of,100%
Exact Match,Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Anthology.pdf,Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Anthology,100%
Exact Match,Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Tab Book.pdf,Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Tab Book,100%
Exact Match,Creedence Clearwater Revival\Creedence Clearwater Revival - Ultimate Minus One.pdf,Creedence Clearwater Revival/Creedence Clearwater Revival - Ultimate Minus One,100%
Exact Match,Crosby Stills and Nash\Crosby Stills Nash And Young - Deja Vu _PVG Book_.pdf,Crosby Stills And Nash/Crosby Stills Nash And Young - Deja Vu _PVG Book_,100%
Exact Match,Crosby Stills and Nash\Crosby Stills Nash And Young - The Guitar Collection.pdf,Crosby Stills And Nash/Crosby Stills Nash And Young - The Guitar Collection,100%
Exact Match,Crowded House\Crowded House - The Very Best Of _PVG Book_.pdf,Crowded House/Crowded House - The Very Best Of _PVG Book_,100%
Exact Match,Crowded House\Crowded House - Together Alone _PVG Book_.pdf,Crowded House/Crowded House - Together Alone _PVG Book_,100%
Exact Match,David Crosby\David Crosby - Songbook _Lead Sheets_.pdf,David Crosby/David Crosby - Songbook _Lead Sheets_,100%
Exact Match,Dire Straits\Dire Straits - Best Of Dire Straits _Guitar Tab_.pdf,Dire Straits/Dire Straits - Best Of Dire Straits _Guitar Tab_,100%
Exact Match,Dire Straits\Dire Straits - Brothers In Arms.pdf,Dire Straits/Dire Straits - Brothers In Arms,100%
Exact Match,Dire Straits\Dire Straits - Jam With Dire Straits _Guitar Book_.pdf,Dire Straits/Dire Straits - Jam With Dire Straits _Guitar Book_,100%
Exact Match,Dire Straits\Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_.pdf,Dire Straits/Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_,100%
Exact Match,Dire Straits\Dire Straits - Money For Nothing _Guitar Book_.pdf,Dire Straits/Dire Straits - Money For Nothing _Guitar Book_,100%
Exact Match,Don Henley\Don Henley - Actual Miles _Greatest Hits_.pdf,Don Henley/Don Henley - Actual Miles _Greatest Hits_,100%
Exact Match,Don Henley\Don Henley - The End Of The Innocence _PVG Book_.pdf,Don Henley/Don Henley - The End Of The Innocence _PVG Book_,100%
Exact Match,Doobie Brothers\Doobie Brothers - Best Of _Band Score Jap_.pdf,Doobie Brothers/Doobie Brothers - Best Of _Band Score Jap_,100%
Exact Match,Doobie Brothers\Doobie Brothers - Songs.pdf,Doobie Brothers/Doobie Brothers - Songs,100%
Exact Match,Doors\Doors - Anthology.pdf,Doors/Doors - Anthology,100%
Exact Match,Doors\Doors - Songbook.pdf,Doors/Doors - Songbook,100%
Exact Match,Dr John\Dr John - New Orleans Piano Vol 2.pdf,Dr John/Dr John - New Orleans Piano Vol 2,100%
Exact Match,Duran Duran\Duran Duran - Best Of _Score_.pdf,Duran Duran/Duran Duran - Best Of _Score_,100%
Exact Match,Duran Duran\Duran Duran - Decade _PVG Book_.pdf,Duran Duran/Duran Duran - Decade _PVG Book_,100%
Exact Match,Duran Duran\Duran Duran - Seven And The Ragged Tiger _Jap Band Score_.pdf,Duran Duran/Duran Duran - Seven And The Ragged Tiger _Jap Band Score_,100%
Exact Match,Eagles\Eagles - Greatest Hits.pdf,Eagles/Eagles - Greatest Hits,100%
Exact Match,Eagles\Eagles - Greatest Hits _1971-1975_.pdf,Eagles/Eagles - Greatest Hits _1971-1975_,100%
Exact Match,Eagles\Eagles - Hotel California _Guitar Songbook_.pdf,Eagles/Eagles - Hotel California _Guitar Songbook_,100%
Exact Match,Eagles\Eagles - Made Easy For Guitar.pdf,Eagles/Eagles - Made Easy For Guitar,100%
Exact Match,Eagles\Eagles - New Eagles Complete.pdf,Eagles/Eagles - New Eagles Complete,100%
Exact Match,Eagles\Eagles - The Best Of The Eagles - Songbook.pdf,Eagles/Eagles - The Best Of The Eagles - Songbook,100%
Exact Match,ELO\ELO - A New World Record.pdf,Elo/ELO - A New World Record,100%
Exact Match,ELO\Elo - Anthology _PVG_.pdf,Elo/Elo - Anthology _PVG_,100%
Exact Match,ELO\Elo - Discovery _PVG Book_.pdf,Elo/Elo - Discovery _PVG Book_,100%
Exact Match,ELO\Elo - Face The Music _PVG Bok_.pdf,Elo/Elo - Face The Music _PVG Bok_,100%
Exact Match,ELO\ELO - Greatest Hits.pdf,Elo/ELO - Greatest Hits,100%
Exact Match,ELO\Elo - Out Of The Blue _Book_.pdf,Elo/Elo - Out Of The Blue _Book_,100%
Exact Match,Elton John\Elton John - A Single Man.pdf,Elton John/Elton John - A Single Man,100%
Exact Match,Elton John\Elton John - Captain Fantastic.pdf,Elton John/Elton John - Captain Fantastic,100%
Exact Match,Elton John\Elton John - Goodbye Yellow Brick Road.pdf,Elton John/Elton John - Goodbye Yellow Brick Road,100%
Exact Match,Elton John\Elton John - Greatest Hits 1970-2002.pdf,Elton John/Elton John - Greatest Hits 1970-2002,100%
Exact Match,Elton John\Elton John - Ice On Fire.pdf,Elton John/Elton John - Ice On Fire,100%
Exact Match,Elton John\Elton John - Made In England.pdf,Elton John/Elton John - Made In England,100%
Exact Match,Elton John\Elton John - Peachtree Road.pdf,Elton John/Elton John - Peachtree Road,100%
Exact Match,Elton John\Elton John - Reg Strikes Back.pdf,Elton John/Elton John - Reg Strikes Back,100%
Exact Match,Elton John\Elton John - Sleeping With The Past.pdf,Elton John/Elton John - Sleeping With The Past,100%
Exact Match,Elton John\Elton John - Songs From The West Coast.pdf,Elton John/Elton John - Songs From The West Coast,100%
Exact Match,Elton John\Elton John - The Big Picture.pdf,Elton John/Elton John - The Big Picture,100%
Exact Match,Elton John\Elton John - The Elton John Collection _Piano Solos_.pdf,Elton John/Elton John - The Elton John Collection _Piano Solos_,100%
Exact Match,Elton John\Elton John - The One.pdf,Elton John/Elton John - The One,100%
Exact Match,Elton John\Elton John - The Ultimate Collection Vol 1.pdf,Elton John/Elton John - The Ultimate Collection Vol 1,100%
Exact Match,Elton John\Elton John - The Ultimate Collection Vol 2.pdf,Elton John/Elton John - The Ultimate Collection Vol 2,100%
Exact Match,Elton John\Elton John - The Very Best Of.pdf,Elton John/Elton John - The Very Best Of,100%
Exact Match,Elton John\Elton John - Too Low For Zero _Book_.pdf,Elton John/Elton John - Too Low For Zero _Book_,100%
Exact Match,Elvis Costello\Elvis Costello - The Very Best Of.pdf,Elvis Costello/Elvis Costello - The Very Best Of,100%
Exact Match,Emerson Lake and Palmer\Emerson Lake And Palmer - Black Book.pdf,Emerson Lake And Palmer/Emerson Lake And Palmer - Black Book,100%
Exact Match,Emerson Lake and Palmer\Emerson Lake And Palmer - Greatest Hits.pdf,Emerson Lake And Palmer/Emerson Lake And Palmer - Greatest Hits,100%
Exact Match,Emerson Lake and Palmer\Emerson Lake And Palmer - Tarkus _Book_.pdf,Emerson Lake And Palmer/Emerson Lake And Palmer - Tarkus _Book_,100%
Exact Match,Emerson Lake and Palmer\Emerson Lake And Palmer - Trilogy _Book_.pdf,Emerson Lake And Palmer/Emerson Lake And Palmer - Trilogy _Book_,100%
Exact Match,Eric Clapton\Eric Clapton - Derek And The Dominos _Book_.pdf,Eric Clapton/Eric Clapton - Derek And The Dominos _Book_,100%
Exact Match,Eric Clapton\Eric Clapton - The Best Of Book.pdf,Eric Clapton/Eric Clapton - The Best Of Book,100%
Exact Match,Eric Clapton\Eric Clapton - Unplugged _Book_.pdf,Eric Clapton/Eric Clapton - Unplugged _Book_,100%
Exact Match,Fleetwood Mac\Fleetwood Mac - Anthology.pdf,Fleetwood Mac/Fleetwood Mac - Anthology,100%
Exact Match,Fleetwood Mac\Fleetwood Mac - Deluxe Anthology.pdf,Fleetwood Mac/Fleetwood Mac - Deluxe Anthology,100%
Exact Match,Fleetwood Mac\Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find.pdf,Fleetwood Mac/Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find,100%
Exact Match,Fleetwood Mac\Fleetwood Mac - Mirage.pdf,Fleetwood Mac/Fleetwood Mac - Mirage,100%
Exact Match,Fleetwood Mac\Fleetwood Mac - Rumours.pdf,Fleetwood Mac/Fleetwood Mac - Rumours,100%
Exact Match,Fleetwood Mac\Fleetwood Mac - Tango In The Night.pdf,Fleetwood Mac/Fleetwood Mac - Tango In The Night,100%
Exact Match,Fleetwood Mac\Fleetwood Mac - The Dance.pdf,Fleetwood Mac/Fleetwood Mac - The Dance,100%
Exact Match,Frank Zappa\Frank Zappa - Hot Rats.pdf,Frank Zappa/Frank Zappa - Hot Rats,100%
Exact Match,Frank Zappa\Frank Zappa - Songbook Vol 1.pdf,Frank Zappa/Frank Zappa - Songbook Vol 1,100%
Exact Match,Frank Zappa\Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_.pdf,Frank Zappa/Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_,100%
Exact Match,Fray\Fray - How To Save A Life _Book_.pdf,Fray/Fray - How To Save A Life _Book_,100%
Exact Match,Garth Brooks\Garth Brooks - No Fences _Guitar Tab_.pdf,Garth Brooks/Garth Brooks - No Fences _Guitar Tab_,100%
Exact Match,Garth Brooks\Garth Brooks - The Hits _Guitar Tab_.pdf,Garth Brooks/Garth Brooks - The Hits _Guitar Tab_,100%
Exact Match,Garth Brooks\Garth Brooks - The Limited Series.pdf,Garth Brooks/Garth Brooks - The Limited Series,100%
Exact Match,Genesis\Genesis - A Trick Of The Tail _Book_.pdf,Genesis/Genesis - A Trick Of The Tail _Book_,100%
Exact Match,Genesis\Genesis - Anthology.pdf,Genesis/Genesis - Anthology,100%
Exact Match,Genesis\Genesis - Best Of Vol 1.pdf,Genesis/Genesis - Best Of Vol 1,100%
Exact Match,Genesis\Genesis - Invisible Touch _Book_.pdf,Genesis/Genesis - Invisible Touch _Book_,100%
Exact Match,Genesis\Genesis - Rock Score.pdf,Genesis/Genesis - Rock Score,100%
Exact Match,Genesis\Genesis - Seconds Out.pdf,Genesis/Genesis - Seconds Out,100%
Exact Match,Genesis\Genesis - Selling England By The Pound.pdf,Genesis/Genesis - Selling England By The Pound,100%
Exact Match,George Michael\George Michael - Greatest Hits.pdf,George Michael/George Michael - Greatest Hits,100%
Exact Match,George Michael\George Michael - Older _Book_.pdf,George Michael/George Michael - Older _Book_,100%
Exact Match,Grand Funk Railroad\Grand Funk - Closer To Home _PVG Book_.pdf,Grand Funk Railroad/Grand Funk - Closer To Home _PVG Book_,100%
Exact Match,Grand Funk Railroad\Grand Funk - Were An American Band _PVG Book_.pdf,Grand Funk Railroad/Grand Funk - Were An American Band _PVG Book_,100%
Exact Match,Grand Funk Railroad\Grand Funk Railroad - Born To Die _PVG Book_.pdf,Grand Funk Railroad/Grand Funk Railroad - Born To Die _PVG Book_,100%
Exact Match,Grand Funk Railroad\Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_.pdf,Grand Funk Railroad/Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_,100%
Exact Match,Harry Chapin\Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_.pdf,Harry Chapin/Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_,100%
Exact Match,Henri Mancini\Henry Mancini - A Merry Mancini Christmas.pdf,Henri Mancini/Henry Mancini - A Merry Mancini Christmas,100%
Exact Match,Herman's Hermits\Hermans Hermits - Collection.pdf,Herman's Hermits/Hermans Hermits - Collection,100%
Exact Match,Jackson Browne\Jackson Browne - Deluxe Anthology.pdf,Jackson Browne/Jackson Browne - Deluxe Anthology,100%
Exact Match,James Blunt\James Blunt - All The Lost Souls _Book_.pdf,James Blunt/James Blunt - All The Lost Souls _Book_,100%
Exact Match,James Blunt\James Blunt - Back To Bedlam _Book_.pdf,James Blunt/James Blunt - Back To Bedlam _Book_,100%
Exact Match,James Taylor\James Taylor - Classic _Guitar_.pdf,James Taylor/James Taylor - Classic _Guitar_,100%
Exact Match,James Taylor\James Taylor - Classics _guitar tab_.pdf,James Taylor/James Taylor - Classics _guitar tab_,100%
Exact Match,James Taylor\James Taylor - Guitar Songbook.pdf,James Taylor/James Taylor - Guitar Songbook,100%
Exact Match,James Taylor\James Taylor - James Taylor _PVG Book_.pdf,James Taylor/James Taylor - James Taylor _PVG Book_,100%
Exact Match,James Taylor\James Taylor - James Taylor Songbook.pdf,James Taylor/James Taylor - James Taylor Songbook,100%
Exact Match,James Taylor\James Taylor - Thats Why Im Here _PVG Book_.pdf,James Taylor/James Taylor - Thats Why Im Here _PVG Book_,100%
Exact Match,Jim Croce\Jim Croce - Acoustic Fingerstyle Video Guitar Lessons.pdf,Jim Croce/Jim Croce - Acoustic Fingerstyle Video Guitar Lessons,100%
Exact Match,Jimmy Buffet\Jimmy Buffett - Barometer Soup _PVG Book_.pdf,Jimmy Buffet/Jimmy Buffett - Barometer Soup _PVG Book_,100%
Exact Match,Jimmy Buffet\Jimmy Buffett - Fruitcakes _PVG Book_.pdf,Jimmy Buffet/Jimmy Buffett - Fruitcakes _PVG Book_,100%
Exact Match,Joe Cocker\Joe Cocker - Best Of.pdf,Joe Cocker/Joe Cocker - Best Of,100%
Exact Match,Joe Cocker\Joe Cocker - Mad Dogs And Englishmen _Book_.pdf,Joe Cocker/Joe Cocker - Mad Dogs And Englishmen _Book_,100%
Exact Match,Joe Cocker\Joe Cocker - Songbook.pdf,Joe Cocker/Joe Cocker - Songbook,100%
Exact Match,John Denver\John Denver - Anthology.pdf,John Denver/John Denver - Anthology,100%
Exact Match,John Denver\John Denver - Anthology _PVG_.pdf,John Denver/John Denver - Anthology _PVG_,100%
Exact Match,John Denver\John Denver - Back Home Again.pdf,John Denver/John Denver - Back Home Again,100%
Exact Match,John Denver\John Denver - Best Of _Easy Piano_.pdf,John Denver/John Denver - Best Of _Easy Piano_,100%
Exact Match,John Denver\John Denver - I Want To Live _PVG Book_.pdf,John Denver/John Denver - I Want To Live _PVG Book_,100%
Exact Match,John Denver\John Denver - The Authentic Guitar Style Of.pdf,John Denver/John Denver - The Authentic Guitar Style Of,100%
Exact Match,John Lennon\John Lennon - Collection.pdf,John Lennon/John Lennon - Collection,100%
Exact Match,John Lennon\John Lennon - Greatest Hits.pdf,John Lennon/John Lennon - Greatest Hits,100%
Exact Match,Joni Mitchell\Joni Mitchell - The Best Of _PVG_.pdf,Joni Mitchell/Joni Mitchell - The Best Of _PVG_,100%
Exact Match,Joni Mitchell\Joni Mitchell Songbook Complete Vol1 1966-1970.pdf,Joni Mitchell/Joni Mitchell Songbook Complete Vol1 1966-1970,100%
Exact Match,Journey\Journey - Complete.pdf,Journey/Journey - Complete,100%
Exact Match,Journey\Journey - Complete Songbook.pdf,Journey/Journey - Complete Songbook,100%
Exact Match,Journey\Journey - Frontiers _Jap Band Score_.pdf,Journey/Journey - Frontiers _Jap Band Score_,100%
Exact Match,Journey\Journey - Greatest Hits.pdf,Journey/Journey - Greatest Hits,100%
Exact Match,Journey\Journey - Greatest Hits _Book_.pdf,Journey/Journey - Greatest Hits _Book_,100%
Exact Match,Journey\Journey - Superbest _Jap Band Score_.pdf,Journey/Journey - Superbest _Jap Band Score_,100%
Exact Match,Journey\Journey - The Guitar Collection.pdf,Journey/Journey - The Guitar Collection,100%
Exact Match,Judy Garland\Judy Garland - Songbook.pdf,Judy Garland/Judy Garland - Songbook,100%
Exact Match,Katy Perry\Katy Perry - One Of The Boys _PVG Book_.pdf,Katy Perry/Katy Perry - One Of The Boys _PVG Book_,100%
Exact Match,Kelly Clarkson\Kelly Clarkson - Breakaway _Book_.pdf,Kelly Clarkson/Kelly Clarkson - Breakaway _Book_,100%
Exact Match,Kenny Rogers\Kenny Rogers - Love Or Something Like It _Book_.pdf,Kenny Rogers/Kenny Rogers - Love Or Something Like It _Book_,100%
Exact Match,Kinks\Kinks - Best Of _Score_.pdf,Kinks/Kinks - Best Of _Score_,100%
Exact Match,Kinks\Kinks - Best Of The Kinks _Score_.pdf,Kinks/Kinks - Best Of The Kinks _Score_,100%
Exact Match,Kinks\Kinks - Great Songs Of Kinks.pdf,Kinks/Kinks - Great Songs Of Kinks,100%
Exact Match,Kinks\Kinks - Guitar Legends _Guitar_.pdf,Kinks/Kinks - Guitar Legends _Guitar_,100%
Exact Match,Kinks\Kinks - Guitar Legends _Tab_.pdf,Kinks/Kinks - Guitar Legends _Tab_,100%
Exact Match,Kinks\Kinks - Jam With The Kinks _Tab_.pdf,Kinks/Kinks - Jam With The Kinks _Tab_,100%
Exact Match,Led Zepplin\Led Zeppelin - Led Zeppelin II.pdf,Led Zepplin/Led Zeppelin - Led Zeppelin II,100%
Exact Match,Led Zepplin\Led Zeppelin - Over The Hills And Far Away _PVG_.pdf,Led Zepplin/Led Zeppelin - Over The Hills And Far Away _PVG_,100%
Exact Match,Lynyrd Skynyrd\Lynyrd Skynyrd - The New Best Of _Guitar Tab_.pdf,Lynyrd Skynyrd/Lynyrd Skynyrd - The New Best Of _Guitar Tab_,100%
Exact Match,MeatLoaf\MeatLoaf - Bat Out Of Hell.pdf,Meatloaf/MeatLoaf - Bat Out Of Hell,100%
Exact Match,Melissa Etheridge\Melissa Etheridge - Songbook.pdf,Melissa Etheridge/Melissa Etheridge - Songbook,100%
Exact Match,Michael Jackson\Michael Jackson - Great Songs Of _PVG_.pdf,Michael Jackson/Michael Jackson - Great Songs Of _PVG_,100%
Exact Match,Michael Jackson\Michael Jackson - Number Ones.pdf,Michael Jackson/Michael Jackson - Number Ones,100%
Exact Match,Michael Jackson\Michael Jackson - Number Ones _Book_.pdf,Michael Jackson/Michael Jackson - Number Ones _Book_,100%
Exact Match,Michael Jackson\Michael Jackson - The Great Songs Of.pdf,Michael Jackson/Michael Jackson - The Great Songs Of,100%
Exact Match,Michael Jackson\Michael Jackson - Thriller _The Complete Song Book_.pdf,Michael Jackson/Michael Jackson - Thriller _The Complete Song Book_,100%
Exact Match,Monkees\Monkees - Greatest Hits.pdf,Monkees/Monkees - Greatest Hits,100%
Exact Match,Moody Blues\Moody Blues - Greatest Hits _PVG_.pdf,Moody Blues/Moody Blues - Greatest Hits _PVG_,100%
Exact Match,Moody Blues\Moody Blues - Keys Of Kingdom _Band Score_.pdf,Moody Blues/Moody Blues - Keys Of Kingdom _Band Score_,100%
Exact Match,Neil Diamond\Neil Diamond - The Essential Neil Diamond.pdf,Neil Diamond/Neil Diamond - The Essential Neil Diamond,100%
Exact Match,Neil Young\Neil Young - After The Goldrush _PVG Book_.pdf,Neil Young/Neil Young - After The Goldrush _PVG Book_,100%
Exact Match,Neil Young\Neil Young - Decade.pdf,Neil Young/Neil Young - Decade,100%
Exact Match,Neil Young\Neil Young - Decade _PVG Book_.pdf,Neil Young/Neil Young - Decade _PVG Book_,100%
Exact Match,Neil Young\Neil Young - Greatest Hits _Guitar Tab_.pdf,Neil Young/Neil Young - Greatest Hits _Guitar Tab_,100%
Exact Match,Neil Young\Neil Young - Harvest _Score_.pdf,Neil Young/Neil Young - Harvest _Score_,100%
Exact Match,Neil Young\Neil Young - Harvest Moon _Guitar Tab_.pdf,Neil Young/Neil Young - Harvest Moon _Guitar Tab_,100%
Exact Match,Neil Young\Neil Young - The Best Of Neil Young _PVG Book_.pdf,Neil Young/Neil Young - The Best Of Neil Young _PVG Book_,100%
Exact Match,Night Ranger\Night Ranger - Seven Wishes _Jap Score_.pdf,Night Ranger/Night Ranger - Seven Wishes _Jap Score_,100%
Exact Match,Paul McCartney\Paul McCartney - All The Best.pdf,Paul Mccartney/Paul McCartney - All The Best,100%
Exact Match,Paul McCartney\Paul Mccartney - Chaos And Creation In The Backyard _PVG Book_.pdf,Paul Mccartney/Paul Mccartney - Chaos And Creation In The Backyard _PVG Book_,100%
Exact Match,Paul McCartney\Paul McCartney - Flowers In The Dirt.pdf,Paul Mccartney/Paul McCartney - Flowers In The Dirt,100%
Exact Match,Paul McCartney\Paul McCartney - Press To Play.pdf,Paul Mccartney/Paul McCartney - Press To Play,100%
Exact Match,Paul McCartney\Paul McCartney - Ram.pdf,Paul Mccartney/Paul McCartney - Ram,100%
Exact Match,Paul McCartney\Paul Mccartney - Tripping The Live Fantastic _PVG Book_.pdf,Paul Mccartney/Paul Mccartney - Tripping The Live Fantastic _PVG Book_,100%
Exact Match,Paul McCartney\Paul Mccartney - Tug Of War _PVG Book_.pdf,Paul Mccartney/Paul Mccartney - Tug Of War _PVG Book_,100%
Exact Match,Paul Simon\Paul Simon - Anthology.pdf,Paul Simon/Paul Simon - Anthology,100%
Exact Match,Paul Simon\Simon And Garfunkels Greatest Hits.pdf,Paul Simon/Simon And Garfunkels Greatest Hits,100%
Exact Match,Peter Frampton\Peter Frampton - The Best Of _Guitar Tab_.pdf,Peter Frampton/Peter Frampton - The Best Of _Guitar Tab_,100%
Exact Match,Pink Floyd\Pink Floyd - Anthology - p110-175.pdf,Pink Floyd/Pink Floyd - Anthology - p110-175,100%
Exact Match,Pink Floyd\Pink Floyd - Anthology - p58-109.pdf,Pink Floyd/Pink Floyd - Anthology - p58-109,100%
Exact Match,Pink Floyd\Pink Floyd - Anthology _book_.pdf,Pink Floyd/Pink Floyd - Anthology _book_,100%
Exact Match,Pink Floyd\Pink Floyd - Anthology _PVG_.pdf,Pink Floyd/Pink Floyd - Anthology _PVG_,100%
Exact Match,Pink Floyd\Pink Floyd - Dark Side Of The Moon.pdf,Pink Floyd/Pink Floyd - Dark Side Of The Moon,100%
Exact Match,Pink Floyd\Pink Floyd - Dark Side Of The Moon _2_.pdf,Pink Floyd/Pink Floyd - Dark Side Of The Moon _2_,100%
Exact Match,Pink Floyd\Pink Floyd - Dark Side Of The Moon _PVG_.pdf,Pink Floyd/Pink Floyd - Dark Side Of The Moon _PVG_,100%
Exact Match,Pink Floyd\Pink Floyd - Pink Floyd Songbook.pdf,Pink Floyd/Pink Floyd - Pink Floyd Songbook,100%
Exact Match,Pink Floyd\Pink Floyd - The Wall _PVG_.pdf,Pink Floyd/Pink Floyd - The Wall _PVG_,100%
Exact Match,Pink Floyd\Pink Floyd - Wish You Were Here.pdf,Pink Floyd/Pink Floyd - Wish You Were Here,100%
