"Artist","BookName","SourcePath","HasProcessed","ProcessedFolder","SongCount"
"Beatles","Beatles - Revolver (2)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Revolver (2).pdf","True","Revolver (2)","14"
"Beatles","Beatles - Revolver","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Revolver.pdf","True","Revolver","14"
"Beatles","Beatles - Rubber Soul","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Rubber Soul.pdf","True","Rubber Soul","13"
"Beatles","Beatles - Sergeant Pepper's Lonely Hearts Club Band","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Sergeant Pepper's Lonely Hearts Club Band.pdf","True","Sergeant Pepper's Lonely Hearts Club Band","1"
"Beatles","Beatles - Singles Collection [PVG]","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Singles Collection [PVG].pdf","True","Singles Collection [pvg]","0"
"Beatles","Beatles - Songbook","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - Songbook.pdf","True","Songbook","194"
"Beatles","Beatles - White Album 1  (Guitar Recorded Version)","C:\Work\AWSMusic\SheetMusic\Beatles\books\Beatles - White Album 1  (Guitar Recorded Version).pdf","True","White Album 1 (guitar Recorded Version)","1"
"Bee Gees","Bee Gees - Anthology","C:\Work\AWSMusic\SheetMusic\Bee Gees\books\Bee Gees - Anthology.pdf","True","Anthology","1"
"Belinda Carlisle","Belinda Carlisle - 5 Of The Best [PVG]","C:\Work\AWSMusic\SheetMusic\Belinda Carlisle\books\Belinda Carlisle - 5 Of The Best [PVG].pdf","True","5 Of The Best [pvg]","0"
"Ben Folds","Ben Folds - Rockin' The Suburbs [Book]","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds - Rockin' The Suburbs [Book].pdf","True","Rockin' The Suburbs [book]","0"
"Ben Folds","Ben Folds - Songs for Silverman","C:\Work\AWSMusic\SheetMusic\Ben Folds\books\Ben Folds - Songs for Silverman.pdf","True","Songs For Silverman","13"
