artist,original_book_name,original_book_path,has_converted_songs,song_count,converted_folder
_Broadway Shows,Various Artists - Lion King [Score],Books\Various Artists - Lion King [Score].pdf,Yes,57,_broadway Shows\Various Artists - Lion King [score]
_Broadway Shows,Various Artists - Little Mermaid Workshop score,Books\Various Artists - Little Mermaid Workshop score.PDF,Yes,1,_broadway Shows\Various Artists - Little Mermaid Workshop Score
_Broadway Shows,Various Artists - Little Shop Of Horrors (Broadway),Books\Various Artists - Little Shop Of Horrors (Broadway).pdf,No,0,
_Broadway Shows,Various Artists - Little Shop of Horrors (original),Books\Various Artists - Little Shop of Horrors (original).pdf,Yes,2,_broadway Shows\Various Artists - Little Shop Of Horrors (original)
_Broadway Shows,Various Artists - Little Shop of Horrors Script,Books\Various Artists - Little Shop of Horrors Script.pdf,No,0,
_Broadway Shows,Various Artists - Mary Poppins,Books\Various Artists - Mary Poppins.pdf,Yes,1,_broadway Shows\Various Artists - Mary Poppins
_Broadway Shows,Various Artists - Phantom of Opera [SATB],Books\Various Artists - Phantom of Opera [SATB].pdf,Yes,5,_broadway Shows\Various Artists - Phantom Of Opera [satb]
_Broadway Shows,Various Artists - Phantom of the Opera [Score],Books\Various Artists - Phantom of the Opera [Score].pdf,Yes,7,_broadway Shows\Various Artists - Phantom Of The Opera [score]
_Broadway Shows,Various Artists - Phantom of the Opera,Books\Various Artists - Phantom of the Opera.pdf,Yes,1,_broadway Shows\Various Artists - Phantom Of The Opera
_Broadway Shows,Various Artists - Rent [Score],Books\Various Artists - Rent [Score].pdf,Yes,46,_broadway Shows\Various Artists - Rent [score]
_Broadway Shows,Various Artists - Rocky Horror Show Revised - Full Score,Books\Various Artists - Rocky Horror Show Revised - Full Score.pdf,Yes,24,_broadway Shows\Various Artists - Rocky Horror Show Revised - Full Score
_Broadway Shows,Various Artists - Rocky Horror Show,Books\Various Artists - Rocky Horror Show.pdf,Yes,1,_broadway Shows\Various Artists - Rocky Horror Show
_Broadway Shows,Various Artists - Seussical - TYA,Books\Various Artists - Seussical - TYA.pdf,Yes,38,_broadway Shows\Various Artists - Seussical - Tya
_Broadway Shows,Various Artists - Seussical [Piano-Conductor],Books\Various Artists - Seussical [Piano-Conductor].pdf,Yes,13,_broadway Shows\Various Artists - Seussical [piano-conductor]
_Broadway Shows,Various Artists - Seussical [PV Score],Books\Various Artists - Seussical [PV Score].pdf,Yes,34,_broadway Shows\Various Artists - Seussical [pv Score]
_Broadway Shows,Various Artists - Shrek The Musical,Books\Various Artists - Shrek The Musical.pdf,No,0,
_Broadway Shows,Various Artists - Sound of Music (Vocal Selections),Books\Various Artists - Sound of Music (Vocal Selections).pdf,Yes,7,_broadway Shows\Various Artists - Sound Of Music (vocal Selections)
_Broadway Shows,Various Artists - Sound of Music,Books\Various Artists - Sound of Music.pdf,Yes,16,_broadway Shows\Various Artists - Sound Of Music
_Broadway Shows,Various Artists - Spamalot,Books\Various Artists - Spamalot.pdf,Yes,65,_broadway Shows\Various Artists - Spamalot
_Broadway Shows,Various Artists - Sweeney Todd Vocal Score,Books\Various Artists - Sweeney Todd Vocal Score.pdf,Yes,19,_broadway Shows\Various Artists - Sweeney Todd Vocal Score
_Broadway Shows,Various Artists - The Hobbit Score,Books\Various Artists - The Hobbit Score.pdf,Yes,11,_broadway Shows\Various Artists - The Hobbit Score
_Broadway Shows,Various Artists - The Ultimate BROADWAY fakebook,Books\Various Artists - The Ultimate BROADWAY fakebook.pdf,Yes,406,_broadway Shows\Various Artists - The Ultimate Broadway Fakebook
_Broadway Shows,Various Artists - Wicked [PVG],Books\Various Artists - Wicked [PVG].pdf,Yes,13,_broadway Shows\Various Artists - Wicked [pvg]
_Broadway Shows,Various Artists - Wicked [Score],Books\Various Artists - Wicked [Score].pdf,Yes,1,_broadway Shows\Various Artists - Wicked [score]
_Broadway Shows,Various Artists - Wizard Of Oz (RSC Piano-Conductor),Books\Various Artists - Wizard Of Oz (RSC Piano-Conductor).pdf,Yes,20,_broadway Shows\Various Artists - Wizard Of Oz (rsc Piano-conductor)
_Broadway Shows,Various Artists - Wizard Of Oz - Piano Conductor,Books\Various Artists - Wizard Of Oz - Piano Conductor.pdf,Yes,24,_broadway Shows\Various Artists - Wizard Of Oz - Piano Conductor
_Broadway Shows,Various Artists - You're A Good Man Charlie Brown (Score),Books\Various Artists - You're A Good Man Charlie Brown (Score).pdf,No,0,
_Broadway Shows,Various Artists - You're A Good Man Charlie Brown [revival] [score],Books\Various Artists - You're A Good Man Charlie Brown [revival] [score].pdf,Yes,38,_broadway Shows\Various Artists - You're A Good Man Charlie Brown [revival] [score]
_Broadway Shows,Wicked Workshop,Books\Wicked Workshop.pdf,No,0,
_Broadway Shows,Steven Sondheim - All Sondheim Volume 2 BOOK,Steven Sondheim\Books\Steven Sondheim - All Sondheim Volume 2 BOOK.pdf,Yes,19,_broadway Shows\Steven Sondheim - All Sondheim Volume 2 Book
_Fake Books,Various Artists - Best Fake Book Ever - 3rd Edition,Various Artists - Best Fake Book Ever - 3rd Edition.pdf,No,0,
_Fake Books,Various Artists - Book (500 songs),Various Artists - Book (500 songs).PDF,No,0,
_Fake Books,Various Artists - Country Music Fake Book,Various Artists - Country Music Fake Book.pdf,No,0,
_Fake Books,Various Artists - Dixieland Fake Book,Various Artists - Dixieland Fake Book.pdf,No,0,
_Fake Books,Various Artists - New Real Book vol 1- C ,Various Artists - New Real Book vol 1- C .pdf,No,0,
_Fake Books,Various Artists - New Real Book vol 2- C ,Various Artists - New Real Book vol 2- C .pdf,No,0,
_Fake Books,Various Artists - New Real Book vol 3- C ,Various Artists - New Real Book vol 3- C .pdf,No,0,
_Fake Books,Various Artists - Real Book 5th Edition C,Various Artists - Real Book 5th Edition C.pdf,No,0,
_Fake Books,Various Artists - Real Book 5th Edition Eb,Various Artists - Real Book 5th Edition Eb.pdf,No,0,
_Fake Books,Various Artists - Real Book 6th Edition Eb,Various Artists - Real Book 6th Edition Eb.pdf,No,0,
_Fake Books,Various Artists - Real Book Vol 2,Various Artists - Real Book Vol 2.pdf,No,0,
_Fake Books,Various Artists - Real Book Vol 3,Various Artists - Real Book Vol 3.pdf,No,0,
_Fake Books,Various Artists - Real Book Volume II,Various Artists - Real Book Volume II.pdf,No,0,
_Fake Books,Various Artists - Real Easy Book - Volume 1,Various Artists - Real Easy Book - Volume 1.pdf,No,0,
_Fake Books,Various Artists - Real Easy Book - Volume 2,Various Artists - Real Easy Book - Volume 2.pdf,No,0,
_Fake Books,Various Artists - Real Easy Book,Various Artists - Real Easy Book.pdf,No,0,
_Fake Books,Various Artists - Real Little Classical Fake Book,Various Artists - Real Little Classical Fake Book.pdf,No,0,
_Fake Books,Various Artists - Standards Real Book (C Version ),Various Artists - Standards Real Book (C Version ).pdf,No,0,
_Fake Books,Various Artists - Ultimate Broadway Fakebook,Various Artists - Ultimate Broadway Fakebook.pdf,No,0,
_Fake Books,Various Artists - Ultimate Country Fake Book,Various Artists - Ultimate Country Fake Book.pdf,No,0,
_Fake Books,Various Artists - Ultimate Fake Book C Edition,Various Artists - Ultimate Fake Book C Edition.pdf,No,0,
_Fake Books,"Various Artists - Ultimate Online Fake Book, B-Flat Ed","Various Artists - Ultimate Online Fake Book, B-Flat Ed.pdf",No,0,
_Fake Books,Various Artists - Ultimate Pop Rock Fake Book,Various Artists - Ultimate Pop Rock Fake Book.pdf,No,0,
_Fake Books,Various Artists - World's Greatest Fake Book,Various Artists - World's Greatest Fake Book.pdf,No,0,
_Movie and TV,Beauty and the Beast [PVG],Disney\Books\Beauty and the Beast [PVG].pdf,Yes,8,_movie And Tv\Beauty And The Beast [pvg]
_Movie and TV,Brother Bear (Disney),Disney\Books\Brother Bear (Disney).pdf,Yes,8,_movie And Tv\Brother Bear (disney)
_Movie and TV,Disney Collection (Songs out of order),Disney\Books\Disney Collection (Songs out of order).pdf,Yes,42,_movie And Tv\Disney Collection (songs Out Of Order)
_Movie and TV,High School Musical - Breaking Free - Piano Sheet Music,Disney\Books\High School Musical - Breaking Free - Piano Sheet Music.pdf,Yes,1,_movie And Tv\High School Musical - Breaking Free - Piano Sheet Music
_Movie and TV,Kasha & Hirschorn - Pete's Dragon,Disney\Books\Kasha & Hirschorn - Pete's Dragon.pdf,Yes,6,_movie And Tv\Kasha & Hirschorn - Pete's Dragon
_Movie and TV,Mary Poppins,Disney\Books\Mary Poppins.pdf,Yes,11,_movie And Tv\Mary Poppins
_Movie and TV,Mulan,Disney\Books\Mulan.pdf,Yes,1,_movie And Tv\Mulan
_Movie and TV,Pirates of the Caribbean [Book 1 - The Curse of the Black Pearl],Disney\Books\Pirates of the Caribbean [Book 1 - The Curse of the Black Pearl].pdf,Yes,7,_movie And Tv\Pirates Of The Caribbean [book 1 - The Curse Of The Black Pearl]
_Movie and TV,Pirates of the Caribbean [Book 2 - Dead Man's Chest],Disney\Books\Pirates of the Caribbean [Book 2 - Dead Man's Chest].pdf,Yes,9,_movie And Tv\Pirates Of The Caribbean [book 2 - Dead Man's Chest]
_Movie and TV,Spirited Away (Disney) (2001),Disney\Books\Spirited Away (Disney) (2001).pdf,Yes,1,_movie And Tv\Spirited Away (disney) (2001)
_Movie and TV,The New Illustrated Treasury of Disney Songs,Disney\Books\The New Illustrated Treasury of Disney Songs.pdf,Yes,68,_movie And Tv\The New Illustrated Treasury Of Disney Songs
_Movie and TV,The New Illustrated Treasury of Disney,Disney\Books\The New Illustrated Treasury of Disney.pdf,Yes,68,_movie And Tv\The New Illustrated Treasury Of Disney
_Movie and TV,Various Artists - Disney Duets,Disney\Books\Various Artists - Disney Duets.pdf,Yes,8,_movie And Tv\Various Artists - Disney Duets
_Movie and TV,Various Artists - Disney Fake Book,Disney\Books\Various Artists - Disney Fake Book.pdf,Yes,194,_movie And Tv\Various Artists - Disney Fake Book
_Movie and TV,Various Artists - Disney Solos For Violin,Disney\Books\Various Artists - Disney Solos For Violin.pdf,Yes,1,_movie And Tv\Various Artists - Disney Solos For Violin
_Movie and TV,John Williams - Greatest Hits,John Williams\Books\John Williams - Greatest Hits.pdf,Yes,28,_movie And Tv\John Williams - Greatest Hits
_Movie and TV,John Williams - Star Wars Episode I - The Phantom Menace,John Williams\Books\John Williams - Star Wars Episode I - The Phantom Menace.pdf,Yes,1,_movie And Tv\John Williams - Star Wars Episode I - The Phantom Menace
_Movie and TV,John Williams - Star Wars Episode II - Attack Of The Clones (lite),John Williams\Books\John Williams - Star Wars Episode II - Attack Of The Clones (lite).pdf,Yes,1,_movie And Tv\John Williams - Star Wars Episode Ii - Attack Of The Clones (lite)
_Movie and TV,John Williams - Star Wars Episode III - Revenge Of The Sith.(Incomplete Grab).,John Williams\Books\John Williams - Star Wars Episode III - Revenge Of The Sith.(Incomplete Grab)..pdf,Yes,1,_movie And Tv\John Williams - Star Wars Episode Iii - Revenge Of The Sith.(incomplete Grab)
_Movie and TV,John Williams - Star Wars Trilogy,John Williams\Books\John Williams - Star Wars Trilogy.pdf,Yes,14,_movie And Tv\John Williams - Star Wars Trilogy
_Movie and TV,Star Wars Suite (John Williams - full Score - Hal Leonard),John Williams\Books\Star Wars Suite (John Williams - full Score - Hal Leonard).pdf,Yes,8,_movie And Tv\Star Wars Suite (john Williams - Full Score - Hal Leonard)
_Movie and TV,Various Artists - Music From The Movies The Adventure Collection,John Williams\Books\Various Artists - Music From The Movies The Adventure Collection.pdf,Yes,23,_movie And Tv\Various Artists - Music From The Movies The Adventure Collection
_Movie and TV,Various Artists - Music From The Movies The Animated Collection,John Williams\Books\Various Artists - Music From The Movies The Animated Collection.pdf,Yes,4,_movie And Tv\Various Artists - Music From The Movies The Animated Collection
_Movie and TV,Budget Books - Movie Songs,Others\Books\Budget Books - Movie Songs.pdf,Yes,76,_movie And Tv\Budget Books - Movie Songs
_Movie and TV,Randy Newman - Toy Story 2,Others\Books\Randy Newman - Toy Story 2.pdf,Yes,1,_movie And Tv\Randy Newman - Toy Story 2
_Movie and TV,The Wizard of Oz Script,Others\Books\The Wizard of Oz Script.pdf,No,0,
_Movie and TV,Theme from rocky and otther big hits,Others\Books\Theme from rocky and otther big hits.pdf,Yes,22,_movie And Tv\Theme From Rocky And Otther Big Hits
_Movie and TV,Various Artists - 100 of the best movie songs ever,Others\Books\Various Artists - 100 of the best movie songs ever.pdf,Yes,101,_movie And Tv\Various Artists - 100 Of The Best Movie Songs Ever
_Movie and TV,Various Artists - Book Of Great TV Hits,Others\Books\Various Artists - Book Of Great TV Hits.pdf,Yes,41,_movie And Tv\Various Artists - Book Of Great Tv Hits
_Movie and TV,Various Artists - Box Office Themes Vol. 1,Others\Books\Various Artists - Box Office Themes Vol. 1.pdf,Yes,12,_movie And Tv\Various Artists - Box Office Themes Vol. 1
_Movie and TV,Various Artists - Complete TV and Film,Others\Books\Various Artists - Complete TV and Film.pdf,No,0,
_Movie and TV,Various Artists - Decades of Film '70s,Others\Books\Various Artists - Decades of Film '70s.pdf,Yes,17,_movie And Tv\Various Artists - Decades Of Film '70s
_Movie and TV,Various Artists - Decades of Film '80s,Others\Books\Various Artists - Decades of Film '80s.pdf,Yes,20,_movie And Tv\Various Artists - Decades Of Film '80s
_Movie and TV,Various Artists - Decades of Film '90s,Others\Books\Various Artists - Decades of Film '90s.pdf,Yes,20,_movie And Tv\Various Artists - Decades Of Film '90s
_Movie and TV,Various Artists - Eddie and  the Cruisers,Others\Books\Various Artists - Eddie and  the Cruisers.pdf,No,0,
_Movie and TV,Various Artists - Film Book,Others\Books\Various Artists - Film Book.pdf,Yes,41,_movie And Tv\Various Artists - Film Book
_Movie and TV,Various Artists - Film Music for Solo Piano (2),Others\Books\Various Artists - Film Music for Solo Piano (2).pdf,Yes,23,_movie And Tv\Various Artists - Film Music For Solo Piano (2)
_Movie and TV,Various Artists - Film Music For Solo Piano,Others\Books\Various Artists - Film Music For Solo Piano.pdf,Yes,28,_movie And Tv\Various Artists - Film Music For Solo Piano
